"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Albania","2013","450310","Corks and stoppers, natural cork","Import","9452","405","Weight in kilograms","405"
"Albania","2013","450390","Natural cork articles other than corks or stoppers","Import","356","18","Weight in kilograms","18"
"Albania","2013","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","46262","10372","Weight in kilograms","10372"
"Albania","2013","450410","Blocks, sheets, strip and tiles of agglomerated cork","Export","1795","36","Weight in kilograms","36"
"Albania","2013","450490","Articles of agglomerated cork","Import","12810","5031","Weight in kilograms","5031"
"Albania","2012","450310","Corks and stoppers, natural cork","Import","26141","512","Weight in kilograms","512"
"Albania","2012","450390","Natural cork articles other than corks or stoppers","Import","91","11","Weight in kilograms","11"
"Albania","2012","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","60252","15833","Weight in kilograms","15833"
"Albania","2012","450410","Blocks, sheets, strip and tiles of agglomerated cork","Export","3416","40","Weight in kilograms","40"
"Albania","2012","450490","Articles of agglomerated cork","Import","15052","3393","Weight in kilograms","3393"
"Albania","2011","450190","Waste cork, crushed, granulated or ground","Import","73","5","Weight in kilograms","5"
"Albania","2011","450310","Corks and stoppers, natural cork","Import","53844","1924","Weight in kilograms","1924"
"Albania","2011","450390","Natural cork articles other than corks or stoppers","Import","471","14","Weight in kilograms","14"
"Albania","2011","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","17375","3546","Weight in kilograms","3546"
"Albania","2011","450490","Articles of agglomerated cork","Import","25375","8923","Weight in kilograms","8923"
"Albania","2010","450190","Waste cork, crushed, granulated or ground","Import","197","8","Weight in kilograms","8"
"Albania","2010","450200","Natural cork, debacked, roughly squared, in blocks et","Import","29","120","Weight in kilograms","120"
"Albania","2010","450310","Corks and stoppers, natural cork","Import","50430","2146","Weight in kilograms","2146"
"Albania","2010","450390","Natural cork articles other than corks or stoppers","Import","535","162","Weight in kilograms","162"
"Albania","2010","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","18461","3445","Weight in kilograms","3445"
"Albania","2010","450490","Articles of agglomerated cork","Import","12633","5809","Weight in kilograms","5809"
"Albania","2010","450490","Articles of agglomerated cork","Export","461","40","Weight in kilograms","40"
"Albania","2009","450200","Natural cork, debacked, roughly squared, in blocks et","Import","1210","265","Weight in kilograms","265"
"Albania","2009","450310","Corks and stoppers, natural cork","Import","33864","1079","Weight in kilograms","1079"
"Albania","2009","450390","Natural cork articles other than corks or stoppers","Import","3615","231","Weight in kilograms","231"
"Albania","2009","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","21350","2899","Weight in kilograms","2899"
"Albania","2009","450490","Articles of agglomerated cork","Import","16180","7147","Weight in kilograms","7147"
"Albania","2008","450200","Natural cork, debacked, roughly squared, in blocks et","Import","593","58","Weight in kilograms","58"
