"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Albania","2013","460120","Mats, matting and screens, vegetable plaiting materia","Import","42263","14947","Weight in kilograms","14947"
"Albania","2013","460191","Plaited vegetable material articles not mats or scree","Import","10568","2128","Weight in kilograms","2128"
"Albania","2013","460199","Products of non-vegetable plaiting materials","Import","300","121","Weight in kilograms","121"
"Albania","2013","460210","Basketwork, wickerwork products of vegetable material","Import","102434","17727","Weight in kilograms","17727"
"Albania","2013","460210","Basketwork, wickerwork products of vegetable material","Export","6806","112000","Weight in kilograms","112000"
"Albania","2013","460290","Basketwork and wickerwork products, non-vegetable","Import","33010","7940","Weight in kilograms","7940"
"Albania","2012","460120","Mats, matting and screens, vegetable plaiting materia","Import","6120","2047","Weight in kilograms","2047"
"Albania","2012","460191","Plaited vegetable material articles not mats or scree","Import","725","384","Weight in kilograms","384"
"Albania","2012","460191","Plaited vegetable material articles not mats or scree","Export","1692","1300","Weight in kilograms","1300"
"Albania","2012","460199","Products of non-vegetable plaiting materials","Import","4854","640","Weight in kilograms","640"
"Albania","2012","460210","Basketwork, wickerwork products of vegetable material","Import","106886","29851","Weight in kilograms","29851"
"Albania","2012","460210","Basketwork, wickerwork products of vegetable material","Export","2649","42800","Weight in kilograms","42800"
"Albania","2012","460290","Basketwork and wickerwork products, non-vegetable","Import","79622","18878","Weight in kilograms","18878"
"Albania","2011","460120","Mats, matting and screens, vegetable plaiting materia","Import","9794","2591","Weight in kilograms","2591"
"Albania","2011","460191","Plaited vegetable material articles not mats or scree","Import","23225","16624","Weight in kilograms","16624"
"Albania","2011","460199","Products of non-vegetable plaiting materials","Import","7283","1407","Weight in kilograms","1407"
"Albania","2011","460210","Basketwork, wickerwork products of vegetable material","Import","23248","3705","Weight in kilograms","3705"
"Albania","2011","460290","Basketwork and wickerwork products, non-vegetable","Import","87842","30002","Weight in kilograms","30002"
"Albania","2010","460120","Mats, matting and screens, vegetable plaiting materia","Import","18122","15360","Weight in kilograms","15360"
"Albania","2010","460191","Plaited vegetable material articles not mats or scree","Import","22534","13281","Weight in kilograms","13281"
"Albania","2010","460191","Plaited vegetable material articles not mats or scree","Export","16509","49700","Weight in kilograms","49700"
"Albania","2010","460199","Products of non-vegetable plaiting materials","Import","3295","463","Weight in kilograms","463"
"Albania","2010","460210","Basketwork, wickerwork products of vegetable material","Import","54479","14766","Weight in kilograms","14766"
"Albania","2010","460290","Basketwork and wickerwork products, non-vegetable","Import","117042","47279","Weight in kilograms","47279"
"Albania","2009","460120","Mats, matting and screens, vegetable plaiting materia","Import","30623","12396","Weight in kilograms","12396"
"Albania","2009","460191","Plaited vegetable material articles not mats or scree","Import","9990","3549","Weight in kilograms","3549"
"Albania","2009","460199","Products of non-vegetable plaiting materials","Import","1773","785","Weight in kilograms","785"
"Albania","2009","460210","Basketwork, wickerwork products of vegetable material","Import","39055","16422","Weight in kilograms","16422"
"Albania","2009","460290","Basketwork and wickerwork products, non-vegetable","Import","62120","41691","Weight in kilograms","41691"
"Albania","2009","460290","Basketwork and wickerwork products, non-vegetable","Export","18","15","Weight in kilograms","15"
"Albania","2008","460120","Mats, matting and screens, vegetable plaiting materia","Import","13916","3512","Weight in kilograms","3512"
"Albania","2008","460191","Plaited vegetable material articles not mats or scree","Import","10187","3523","Weight in kilograms","3523"
"Albania","2008","460199","Products of non-vegetable plaiting materials","Import","8380","3214","Weight in kilograms","3214"
"Albania","2008","460210","Basketwork, wickerwork products of vegetable material","Import","102369","38920","Weight in kilograms","38920"
"Albania","2008","460210","Basketwork, wickerwork products of vegetable material","Export","7","0","Weight in kilograms","0"
"Albania","2008","460290","Basketwork and wickerwork products, non-vegetable","Import","17743","3838","Weight in kilograms","3838"
"Albania","2007","460120","Mats, matting and screens, vegetable plaiting materia","Import","35503","9324","Weight in kilograms","9324"
"Albania","2007","460191","Plaited vegetable material articles not mats or scree","Import","3770","1652","Weight in kilograms","1652"
"Albania","2007","460199","Products of non-vegetable plaiting materials","Import","2780","2280","Weight in kilograms","2280"
"Albania","2007","460210","Basketwork, wickerwork products of vegetable material","Import","104031","53918","Weight in kilograms","53918"
"Albania","2007","460210","Basketwork, wickerwork products of vegetable material","Export","1673","560","Weight in kilograms","560"
"Albania","2007","460290","Basketwork and wickerwork products, non-vegetable","Import","21987","14265","Weight in kilograms","14265"
"Albania","2006","460120","Mats, matting and screens, vegetable plaiting materia","Import","3845","2167","Weight in kilograms","2167"
"Albania","2006","460191","Plaited vegetable material articles not mats or scree","Import","2149","3175","Weight in kilograms","3175"
"Albania","2006","460199","Products of non-vegetable plaiting materials","Import","9891","2671","Weight in kilograms","2671"
"Albania","2006","460199","Products of non-vegetable plaiting materials","Re-Import","6127","1078","Weight in kilograms","1078"
"Albania","2006","460210","Basketwork, wickerwork products of vegetable material","Import","56426","28523","Weight in kilograms","28523"
"Albania","2006","460210","Basketwork, wickerwork products of vegetable material","Export","1413","660","Weight in kilograms","660"
"Albania","2006","460290","Basketwork and wickerwork products, non-vegetable","Import","5271","717","Weight in kilograms","717"
"Albania","2005","460120","Mats, matting and screens, vegetable plaiting materia","Export","372","25500","Weight in kilograms","25500"
"Albania","2005","460191","Plaited vegetable material articles not mats or scree","Import","634","676","Weight in kilograms","676"
"Albania","2005","460191","Plaited vegetable material articles not mats or scree","Export","2477","5100","Weight in kilograms","5100"
"Albania","2005","460199","Products of non-vegetable plaiting materials","Import","4786","2330","Weight in kilograms","2330"
"Albania","2005","460210","Basketwork, wickerwork products of vegetable material","Import","82697","41717","Weight in kilograms","41717"
"Albania","2005","460290","Basketwork and wickerwork products, non-vegetable","Import","7055","1785","Weight in kilograms","1785"
"Albania","2004","460191","Plaited vegetable material articles not mats or scree","Import","66","18","Weight in kilograms","18"
"Albania","2004","460191","Plaited vegetable material articles not mats or scree","Export","1914","3000","Weight in kilograms","3000"
"Albania","2004","460199","Products of non-vegetable plaiting materials","Import","153","35","Weight in kilograms","35"
"Albania","2004","460210","Basketwork, wickerwork products of vegetable material","Import","49481","21242","Weight in kilograms","21242"
"Albania","2004","460290","Basketwork and wickerwork products, non-vegetable","Import","28500","17684","Weight in kilograms","17684"
"Albania","2004","460290","Basketwork and wickerwork products, non-vegetable","Export","12729","2620","Weight in kilograms","2620"
"Albania","2003","460120","Mats, matting and screens, vegetable plaiting materia","Import","9982","2818","Weight in kilograms","2818"
"Albania","2003","460191","Plaited vegetable material articles not mats or scree","Import","1068","200","Weight in kilograms","200"
"Albania","2003","460210","Basketwork, wickerwork products of vegetable material","Import","32946","12016","Weight in kilograms","12016"
"Albania","2003","460290","Basketwork and wickerwork products, non-vegetable","Import","45374","19958","Weight in kilograms","19958"
"Albania","2003","460290","Basketwork and wickerwork products, non-vegetable","Export","747","6720","Weight in kilograms","6720"
"Albania","2002","460110","Plaits and products of plaiting materials","Import","137","470","Weight in kilograms","470"
"Albania","2002","460120","Mats, matting and screens, vegetable plaiting materia","Import","5726","11775","Weight in kilograms","11775"
"Albania","2002","460191","Plaited vegetable material articles not mats or scree","Import","17","20","Weight in kilograms","20"
"Albania","2002","460210","Basketwork, wickerwork products of vegetable material","Import","10788","6942","Weight in kilograms","6942"
"Albania","2002","460290","Basketwork and wickerwork products, non-vegetable","Import","18964","14666","Weight in kilograms","14666"
"Albania","2001","460110","Plaits and products of plaiting materials","Import","1250","1460","Weight in kilograms","1460"
"Albania","2001","460120","Mats, matting and screens, vegetable plaiting materia","Import","3255","4395","Weight in kilograms","4395"
"Albania","2001","460199","Products of non-vegetable plaiting materials","Export","20039","12000","Weight in kilograms","12000"
"Albania","2001","460210","Basketwork, wickerwork products of vegetable material","Import","8267","4231","Weight in kilograms","4231"
"Albania","2001","460290","Basketwork and wickerwork products, non-vegetable","Import","19213","12342","Weight in kilograms","12342"
"Albania","2000","460120","Mats, matting and screens, vegetable plaiting materia","Import","366","240","Weight in kilograms","240"
"Albania","2000","460191","Plaited vegetable material articles not mats or scree","Import","215","150","Weight in kilograms","150"
"Albania","2000","460199","Products of non-vegetable plaiting materials","Export","157","45","Weight in kilograms","45"
"Albania","2000","460210","Basketwork, wickerwork products of vegetable material","Import","27788","16819","Weight in kilograms","16819"
"Albania","2000","460210","Basketwork, wickerwork products of vegetable material","Export","2674","1404","Weight in kilograms","1404"
"Albania","2000","460290","Basketwork and wickerwork products, non-vegetable","Import","13039","14763","Weight in kilograms","14763"
"Albania","1999","460110","Plaits and products of plaiting materials","Import","69","296","Weight in kilograms","296"
"Albania","1999","460120","Mats, matting and screens, vegetable plaiting materia","Import","355","167","Weight in kilograms","167"
"Albania","1999","460199","Products of non-vegetable plaiting materials","Import","1170","2935","Weight in kilograms","2935"
"Albania","1999","460199","Products of non-vegetable plaiting materials","Export","3982","5500","Weight in kilograms","5500"
"Albania","1999","460210","Basketwork, wickerwork products of vegetable material","Import","1225","2624","Weight in kilograms","2624"
"Albania","1999","460290","Basketwork and wickerwork products, non-vegetable","Import","7417","16155","Weight in kilograms","16155"
"Albania","1999","460290","Basketwork and wickerwork products, non-vegetable","Export","8717","5343","Weight in kilograms","5343"
"Albania","1998","460110","Plaits and products of plaiting materials","Import","897","436","Weight in kilograms","436"
"Albania","1998","460110","Plaits and products of plaiting materials","Export","10230","2000","Weight in kilograms","2000"
"Albania","1998","460120","Mats, matting and screens, vegetable plaiting materia","Import","3003","1125","Weight in kilograms","1125"
"Albania","1998","460120","Mats, matting and screens, vegetable plaiting materia","Export","2051","1125","Weight in kilograms","1125"
"Albania","1998","460199","Products of non-vegetable plaiting materials","Import","277","605","Weight in kilograms","605"
"Albania","1998","460199","Products of non-vegetable plaiting materials","Export","58","93","Weight in kilograms","93"
"Albania","1998","460210","Basketwork, wickerwork products of vegetable material","Import","1396","2136","Weight in kilograms","2136"
"Albania","1998","460210","Basketwork, wickerwork products of vegetable material","Export","15299","7250","Weight in kilograms","7250"
"Albania","1998","460290","Basketwork and wickerwork products, non-vegetable","Import","8956","15388","Weight in kilograms","15388"
"Albania","1998","460290","Basketwork and wickerwork products, non-vegetable","Export","14043","10499","Weight in kilograms","10499"
"Albania","1997","460110","Plaits and products of plaiting materials","Export","7069","4546","Weight in kilograms","4546"
"Albania","1997","460120","Mats, matting and screens, vegetable plaiting materia","Import","1083","460","Weight in kilograms","460"
"Albania","1997","460199","Products of non-vegetable plaiting materials","Import","911","6175","Weight in kilograms","6175"
"Albania","1997","460199","Products of non-vegetable plaiting materials","Export","10188","7062","Weight in kilograms","7062"
"Albania","1997","460210","Basketwork, wickerwork products of vegetable material","Import","2082","761","Weight in kilograms","761"
"Albania","1997","460210","Basketwork, wickerwork products of vegetable material","Export","23335","18157","Weight in kilograms","18157"
