"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Albania","2013","660110","Garden and similar umbrellas","Import","1242960","271667","Number of items","95604"
"Albania","2013","660110","Garden and similar umbrellas","Export","999","250","Number of items","1197549"
"Albania","2013","660191","Umbrellas nes, having a telescopic shaft","Import","127804","26810","Number of items","57870"
"Albania","2013","660199","Umbrellas nes, not with telescopic shaft","Import","1572467","377603","Number of items","601203"
"Albania","2013","660199","Umbrellas nes, not with telescopic shaft","Export","273","687","Number of items","149"
"Albania","2013","660200","Walking-sticks, seat-sticks, whips, etc.","Import","2843","1102","Number of items","515"
"Albania","2013","660320","Umbrella frames","Import","55","100","Weight in kilograms","100"
"Albania","2013","660390","Parts & trimmings, of umbrella, walking sticks, etc","Import","26174","6115","Weight in kilograms","6115"
"Albania","2012","660110","Garden and similar umbrellas","Import","829087","165446","Number of items","21515"
"Albania","2012","660110","Garden and similar umbrellas","Export","3310","428","Number of items","695"
"Albania","2012","660191","Umbrellas nes, having a telescopic shaft","Import","76650","16821","Number of items","37128"
"Albania","2012","660199","Umbrellas nes, not with telescopic shaft","Import","1213712","319702","Number of items","293315"
"Albania","2012","660199","Umbrellas nes, not with telescopic shaft","Export","20741","1802","Number of items","4010"
"Albania","2012","660200","Walking-sticks, seat-sticks, whips, etc.","Import","3520","804","No Quantity",""
"Albania","2012","660320","Umbrella frames","Import","213","384","Weight in kilograms","384"
"Albania","2012","660390","Parts & trimmings, of umbrella, walking sticks, etc","Import","11170","3486","Weight in kilograms","3486"
"Albania","2011","660110","Garden and similar umbrellas","Export","3668","1763","Number of items","348"
"Albania","2011","660110","Garden and similar umbrellas","Import","1014060","175312","Number of items","23404"
"Albania","2011","660191","Umbrellas nes, having a telescopic shaft","Import","67622","15050","Number of items","34834"
"Albania","2011","660199","Umbrellas nes, not with telescopic shaft","Import","1313921","366597","Number of items","464731"
"Albania","2011","660199","Umbrellas nes, not with telescopic shaft","Export","28256","7950","Number of items","5441"
"Albania","2011","660200","Walking-sticks, seat-sticks, whips, etc.","Import","5581","2839","Number of items","1077"
"Albania","2011","660320","Umbrella frames","Import","2595","660","Weight in kilograms","660"
"Albania","2011","660390","Parts & trimmings, of umbrella, walking sticks, etc","Import","32440","9245","Weight in kilograms","9245"
"Albania","2010","660110","Garden and similar umbrellas","Import","792904","180634","Number of items","25987"
"Albania","2010","660110","Garden and similar umbrellas","Export","6845","2695","Number of items","250"
"Albania","2010","660191","Umbrellas nes, having a telescopic shaft","Import","139653","23050","Number of items","50968"
"Albania","2010","660191","Umbrellas nes, having a telescopic shaft","Export","15608","1350","Number of items","3000"
"Albania","2010","660199","Umbrellas nes, not with telescopic shaft","Import","1717521","502057","Number of items","557602"
"Albania","2010","660199","Umbrellas nes, not with telescopic shaft","Export","48","1","Number of items","4"
"Albania","2010","660200","Walking-sticks, seat-sticks, whips, etc.","Import","1315","677","Number of items","248"
"Albania","2010","660320","Umbrella frames","Import","11079","3600","Weight in kilograms","3600"
"Albania","2010","660320","Umbrella frames","Export","354","70","Weight in kilograms","70"
"Albania","2010","660390","Parts & trimmings, of umbrella, walking sticks, etc","Import","33859","10833","Weight in kilograms","10833"
"Albania","2010","660390","Parts & trimmings, of umbrella, walking sticks, etc","Export","3461","9800","Weight in kilograms","9800"
"Albania","2009","660110","Garden and similar umbrellas","Import","398789","121295","Number of items","22418"
"Albania","2009","660110","Garden and similar umbrellas","Export","1","3970","Number of items","2862"
"Albania","2009","660191","Umbrellas nes, having a telescopic shaft","Import","127885","29273","Number of items","44054"
"Albania","2009","660199","Umbrellas nes, not with telescopic shaft","Import","2322589","631784","Number of items","868531"
"Albania","2009","660199","Umbrellas nes, not with telescopic shaft","Export","458","180","Number of items","325"
"Albania","2009","660200","Walking-sticks, seat-sticks, whips, etc.","Import","17996","6910","Number of items","3465"
"Albania","2009","660320","Umbrella frames","Import","5264","3216","Weight in kilograms","3216"
"Albania","2009","660390","Parts & trimmings, of umbrella, walking sticks, etc","Import","2503","1466","Weight in kilograms","1466"
"Albania","2008","660110","Garden and similar umbrellas","Import","547973","148336","Number of items","17039"
"Albania","2008","660110","Garden and similar umbrellas","Export","7482","4255","Number of items","232"
"Albania","2008","660191","Umbrellas nes, having a telescopic shaft","Import","71191","14691","Number of items","37145"
"Albania","2008","660199","Umbrellas nes, not with telescopic shaft","Import","1795745","436893","Number of items","475168"
"Albania","2008","660199","Umbrellas nes, not with telescopic shaft","Export","21268","3163","Number of items","3100"
