"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Albania","2013","780199","Lead unwrought nes","Export","1799139","810796","Weight in kilograms","810796"
"Albania","2013","780200","Lead waste or scrap","Import","616","300","Weight in kilograms","300"
"Albania","2013","780200","Lead waste or scrap","Export","1578","910","Weight in kilograms","910"
"Albania","2013","780411","Lead foil of a thickness <2mm","Import","6353","1959","Weight in kilograms","1959"
"Albania","2013","780419","Lead plates, sheet, strip","Import","2765","3382","Weight in kilograms","3382"
"Albania","2013","780419","Lead plates, sheet, strip","Export","2659667","1266994","Weight in kilograms","1266994"
"Albania","2013","780600","Articles of lead nes","Import","17404","7640","Weight in kilograms","7640"
"Albania","2012","780110","Lead refined unwrought","Import","370613","180600","Weight in kilograms","180600"
"Albania","2012","780110","Lead refined unwrought","Export","207106","104509","Weight in kilograms","104509"
"Albania","2012","780191","Lead unwrought containing mostly antimony","Export","59102","26985","Weight in kilograms","26985"
"Albania","2012","780199","Lead unwrought nes","Import","53492","25840","Weight in kilograms","25840"
"Albania","2012","780199","Lead unwrought nes","Export","2069176","985012","Weight in kilograms","985012"
"Albania","2012","780411","Lead foil of a thickness <2mm","Import","35005","12488","Weight in kilograms","12488"
"Albania","2012","780419","Lead plates, sheet, strip","Import","30525","8496","Weight in kilograms","8496"
"Albania","2012","780419","Lead plates, sheet, strip","Export","2378691","1231154","Weight in kilograms","1231154"
"Albania","2012","780420","Lead powders and flakes","Export","4332","24630","Weight in kilograms","24630"
"Albania","2012","780600","Articles of lead nes","Import","41158","13004","Weight in kilograms","13004"
"Albania","2011","780110","Lead refined unwrought","Export","204193","95730","Weight in kilograms","95730"
"Albania","2011","780199","Lead unwrought nes","Import","8467","2444","Weight in kilograms","2444"
"Albania","2011","780199","Lead unwrought nes","Export","3414108","1471952","Weight in kilograms","1471952"
"Albania","2011","780200","Lead waste or scrap","Export","179406","162370","Weight in kilograms","162370"
"Albania","2011","780411","Lead foil of a thickness <2mm","Import","25040","6554","Weight in kilograms","6554"
"Albania","2011","780419","Lead plates, sheet, strip","Import","64713","15668","Weight in kilograms","15668"
"Albania","2011","780419","Lead plates, sheet, strip","Export","3777646","1577786","Weight in kilograms","1577786"
"Albania","2011","780600","Articles of lead nes","Import","16033","1780","Weight in kilograms","1780"
"Albania","2010","780199","Lead unwrought nes","Import","105","100","Weight in kilograms","100"
"Albania","2010","780199","Lead unwrought nes","Export","5511671","2914395","Weight in kilograms","2914395"
"Albania","2010","780200","Lead waste or scrap","Export","65254","40671","Weight in kilograms","40671"
"Albania","2010","780419","Lead plates, sheet, strip","Import","132691","46161","Weight in kilograms","46161"
"Albania","2010","780419","Lead plates, sheet, strip","Export","304845","154549","Weight in kilograms","154549"
"Albania","2010","780600","Articles of lead nes","Import","72353","7677","Weight in kilograms","7677"
"Albania","2009","780199","Lead unwrought nes","Export","3707941","2323715","Weight in kilograms","2323715"
"Albania","2009","780200","Lead waste or scrap","Import","120498","142874","Weight in kilograms","142874"
"Albania","2009","780200","Lead waste or scrap","Export","39276","23354","Weight in kilograms","23354"
"Albania","2009","780411","Lead foil of a thickness <2mm","Import","3254","1645","Weight in kilograms","1645"
"Albania","2009","780419","Lead plates, sheet, strip","Import","173978","61015","Weight in kilograms","61015"
"Albania","2009","780600","Articles of lead nes","Import","156280","43074","Weight in kilograms","43074"
"Albania","2009","780600","Articles of lead nes","Export","69","24","Weight in kilograms","24"
"Albania","2008","780110","Lead refined unwrought","Import","5225","2280","Weight in kilograms","2280"
"Albania","2008","780199","Lead unwrought nes","Import","1653","746","Weight in kilograms","746"
"Albania","2008","780199","Lead unwrought nes","Export","3171508","1526961","Weight in kilograms","1526961"
"Albania","2008","780200","Lead waste or scrap","Import","19814","23951","Weight in kilograms","23951"
"Albania","2008","780200","Lead waste or scrap","Export","1247862","886622","Weight in kilograms","886622"
"Albania","2008","780300","Lead bars, rods, profiles and wire","Import","387","500","Weight in kilograms","500"
"Albania","2008","780300","Lead bars, rods, profiles and wire","Export","427180","162751","Weight in kilograms","162751"
"Albania","2008","780411","Lead foil of a thickness <2mm","Import","3724","1033","Weight in kilograms","1033"
"Albania","2008","780419","Lead plates, sheet, strip","Import","55740","16411","Weight in kilograms","16411"
"Albania","2008","780419","Lead plates, sheet, strip","Export","533307","217954","Weight in kilograms","217954"
"Albania","2008","780600","Articles of lead nes","Import","23302","5170","Weight in kilograms","5170"
"Albania","2008","780600","Articles of lead nes","Export","78307","21450","Weight in kilograms","21450"
"Albania","2007","780110","Lead refined unwrought","Import","2943","771","Weight in kilograms","771"
