"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Afghanistan","2008","970190","Collages, similar decorative plaques","Import","409105323","","No Quantity",""
"Afghanistan","2008","970600","Antiques older than one hundred years","Export","29918479","","No Quantity",""
"Albania","2013","970110","Paintings/drawings/pastels executed by hand","Import","44905","295","No Quantity",""
"Albania","2013","970110","Paintings/drawings/pastels executed by hand","Export","6025","142","No Quantity",""
"Albania","2013","970190","Collages, similar decorative plaques","Import","11483","789","Weight in kilograms","789"
"Albania","2013","970190","Collages, similar decorative plaques","Export","2899419","875","Weight in kilograms","875"
"Albania","2013","970200","Original engravings, prints and lithographs","Import","99","14","No Quantity",""
"Albania","2013","970300","Original sculptures and statuary, in any material","Import","968","197","No Quantity",""
"Albania","2013","970300","Original sculptures and statuary, in any material","Export","47116","1345","No Quantity",""
"Albania","2013","970400","Used postage and revenue stamps, first day covers, et","Import","10","272220","Weight in kilograms","272220"
"Albania","2013","970600","Antiques older than one hundred years","Export","86388","50","Weight in kilograms","50"
"Albania","2012","970110","Paintings/drawings/pastels executed by hand","Import","5884","396","No Quantity",""
"Albania","2012","970110","Paintings/drawings/pastels executed by hand","Export","129","1","No Quantity",""
"Albania","2012","970190","Collages, similar decorative plaques","Import","8661","905","Weight in kilograms","905"
"Albania","2012","970190","Collages, similar decorative plaques","Export","1028","10","Weight in kilograms","10"
"Albania","2012","970200","Original engravings, prints and lithographs","Import","242839","577","No Quantity",""
"Albania","2012","970300","Original sculptures and statuary, in any material","Import","2839","466","No Quantity",""
"Albania","2012","970300","Original sculptures and statuary, in any material","Export","26723","1260","No Quantity",""
"Albania","2012","970400","Used postage and revenue stamps, first day covers, et","Import","1","34140","Weight in kilograms","34140"
"Albania","2012","970500","Collections and collectors pieces","Export","4393","315","Weight in kilograms","315"
"Albania","2012","970600","Antiques older than one hundred years","Import","86567","12","Weight in kilograms","12"
"Albania","2011","970110","Paintings/drawings/pastels executed by hand","Import","6463","546","No Quantity",""
"Albania","2011","970110","Paintings/drawings/pastels executed by hand","Export","1967","74","No Quantity",""
"Albania","2011","970190","Collages, similar decorative plaques","Import","6368","1258","Weight in kilograms","1258"
"Albania","2011","970300","Original sculptures and statuary, in any material","Export","13780","654","No Quantity",""
"Albania","2011","970400","Used postage and revenue stamps, first day covers, et","Import","1","29140","Weight in kilograms","29140"
"Albania","2011","970500","Collections and collectors pieces","Import","7300","2","Weight in kilograms","2"
"Albania","2011","970500","Collections and collectors pieces","Export","7752","53","Weight in kilograms","53"
"Albania","2011","970600","Antiques older than one hundred years","Import","10395","22","Weight in kilograms","22"
"Albania","2010","970110","Paintings/drawings/pastels executed by hand","Import","1281799","4190","No Quantity",""
"Albania","2010","970110","Paintings/drawings/pastels executed by hand","Export","1346985","2333","No Quantity",""
"Albania","2010","970190","Collages, similar decorative plaques","Import","14832","4114","Weight in kilograms","4114"
"Albania","2010","970190","Collages, similar decorative plaques","Export","250","8","Weight in kilograms","8"
"Albania","2010","970200","Original engravings, prints and lithographs","Import","51137","96","No Quantity",""
"Albania","2010","970300","Original sculptures and statuary, in any material","Import","24532","2393","No Quantity",""
"Albania","2010","970300","Original sculptures and statuary, in any material","Export","80974","955","No Quantity",""
"Albania","2010","970400","Used postage and revenue stamps, first day covers, et","Import","1","32345","Weight in kilograms","32345"
"Albania","2010","970500","Collections and collectors pieces","Import","1236","11","Weight in kilograms","11"
"Albania","2010","970600","Antiques older than one hundred years","Import","395703","583","Weight in kilograms","583"
"Albania","2009","970110","Paintings/drawings/pastels executed by hand","Import","54422","7362","No Quantity",""
"Albania","2009","970190","Collages, similar decorative plaques","Import","18456","7000","Weight in kilograms","7000"
"Albania","2009","970300","Original sculptures and statuary, in any material","Import","16676","861","No Quantity",""
"Albania","2009","970400","Used postage and revenue stamps, first day covers, et","Import","1","15920","Weight in kilograms","15920"
"Albania","2009","970500","Collections and collectors pieces","Import","174","10","Weight in kilograms","10"
"Albania","2008","970110","Paintings/drawings/pastels executed by hand","Import","76816","2266","Number of items","1327"
"Albania","2008","970110","Paintings/drawings/pastels executed by hand","Export","53047","223","Number of items","97"
"Albania","2008","970190","Collages, similar decorative plaques","Import","4856","747","Weight in kilograms","747"
"Albania","2008","970190","Collages, similar decorative plaques","Export","22261","91","Weight in kilograms","91"
"Albania","2008","970200","Original engravings, prints and lithographs","Import","4663","1195","No Quantity",""
"Albania","2008","970300","Original sculptures and statuary, in any material","Import","20824","12330","No Quantity",""
"Albania","2008","970600","Antiques older than one hundred years","Import","1910","252","Weight in kilograms","252"
"Albania","2007","970110","Paintings/drawings/pastels executed by hand","Import","463703","7698","No Quantity",""
"Albania","2007","970110","Paintings/drawings/pastels executed by hand","Export","30812","124","No Quantity",""
"Albania","2007","970110","Paintings/drawings/pastels executed by hand","Re-Import","304368","95","No Quantity",""
"Albania","2007","970190","Collages, similar decorative plaques","Import","8209","5009","Weight in kilograms","5009"
"Albania","2007","970190","Collages, similar decorative plaques","Re-Import","2486","1","Weight in kilograms","1"
"Albania","2007","970300","Original sculptures and statuary, in any material","Import","1","70","No Quantity",""
"Albania","2007","970300","Original sculptures and statuary, in any material","Export","59257","6","No Quantity",""
"Albania","2007","970300","Original sculptures and statuary, in any material","Re-Import","1","70","No Quantity",""
"Albania","2007","970400","Used postage and revenue stamps, first day covers, et","Export","7","163","Weight in kilograms","163"
"Albania","2007","970500","Collections and collectors pieces","Import","40994","250","Weight in kilograms","250"
"Albania","2007","970500","Collections and collectors pieces","Re-Import","40994","250","Weight in kilograms","250"
"Albania","2007","970600","Antiques older than one hundred years","Import","71923","5","Weight in kilograms","5"
"Albania","2007","970600","Antiques older than one hundred years","Re-Import","68209","4","Weight in kilograms","4"
"Albania","2006","970110","Paintings/drawings/pastels executed by hand","Import","59613","3930","Number of items","977"
"Albania","2006","970110","Paintings/drawings/pastels executed by hand","Export","3941","244","Number of items","61"
"Albania","2006","970190","Collages, similar decorative plaques","Import","5424","236","Weight in kilograms","236"
"Albania","2006","970190","Collages, similar decorative plaques","Export","378","6","Weight in kilograms","6"
"Albania","2006","970200","Original engravings, prints and lithographs","Import","2394","63","Number of items","6"
"Albania","2006","970200","Original engravings, prints and lithographs","Export","630","22","Number of items","7"
"Albania","2006","970200","Original engravings, prints and lithographs","Re-Export","630","22","Number of items","7"
"Albania","2006","970300","Original sculptures and statuary, in any material","Import","4359","11820","Number of items","519"
"Albania","2006","970300","Original sculptures and statuary, in any material","Export","63021","2100","Number of items","1"
"Albania","2006","970400","Used postage and revenue stamps, first day covers, et","Import","2097","900","Weight in kilograms","900"
"Albania","2006","970400","Used postage and revenue stamps, first day covers, et","Export","193","3279","Weight in kilograms","3279"
"Albania","2006","970500","Collections and collectors pieces","Import","5064","1100","Weight in kilograms","1100"
"Albania","2006","970600","Antiques older than one hundred years","Import","277","1585","Weight in kilograms","1585"
"Albania","2005","970110","Paintings/drawings/pastels executed by hand","Import","41122","2945","Number of items","1062"
"Albania","2005","970110","Paintings/drawings/pastels executed by hand","Export","9681","120","Number of items","31"
"Albania","2005","970110","Paintings/drawings/pastels executed by hand","Re-Import","9716","327","Number of items","88"
"Albania","2005","970190","Collages, similar decorative plaques","Import","52097","1608","Weight in kilograms","1608"
"Albania","2005","970190","Collages, similar decorative plaques","Export","11079","39","Weight in kilograms","39"
"Albania","2005","970190","Collages, similar decorative plaques","Re-Export","11079","39","Weight in kilograms","39"
"Albania","2005","970190","Collages, similar decorative plaques","Re-Import","10512","91","Weight in kilograms","91"
"Albania","2005","970200","Original engravings, prints and lithographs","Import","3385","649","Number of items","42"
"Albania","2005","970200","Original engravings, prints and lithographs","Export","12891","19","Number of items","1"
"Albania","2005","970200","Original engravings, prints and lithographs","Re-Export","12891","19","Number of items","1"
"Albania","2005","970300","Original sculptures and statuary, in any material","Import","639","50","Number of items","23"
"Albania","2005","970300","Original sculptures and statuary, in any material","Export","15773","1350","Number of items","2"
"Albania","2005","970400","Used postage and revenue stamps, first day covers, et","Import","8856","2404","Weight in kilograms","2404"
"Albania","2005","970400","Used postage and revenue stamps, first day covers, et","Export","350","4653","Weight in kilograms","4653"
"Albania","2005","970600","Antiques older than one hundred years","Import","8897","6775","Weight in kilograms","6775"
"Albania","2004","970110","Paintings/drawings/pastels executed by hand","Import","78618","4586","Number of items","36102"
"Albania","2004","970110","Paintings/drawings/pastels executed by hand","Export","106577","2728","Number of items","602"
"Albania","2004","970190","Collages, similar decorative plaques","Import","10210","2370","Weight in kilograms","2370"
"Albania","2004","970190","Collages, similar decorative plaques","Export","20454","2917","Weight in kilograms","2917"
"Albania","2004","970200","Original engravings, prints and lithographs","Export","5105","60","Number of items","60"
"Albania","2004","970300","Original sculptures and statuary, in any material","Import","13611","630","Number of items","19"
"Albania","2004","970300","Original sculptures and statuary, in any material","Export","49088","110","Number of items","110"
"Albania","2004","970400","Used postage and revenue stamps, first day covers, et","Import","14229","14432","Weight in kilograms","14432"
"Albania","2004","970400","Used postage and revenue stamps, first day covers, et","Export","10158","2786","Weight in kilograms","2786"
"Albania","2004","970600","Antiques older than one hundred years","Import","27258","42270","Weight in kilograms","42270"
"Albania","2003","970110","Paintings/drawings/pastels executed by hand","Import","1046","575","No Quantity",""
"Albania","2003","970110","Paintings/drawings/pastels executed by hand","Export","28674","388","No Quantity",""
"Albania","2003","970190","Collages, similar decorative plaques","Import","9293","5341","Weight in kilograms","5341"
"Albania","2003","970190","Collages, similar decorative plaques","Export","494","55","Weight in kilograms","55"
"Albania","2003","970300","Original sculptures and statuary, in any material","Import","4457","831","No Quantity",""
"Albania","2003","970400","Used postage and revenue stamps, first day covers, et","Import","19325","29947","Weight in kilograms","29947"
"Albania","2003","970400","Used postage and revenue stamps, first day covers, et","Export","978","3094","Weight in kilograms","3094"
"Albania","2002","970110","Paintings/drawings/pastels executed by hand","Import","484713","11385","No Quantity",""
"Albania","2002","970110","Paintings/drawings/pastels executed by hand","Export","2483","30","No Quantity",""
"Albania","2002","970190","Collages, similar decorative plaques","Import","11511","4735","Weight in kilograms","4735"
"Albania","2002","970190","Collages, similar decorative plaques","Export","28341","235","Weight in kilograms","235"
"Albania","2002","970200","Original engravings, prints and lithographs","Import","1429","2757","No Quantity",""
"Albania","2002","970200","Original engravings, prints and lithographs","Export","419","60","No Quantity",""
