year,COUNTRY,I_1,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
2001,Japan,11142.5,126473.1,5252.7,5222.4,5897.3,5032.6,4878.4,4985.6,4307.8,4604,4336.3,4352,4286.8,4295.6,57451.5
2002,Japan,8674,121428.6,3944.8,3862.1,4743.6,3900.7,4261.9,4669.7,4492.6,4791.1,4138.3,4151,4411.5,4081.9,51449.2
2003,Japan,9109.497627,118036.6455,3919.365968,4136.311511,4470.377379,4475.001099,4561.798586,4402.596072,4238.007194,4297.843985,4162.903675,4383.73736,4480.956447,4475.377949,52004.27723
2004,Japan,9171.944935,129805.1987,3974.980231,4116.699159,5085.931016,4653.308815,4352.709391,4660.372208,4489.641845,4266.813069,4373.12855,4939.746265,4206.93096,4448.432157,53568.69367
2005,Japan,10154.37811,138003.6962,3984.167985,4132.788408,4890.670849,4486.131393,4151.24106,4855.805944,4628.856472,4809.676069,4439.88986,4828.848944,4568.460019,4904.042844,54680.57985
2001,Canada,20441.9,216267.9,13666.6,13356.8,15523.7,14403.2,15107.8,15050.6,11700.2,13764.2,12423,13894.7,13214,11319.3,163424.1
2002,Canada,16335.1,209087.7,12061.5,12368.2,13954,14113.5,14586.2,14213.7,11607.2,13913.1,13333.9,14702.4,13908.3,12160.7,160922.7
2003,Canada,17735.23511,221594.6503,12889.73417,13292.56375,15359.58988,14646.3945,15208.01906,15003.16946,12029.50609,12989.70612,14518.12431,15554.62723,14598.22213,13834.01508,169923.6717
2004,Canada,18925.75297,256359.8359,13315.84789,14398.63964,17227.01176,16026.97355,16311.38999,16433.05455,13863.82094,16069.49161,16633.09908,16969.40505,16675.50255,15955.62972,189879.8663
2001,Mexico,10706,131337.9,8648,8768.1,9272.2,8198.4,8649.4,8404.7,7675.2,9023.4,7700.4,9273.4,8346,7337.3,101296.5
2002,Mexico,9981.9,134616,7734,7249.8,7624.1,8257.5,8530.3,8087.9,7962.9,8559.4,8282.8,9220.8,8606.4,7354.2,97470.1
2003,Mexico,10830.47187,138059.9907,7780.125509,7092.816796,7804.89911,7815.550301,8082.311874,8011.631939,7904.262307,7941.380261,8533.646342,9519.700336,8621.338834,8304.129738,97411.79335
