Afghanistan,1748886597,1831108982,1595555482,1733333275,2155555500,2366666613,2555555571,2953333408,3300000103,3697940356,3641723443,3478787916,3438884594,3399439011,3360445864,3321900002,3320599991,2887499993,2664299991,3342200002,3621600007,3340100005,3474600007,2664399992,2114600000,3236300000,3124359411,3016290743,2911960069,2719992175,3531869351,3620525250,4285191376,4935549827,5586984096,6621833827,7514261673,10380125206,10768480570,12572598112,16077921038,19337922227,20363691096
Albania,2347186422,2414535901,2483888823,2555391928,2628402800,2704130324,2782490126,2860192479,2944658820,2457759525,2218989123,2295279375,2362569092,2388427773,2357711660,2408143231,2483433423,2463860831,2549027144,3046510670,2221749354,1656306504,1573564242,1762486827,1948705393,2478955743,3314897763,2324521628,2716589954,3424911048,3639590308,4065716121,4443030580,5695705637,7307075559,8158552356,8992644557,10701016316,12984066623,12087859107,11761631290,12708809706,12044464704
Algeria,5166766966,5375793631,7192641174,9250473510,13289720747,15590689749,17790132875,21038361295,26433344266,33276440778,42347652749,44364574433,45196719804,48812228543,52947249609,57996937030,63064957344,64478918980,58787931899,55469509664,61890882974,46670201579,49216491517,50961802336,42426343530,42066309257,46942101764,48177051970,48187626753,48640671735,54790398813,55181115721,56760359630,67863851626,85332517817,103198216067,117209082690,135174505429,171518413571,137745293076,161783154040,198538909250,207021008072
Andorra,99435254,113081262,143446092,190784109,235956917,278398041,287468300,321255960,389583214,520524929,564576855,491984494,475455788,414663586,417475325,438559334,609627322,773170574,912457376,1006132494,1301462613,1399992191,1530394847,1273765404,1286987240,1490873307,1548141042,1493277402,1532875556,1568146077,1433829745,1494304302,1715878914,2362956282,2888665388,3190008954,3504813558,4016861987,4069141502,3700249455,3406260771,3505722642,3222331515
Angola,2864617813,3015133844,3105037313,3793654562,4250696503,3130848225,2994865507,3275620028,3643291664,4044387994,5389865633,5044488268,5044488268,5257035898,5572531586,6865432181,6442977472,7419212514,8009893709,9321010763,10296878134,12167554977,13974371893,10126433181,10421523986,4994128520,6525802063,7648377413,6445041825,6088257948,8858473258,9471498333,11431736695,13956268143,19775227835,32810655484,41789493192,60448887583,84178084135,75492416523,82513003237,104115931538,116307916630
Anguilla,3910437,4599356,5427932,6141668,6763627,7386668,7073393,7905745,9122001,10525867,12147560,14017349,16175799,18667621,21670644,26971737,35136934,43825079,54855927,68266573,75757863,77880567,84622729,92290224,102982057,103950670,109767497,122926201,138923764,147605211,150268896,154585196,157487267,170646418,200475319,229040186,280727900,355279699,354325717,280660054,268276560,292822714,283317541
Antigua and Barbuda,37180161,45183867,61925711,86029200,91704261,93776035,77949502,88733582,100458736,123710313,147607767,166984081,185018958,205587660,232664817,268734571,318864573,321696496,383104507,434327532,448040000,483414194,501697486,537722844,590633178,582586261,638451356,684315720,731753626,769300074,783837850,773765167,802529327,839996365,898356142,997374098,1135143610,1289254347,1347349844,1206410364,1135539048,1124586886,1176348888
Argentina,31360879129,37514928132,34667831428,37958687212,43644387984,47493400192,50200017610,56807078211,58831375649,68212165959,75514924988,78118460659,80258070179,86863744333,91933559505,88150891728,105872372614,108810885301,126890235049,76629848380,141353185204,189709152239,228778586270,236754578785,257695548085,258096424106,272241681568,293005382691,299097908954,283664852426,284345912956,268831125563,102041772536,129595800911,153129434065,183196097438,214267140868,262450900551,328468258827,308739987469,370263371075,448165348300,477028253903
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2158027282,1973550095,1176765058,1096637698,1179219327,1286635324,1596963106,1638670199,1892169969,1845476426,1911563703,2118398590,2376321756,2807095698,3576608903,4900469734,6384452551,9206300095,11662040704,8647937091,9260285762,10142111812,9950197236
Aruba,176630023,186045845,195963605,206410064,217413403,229003311,241211055,254069572,267613551,281879536,296906015,312733527,329404774,346964735,365460785,384942825,405463417,487602458,596423607,695304363,764887117,872138731,958463200,1082979708,1330167598,1320670391,1379888268,1531843575,1665363128,1722798883,1873452514,1920265652,1941094724,2021305585,2228273743,2331005587,2421474860,2623726257,2791960894,2498932961,2390529513,2550589526,2544463718
