year,CTY_CODE,COUNTRY,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,I_11,I_12,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1010,Greenland,3.4,1.8,2.3,1,1.8,1.4,1.8,2.3,3.6,2.6,4.4,2.4,28.8,0,0,0.1,0,0.3,0.4,2.9,0.6,0.1,0.2,0.1,0,4.7
2002,1010,Greenland,1.8,2.6,2.3,1.6,1.1,0.8,2.1,2.3,1.3,0.8,3.6,2.2,22.5,0,0,0.1,0,0.1,0.3,0.2,0.1,1.1,1,0.2,0.9,4
2003,1010,Greenland,2.486787,1.224879,1.077173,0.221355,0.752537,0.534364,1.156659,1.353822,1.135984,1.063784,1.387351,1.402078,13.796773,0.219594,0.071243,0.663758,0.066728,0.389853,0.176662,0.170394,0.171622,0.723553,0.098197,0.192904,0.053907,2.998415
2004,1010,Greenland,0.814792,1.011666,2.891191,0.07627,1.217564,0.950605,0.578818,3.059857,1.035668,0.950943,1.787863,0.215661,14.590898,0.277646,0.036295,0.799213,0.225364,0.17669,0.269425,0.312724,0.271667,0.460972,0.303003,0.27513,0.191574,3.599703
2001,1220,Canada,20441.9,18263.4,19975.8,18732.9,19602.9,18914.8,15792.5,18001,16698.1,17542.4,17170.2,15132,216267.9,13666.6,13356.8,15523.7,14403.2,15107.8,15050.6,11700.2,13764.2,12423,13894.7,13214,11319.3,163424.1
2002,1220,Canada,16335.1,16179.5,17481.1,18185.8,18793.5,17436.2,15910.8,17943.3,17861.5,19044.1,17684.9,16231.9,209087.7,12061.5,12368.2,13954,14113.5,14586.2,14213.7,11607.2,13913.1,13333.9,14702.4,13908.3,12160.7,160922.7
2003,1220,Canada,17735.23511,17183.4588,19822.52858,18454.36508,18667.88285,18574.26077,17079.352,17584.30125,19360.81043,20137.74391,18640.4937,18354.21782,221594.6503,12889.73417,13292.56375,15359.58988,14646.3945,15208.01906,15003.16946,12029.50609,12989.70612,14518.12431,15554.62723,14598.22213,13834.01508,169923.6717
2004,1220,Canada,18925.75297,19356.61631,22483.16417,21498.63366,21250.07396,23250.82464,19776.52022,22018.28397,21688.07369,22410.85857,22875.48467,20825.54911,256359.8359,13315.84789,14398.63964,17227.01176,16026.97355,16311.38999,16433.05455,13863.82094,16069.49161,16633.09908,16969.40505,16675.50255,15955.62972,189879.8663
2001,1610,St Pierre and Miquelon,0.3,0.3,0.5,0.3,0,0.1,0.3,0,0.3,0.3,0.3,0.7,3.4,0,0,0,0.4,0.1,0.1,0,0,0,0,0,0,0.6
2002,1610,St Pierre and Miquelon,0.6,0.8,0.3,0.2,0.1,0,0,0.2,0.2,0.2,0.3,0.7,3.6,0,0.3,0,0.1,0.1,0,0.1,0,0,0,0.1,0,0.7
2003,1610,St Pierre and Miquelon,0.461093,0.567935,0.567047,0.120988,0.000383,0,0.086911,0.074675,0,0.483602,0.001557,0.282985,2.647176,0.001385,0,0,0.022499,0.018142,0.001636,0.01708,0.006469,0.000554,0.006693,0.009286,0.0008,0.084544
