Country or Area,Year,Commodity,Flow,Trade (USD)
Afghanistan,2011,Animal,Import,18325785
Afghanistan,2011,Animal,Import,12046642
Afghanistan,2011,Animal,Import,88696
Afghanistan,2011,Animal,Export,217289
Afghanistan,2011,Animal,Import,406686
Afghanistan,2011,Animal,Import,14588253
Afghanistan,2010,Animal,Import,24105417
Afghanistan,2010,Animal,Import,144377
Afghanistan,2010,Animal,Export,35977
Afghanistan,2010,Animal,Import,282701
Afghanistan,2010,Animal,Import,8950801
Afghanistan,2009,Animal,Import,7664895
Afghanistan,2009,Animal,Import,62254
Afghanistan,2009,Animal,Export,157494
Afghanistan,2009,Animal,Import,37410
Afghanistan,2009,Animal,Import,12576470
Afghanistan,2008,Animal,Import,15594252
Afghanistan,2008,Animal,Import,154269
Afghanistan,2008,Animal,Export,176592
Afghanistan,2008,Animal,Import,11664
Afghanistan,2008,Animal,Import,3188181
Albania,2012,Animal,Import,332494
Albania,2012,Animal,Import,5625348
Albania,2012,Animal,Export,455177
Albania,2012,Animal,Import,812306
Albania,2012,Animal,Import,1375228
Albania,2012,Animal,Import,490973
Albania,2012,Animal,Import,75495
Albania,2012,Animal,Export,1631
Albania,2012,Animal,Import,427212
Albania,2012,Animal,Export,6189
Albania,2012,Animal,Import,180998
Albania,2012,Animal,Export,23325
Albania,2012,Animal,Import,1848729
Albania,2012,Animal,Export,31327
Albania,2012,Animal,Import,2021261
Albania,2012,Animal,Export,406
Albania,2012,Animal,Import,477020
Albania,2012,Animal,Import,789299
Albania,2012,Animal,Export,5367
Albania,2012,Animal,Import,435279
Albania,2012,Animal,Import,676469
Albania,2012,Animal,Export,2974
Albania,2012,Animal,Import,27023
Albania,2012,Animal,Import,925465
Albania,2012,Animal,Export,25018
Albania,2012,Animal,Import,14584
Albania,2012,Animal,Import,4502058
Albania,2012,Animal,Export,7945
Albania,2012,Animal,Import,388623
Albania,2012,Animal,Export,4598240
Albania,2012,Animal,Import,9
Albania,2012,Animal,Import,188677
Albania,2012,Animal,Import,510
Albania,2012,Animal,Import,204274
Albania,2012,Animal,Export,63751
Albania,2012,Animal,Import,23
Albania,2011,Animal,Import,510233
Albania,2011,Animal,Export,17154
Albania,2011,Animal,Import,5340515
Albania,2011,Animal,Export,132296
Albania,2011,Animal,Import,1175784
Albania,2011,Animal,Import,2490817
Albania,2011,Animal,Import,638425
Albania,2011,Animal,Export,31574
Albania,2011,Animal,Import,63332
Albania,2011,Animal,Export,5788
Albania,2011,Animal,Import,462089
Albania,2011,Animal,Import,184919
Albania,2011,Animal,Export,16336
Albania,2011,Animal,Import,3334824
Albania,2011,Animal,Import,984461
Albania,2011,Animal,Import,286954
Albania,2011,Animal,Import,700833
Albania,2011,Animal,Import,454273
Albania,2011,Animal,Export,2521
Albania,2011,Animal,Import,633469
Albania,2011,Animal,Import,59697
Albania,2011,Animal,Import,879239
Albania,2011,Animal,Import,27230
Albania,2011,Animal,Import,5892277
Albania,2011,Animal,Import,58476
Albania,2011,Animal,Export,2701234
Albania,2011,Animal,Import,143625
Albania,2011,Animal,Import,436
Albania,2011,Animal,Import,114709
Albania,2011,Animal,Export,110534
Albania,2011,Animal,Import,1257
Albania,2010,Animal,Import,854636
Albania,2010,Animal,Import,4213246
Albania,2010,Animal,Import,1009544
Albania,2010,Animal,Import,1367388
Albania,2010,Animal,Export,14998
Albania,2010,Animal,Import,854912
Albania,2010,Animal,Import,132143
Albania,2010,Animal,Export,7002
Albania,2010,Animal,Import,23116
Albania,2010,Animal,Import,274151
Albania,2010,Animal,Export,2786
Albania,2010,Animal,Import,3543422
Albania,2010,Animal,Import,1012621
Albania,2010,Animal,Import,245138
Albania,2010,Animal,Import,505558
Albania,2010,Animal,Import,449341
Albania,2010,Animal,Export,2347
Albania,2010,Animal,Import,1401395
