Country or Area,Year,Commodity,Flow,Trade (USD)
Afghanistan,2012,Animal,Export,1014803
Afghanistan,2011,Animal,Export,401371
Afghanistan,2010,Animal,Export,1463800
Afghanistan,2009,Animal,Export,132727
Afghanistan,2008,Animal,Export,3685220
Albania,2012,Animal,Import,5387022
Albania,2012,Animal,Export,5089020
Albania,2012,Animal,Import,19998
Albania,2012,Animal,Export,88955
Albania,2012,Animal,Import,248141
Albania,2012,Animal,Export,388
Albania,2011,Animal,Import,3569814
Albania,2011,Animal,Export,7719128
Albania,2011,Animal,Import,505
Albania,2011,Animal,Import,113900
Albania,2011,Animal,Export,159916
Albania,2011,Animal,Import,253536
Albania,2011,Animal,Import,73
Albania,2011,Animal,Import,13101
Albania,2011,Animal,Export,269
Albania,2010,Animal,Import,1981082
Albania,2010,Animal,Export,4590394
Albania,2010,Animal,Import,2367
Albania,2010,Animal,Import,239
Albania,2010,Animal,Import,99330
Albania,2010,Animal,Import,238483
Albania,2010,Animal,Export,6412
Albania,2010,Animal,Import,21
Albania,2010,Animal,Import,581
Albania,2009,Animal,Import,149
Albania,2009,Animal,Import,1640088
Albania,2009,Animal,Export,2769424
Albania,2009,Animal,Import,1138
Albania,2009,Animal,Import,42049
Albania,2009,Animal,Import,9
Albania,2009,Animal,Export,119898
Albania,2009,Animal,Import,151194
Albania,2009,Animal,Import,402
Albania,2008,Animal,Import,1092651
Albania,2008,Animal,Export,7410366
Albania,2008,Animal,Re-Export,7409052
Albania,2008,Animal,Import,3286
Albania,2008,Animal,Import,603
Albania,2008,Animal,Export,136429
Albania,2008,Animal,Import,312344
Albania,2008,Animal,Import,324
Albania,2007,Animal,Import,526464
Albania,2007,Animal,Export,547195
Albania,2007,Animal,Import,11097
Albania,2007,Animal,Import,26648
Albania,2007,Animal,Import,4006
Albania,2007,Animal,Export,38638
Albania,2007,Animal,Import,354
Albania,2007,Animal,Import,226304
Albania,2007,Animal,Import,569
Albania,2007,Animal,Import,36
Albania,2006,Animal,Import,698853
Albania,2006,Animal,Export,156295
Albania,2006,Animal,Re-Export,156295
Albania,2006,Animal,Re-Import,648455
Albania,2006,Animal,Import,149
Albania,2006,Animal,Export,81389
Albania,2006,Animal,Re-Export,52104
Albania,2006,Animal,Import,1065
Albania,2006,Animal,Import,114028
Albania,2006,Animal,Export,15063
Albania,2005,Animal,Import,59476
Albania,2005,Animal,Import,6
Albania,2005,Animal,Import,22076
Albania,2005,Animal,Export,98697
Albania,2005,Animal,Re-Export,69834
Albania,2005,Animal,Import,390
Albania,2005,Animal,Import,174051
Albania,2004,Animal,Import,14008
Albania,2004,Animal,Import,19956
Albania,2004,Animal,Export,1150
Albania,2004,Animal,Import,97432
Albania,2004,Animal,Import,116
Albania,2004,Animal,Export,738
Albania,2004,Animal,Import,4118
Albania,2004,Animal,Import,4451
Albania,2004,Animal,Export,126354
Albania,2004,Animal,Import,19055
Albania,2004,Animal,Import,571
Albania,2004,Animal,Import,371
Albania,2003,Animal,Import,140
Albania,2003,Animal,Import,103895
Albania,2003,Animal,Import,1418
Albania,2003,Animal,Import,20151
Albania,2003,Animal,Export,53456
Albania,2003,Animal,Import,128161
Albania,2003,Animal,Import,99
Albania,2002,Animal,Import,21198
Albania,2002,Animal,Import,984
Albania,2002,Animal,Import,625
Albania,2002,Animal,Import,235
Albania,2002,Animal,Import,13009
Albania,2002,Animal,Export,32675
Albania,2002,Animal,Import,74889
Albania,2002,Animal,Import,2657
Albania,2001,Animal,Import,17573
Albania,2001,Animal,Export,265
Albania,2001,Animal,Import,8344
Albania,2001,Animal,Export,21117
Albania,2001,Animal,Import,81762
Albania,2001,Animal,Import,196
Albania,2000,Animal,Import,18464
