Country or Area,Year,Commodity,Flow,Trade (USD)
Albania,2013,Animal,Import,306678
Albania,2013,Animal,Import,78054
Albania,2013,Animal,Export,114881
Albania,2013,Animal,Import,21331
Albania,2013,Animal,Import,21584
Albania,2013,Animal,Import,10561
Albania,2012,Animal,Import,28951
Albania,2012,Animal,Export,181
Albania,2012,Animal,Import,58048
Albania,2012,Animal,Export,74896
Albania,2012,Animal,Import,12541
Albania,2012,Animal,Import,409
Albania,2012,Animal,Import,84959
Albania,2011,Animal,Import,31225
Albania,2011,Animal,Export,12534
Albania,2011,Animal,Export,49781
Albania,2011,Animal,Import,10882
Albania,2011,Animal,Import,1962
Albania,2011,Animal,Export,11116
Albania,2011,Animal,Import,18777
Albania,2010,Animal,Export,37676
Albania,2010,Animal,Import,2602
Albania,2010,Animal,Import,30778
Albania,2010,Animal,Export,3500
Albania,2010,Animal,Import,1796
Albania,2010,Animal,Export,61827
Albania,2010,Animal,Import,12434
Albania,2010,Animal,Import,279
Albania,2010,Animal,Import,2551
Albania,2009,Animal,Export,29759
Albania,2009,Animal,Import,908
Albania,2009,Animal,Import,22042
Albania,2009,Animal,Import,5301
Albania,2009,Animal,Export,94597
Albania,2009,Animal,Import,17
Albania,2009,Animal,Import,10541
Albania,2009,Animal,Import,8387
Albania,2008,Animal,Import,618
Albania,2008,Animal,Import,89
Albania,2008,Animal,Import,9622
Albania,2008,Animal,Import,47240
Albania,2008,Animal,Import,5866
Albania,2008,Animal,Export,70461
Albania,2008,Animal,Re-Export,70461
Albania,2008,Animal,Import,3187
Albania,2008,Animal,Import,2646
Albania,2008,Animal,Import,66072
Albania,2007,Animal,Import,591
Albania,2007,Animal,Import,53201
Albania,2007,Animal,Import,5227
Albania,2007,Animal,Export,111015
Albania,2007,Animal,Import,9520
Albania,2007,Animal,Import,5780
Albania,2007,Animal,Import,3166
Albania,2006,Animal,Import,7166
Albania,2006,Animal,Re-Import,7166
Albania,2006,Animal,Import,27722
Albania,2006,Animal,Export,7034
Albania,2006,Animal,Re-Export,7034
Albania,2006,Animal,Re-Import,27722
Albania,2006,Animal,Import,23162
Albania,2006,Animal,Re-Import,23162
Albania,2006,Animal,Import,23066
Albania,2006,Animal,Export,88070
Albania,2006,Animal,Re-Export,88070
Albania,2006,Animal,Re-Import,22993
Albania,2006,Animal,Export,29601
Albania,2006,Animal,Re-Export,29601
Albania,2006,Animal,Import,97
Albania,2006,Animal,Import,3952
Albania,2006,Animal,Re-Import,3929
Albania,2005,Animal,Import,25370
Albania,2005,Animal,Export,21689
Albania,2005,Animal,Re-Export,16914
Albania,2005,Animal,Import,6806
Albania,2005,Animal,Import,56195
Albania,2005,Animal,Import,52100
Albania,2005,Animal,Import,107578
Albania,2005,Animal,Export,149017
Albania,2005,Animal,Re-Export,149017
Albania,2005,Animal,Import,38145
Albania,2005,Animal,Export,26526
Albania,2005,Animal,Re-Export,26526
Albania,2004,Animal,Import,864
Albania,2004,Animal,Import,184619
Albania,2004,Animal,Export,147964
Albania,2004,Animal,Import,52727
Albania,2004,Animal,Import,12442
Albania,2004,Animal,Import,82998
Albania,2004,Animal,Import,143516
Albania,2004,Animal,Export,263607
Albania,2004,Animal,Import,1956
Albania,2004,Animal,Export,37542
Albania,2004,Animal,Import,623
Albania,2004,Animal,Import,221
Albania,2003,Animal,Export,2647
Albania,2003,Animal,Import,138256
Albania,2003,Animal,Import,79685
Albania,2003,Animal,Import,6073
Albania,2003,Animal,Import,4349
Albania,2003,Animal,Import,28916
Albania,2003,Animal,Export,9903
Albania,2003,Animal,Import,6112
Albania,2003,Animal,Export,67558
Albania,2002,Animal,Import,21127
Albania,2002,Animal,Import,207982
Albania,2002,Animal,Import,36984
Albania,2002,Animal,Import,15535
Albania,2002,Animal,Export,20656
Albania,2002,Animal,Import,13006
Albania,2002,Animal,Export,37550
Albania,2001,Animal,Import,427
Albania,2001,Animal,Export,347
Albania,2001,Animal,Import,33687
Albania,2001,Animal,Import,527953
Albania,2001,Animal,Import,6164
Albania,2001,Animal,Import,57631
Albania,2001,Animal,Import,28659
Albania,2001,Animal,Import,3673
Albania,2001,Animal,Import,198
Albania,2001,Animal,Export,64201
Albania,2001,Animal,Import,32532
Albania,2000,Animal,Export,24197
Albania,2000,Animal,Import,712
Albania,2000,Animal,Import,230132
Albania,2000,Animal,Export,66067
Albania,2000,Animal,Import,7438
Albania,2000,Animal,Import,28251
Albania,2000,Animal,Import,46766
Albania,2000,Animal,Import,33057
Albania,2000,Animal,Export,1055
Albania,2000,Animal,Export,231043
