Country or Area,Year,Commodity,Flow,Trade (USD)
Afghanistan,2011,Chemicals,Export,47758421
Afghanistan,2010,Chemicals,Export,40098805
Afghanistan,2009,Chemicals,Export,30298719
Afghanistan,2008,Chemicals,Export,22814393
Albania,2012,Chemicals,Import,5377
Albania,2012,Chemicals,Import,48397
Albania,2012,Chemicals,Import,261271
Albania,2012,Chemicals,Export,256432
Albania,2012,Chemicals,Import,73795
Albania,2012,Chemicals,Import,7999
Albania,2012,Chemicals,Import,44262
Albania,2012,Chemicals,Export,4141
Albania,2011,Chemicals,Import,1871
Albania,2011,Chemicals,Import,5464
Albania,2011,Chemicals,Import,21520
Albania,2011,Chemicals,Import,37032
Albania,2011,Chemicals,Export,171488
Albania,2011,Chemicals,Import,50687
Albania,2011,Chemicals,Import,47
Albania,2011,Chemicals,Import,46815
Albania,2011,Chemicals,Import,70400
Albania,2011,Chemicals,Export,44361
Albania,2010,Chemicals,Import,11087
Albania,2010,Chemicals,Import,19459
Albania,2010,Chemicals,Export,163003
Albania,2010,Chemicals,Import,62916
Albania,2010,Chemicals,Export,20301
Albania,2010,Chemicals,Import,27157
Albania,2010,Chemicals,Import,74672
Albania,2010,Chemicals,Import,75298
Albania,2010,Chemicals,Export,46487
Albania,2009,Chemicals,Import,7714
Albania,2009,Chemicals,Export,25816
Albania,2009,Chemicals,Import,16245
Albania,2009,Chemicals,Import,187742
Albania,2009,Chemicals,Import,7124
Albania,2009,Chemicals,Export,56695
Albania,2009,Chemicals,Import,84327
Albania,2009,Chemicals,Export,5359
Albania,2009,Chemicals,Import,290
Albania,2009,Chemicals,Import,49200
Albania,2009,Chemicals,Import,36195
Albania,2009,Chemicals,Export,38417
Albania,2008,Chemicals,Import,76
Albania,2008,Chemicals,Import,1992
Albania,2008,Chemicals,Import,3004
Albania,2008,Chemicals,Import,8972
Albania,2008,Chemicals,Export,175125
Albania,2008,Chemicals,Import,111277
Albania,2008,Chemicals,Export,4820
Albania,2008,Chemicals,Import,1487
Albania,2008,Chemicals,Import,93199
Albania,2008,Chemicals,Export,8705
Albania,2007,Chemicals,Export,42
Albania,2007,Chemicals,Import,1610
Albania,2007,Chemicals,Import,17
Albania,2007,Chemicals,Export,70759
Albania,2007,Chemicals,Import,9508
Albania,2007,Chemicals,Export,397085
Albania,2007,Chemicals,Import,53721
Albania,2007,Chemicals,Export,925
Albania,2007,Chemicals,Import,2918
Albania,2007,Chemicals,Import,8280
Albania,2007,Chemicals,Import,55339
Albania,2006,Chemicals,Export,1192
Albania,2006,Chemicals,Export,5424
Albania,2006,Chemicals,Import,29263
Albania,2006,Chemicals,Export,37368
Albania,2006,Chemicals,Import,13275
Albania,2006,Chemicals,Export,574746
Albania,2006,Chemicals,Import,47382
Albania,2006,Chemicals,Import,3633
Albania,2006,Chemicals,Import,1113
Albania,2006,Chemicals,Import,8909
Albania,2005,Chemicals,Import,678
Albania,2005,Chemicals,Import,10000
Albania,2005,Chemicals,Export,220031
Albania,2005,Chemicals,Import,41589
Albania,2005,Chemicals,Import,649
Albania,2005,Chemicals,Import,6143
Albania,2005,Chemicals,Import,1277
Albania,2005,Chemicals,Export,64
Albania,2004,Chemicals,Import,24699
Albania,2004,Chemicals,Import,2376
Albania,2004,Chemicals,Import,47550
