Country or Area,Year,Commodity,Flow,Trade (USD)
Afghanistan,2012,Food,Import,69063797
Afghanistan,2012,Food,Export,54147304
Afghanistan,2011,Food,Import,19159464
Afghanistan,2011,Food,Import,66755252
Afghanistan,2011,Food,Export,1313584
Afghanistan,2011,Food,Export,122328
Afghanistan,2011,Food,Export,2992380
Afghanistan,2011,Food,Export,2225000
Afghanistan,2010,Food,Import,9257732
Afghanistan,2010,Food,Import,28792260
Afghanistan,2010,Food,Export,2461076
Afghanistan,2010,Food,Export,64890
Afghanistan,2010,Food,Export,6244635
Afghanistan,2010,Food,Export,7920000
Afghanistan,2009,Food,Import,2266336
Afghanistan,2009,Food,Import,7035888
Afghanistan,2009,Food,Export,1126422
Afghanistan,2009,Food,Export,72994
Afghanistan,2009,Food,Export,5688412
Afghanistan,2008,Food,Import,10849192
Afghanistan,2008,Food,Import,29213980
Afghanistan,2008,Food,Export,888030
Afghanistan,2008,Food,Export,883870
Afghanistan,2008,Food,Import,4169895
Albania,2012,Food,Import,15922321
Albania,2012,Food,Import,20867
Albania,2012,Food,Import,11877107
Albania,2012,Food,Export,116248
Albania,2012,Food,Import,576448
Albania,2012,Food,Export,106818
Albania,2012,Food,Import,14401
Albania,2012,Food,Export,140
Albania,2012,Food,Import,107229
Albania,2012,Food,Export,5713
Albania,2012,Food,Import,27141
Albania,2012,Food,Import,226259
Albania,2012,Food,Export,1741
Albania,2012,Food,Import,205500
Albania,2012,Food,Export,7795
Albania,2012,Food,Import,308
Albania,2012,Food,Import,56593
Albania,2012,Food,Import,72384
Albania,2012,Food,Import,63753
Albania,2012,Food,Import,6144
Albania,2012,Food,Import,12884
Albania,2012,Food,Import,8365
Albania,2012,Food,Import,13519
Albania,2012,Food,Import,7203
Albania,2012,Food,Import,1262
Albania,2012,Food,Import,1479
Albania,2012,Food,Import,35433
Albania,2012,Food,Export,72153
Albania,2012,Food,Import,28
Albania,2012,Food,Export,14945
Albania,2012,Food,Import,558
Albania,2012,Food,Import,8097
Albania,2012,Food,Import,24
Albania,2012,Food,Import,856
Albania,2012,Food,Import,209204
Albania,2012,Food,Export,285743
Albania,2012,Food,Import,106732
Albania,2012,Food,Export,368669
Albania,2011,Food,Import,15225198
Albania,2011,Food,Import,86409
Albania,2011,Food,Import,11302426
Albania,2011,Food,Export,152491
Albania,2011,Food,Import,914870
Albania,2011,Food,Export,57932
Albania,2011,Food,Import,45937
Albania,2011,Food,Import,113261
Albania,2011,Food,Import,34523
Albania,2011,Food,Import,114216
Albania,2011,Food,Import,209563
Albania,2011,Food,Import,271
Albania,2011,Food,Import,37440
Albania,2011,Food,Import,143133
Albania,2011,Food,Export,386
Albania,2011,Food,Import,75447
Albania,2011,Food,Export,1139
Albania,2011,Food,Import,12375
Albania,2011,Food,Import,5717
Albania,2011,Food,Import,14060
Albania,2011,Food,Import,16312
Albania,2011,Food,Import,30296
Albania,2011,Food,Import,175
Albania,2011,Food,Import,349
Albania,2011,Food,Import,18015
Albania,2011,Food,Export,58833
Albania,2011,Food,Import,4416
Albania,2011,Food,Import,2266
Albania,2011,Food,Import,377
Albania,2011,Food,Import,154459
Albania,2011,Food,Export,218871
Albania,2011,Food,Import,49398
Albania,2011,Food,Export,424679
Albania,2010,Food,Import,11866462
Albania,2010,Food,Export,284
Albania,2010,Food,Import,22869
Albania,2010,Food,Export,49714
Albania,2010,Food,Import,9151254
Albania,2010,Food,Export,316824
Albania,2010,Food,Import,697364
Albania,2010,Food,Export,46679
Albania,2010,Food,Import,296
Albania,2010,Food,Import,68123
Albania,2010,Food,Export,79
Albania,2010,Food,Import,13236
Albania,2010,Food,Export,3126
Albania,2010,Food,Import,164211
Albania,2010,Food,Import,142198
Albania,2010,Food,Import,150
Albania,2010,Food,Import,100395
Albania,2010,Food,Import,68334
Albania,2010,Food,Import,84639
Albania,2010,Food,Import,2478
Albania,2010,Food,Import,5593
Albania,2010,Food,Import,19639
Albania,2010,Food,Import,10328
Albania,2010,Food,Import,5945
Albania,2010,Food,Import,7120
Albania,2010,Food,Import,284
Albania,2010,Food,Import,1835
Albania,2010,Food,Import,11666
Albania,2010,Food,Import,121
Albania,2010,Food,Import,2626
Albania,2010,Food,Import,18452
Albania,2010,Food,Import,81
Albania,2010,Food,Import,32285
Albania,2010,Food,Export,29856
Albania,2010,Food,Import,455
Albania,2010,Food,Import,124943
Albania,2010,Food,Export,113527
Albania,2010,Food,Import,40502
Albania,2010,Food,Export,597273
Albania,2009,Food,Import,13156084
Albania,2009,Food,Export,294225
Albania,2009,Food,Import,784274
Albania,2009,Food,Import,9326865
Albania,2009,Food,Export,1005425
Albania,2009,Food,Import,480673
Albania,2009,Food,Export,5603
Albania,2009,Food,Import,12808
Albania,2009,Food,Import,136443
Albania,2009,Food,Import,13216
Albania,2009,Food,Import,164586
Albania,2009,Food,Import,97343
Albania,2009,Food,Import,822
Albania,2009,Food,Import,101810
Albania,2009,Food,Import,37973
Albania,2009,Food,Import,50610
Albania,2009,Food,Import,14872
Albania,2009,Food,Import,4530
Albania,2009,Food,Import,17091
Albania,2009,Food,Import,11381
Albania,2009,Food,Import,7576
Albania,2009,Food,Import,1716
Albania,2009,Food,Import,1563
Albania,2009,Food,Import,1853
Albania,2009,Food,Import,326
Albania,2009,Food,Import,949
Albania,2009,Food,Import,2692
Albania,2009,Food,Export,15235
Albania,2009,Food,Import,894
Albania,2009,Food,Import,40366
Albania,2009,Food,Export,27572
Albania,2009,Food,Import,711
Albania,2009,Food,Import,127327
Albania,2009,Food,Export,40906
Albania,2009,Food,Import,102059
Albania,2009,Food,Export,634699
Albania,2008,Food,Import,11341121
Albania,2008,Food,Export,42757
Albania,2008,Food,Import,2154328
Albania,2008,Food,Import,8072728
Albania,2008,Food,Export,1862961
Albania,2008,Food,Re-Export,643974
Albania,2008,Food,Import,596072
Albania,2008,Food,Export,34034
Albania,2008,Food,Import,1863
Albania,2008,Food,Import,181879
Albania,2008,Food,Import,1551
Albania,2008,Food,Export,1358
Albania,2008,Food,Import,175058
Albania,2008,Food,Export,2771
Albania,2008,Food,Import,30313
Albania,2008,Food,Import,6739
Albania,2008,Food,Import,88912
Albania,2008,Food,Import,80104
Albania,2008,Food,Import,65222
Albania,2008,Food,Import,13365
Albania,2008,Food,Import,2848
Albania,2008,Food,Import,18432
Albania,2008,Food,Import,7412
Albania,2008,Food,Import,1798
Albania,2008,Food,Import,5349
Albania,2008,Food,Import,806
Albania,2008,Food,Import,2840
Albania,2008,Food,Import,708
Albania,2008,Food,Import,6189
Albania,2008,Food,Import,146
Albania,2008,Food,Import,563
Albania,2008,Food,Import,1743
Albania,2008,Food,Export,211341
