Country or Area,Year,Commodity,Flow,Trade (USD)
Albania,2012,Food,Import,3550207
Albania,2012,Food,Import,85209439
Albania,2012,Food,Import,19863
Albania,2012,Food,Import,450261
Albania,2012,Food,Import,17636
Albania,2012,Food,Import,2009664
Albania,2012,Food,Export,36936
Albania,2012,Food,Import,14658573
Albania,2012,Food,Export,7392
Albania,2012,Food,Import,384320
Albania,2012,Food,Import,1861578
Albania,2012,Food,Import,13377263
Albania,2012,Food,Export,16794
Albania,2012,Food,Import,196487
Albania,2012,Food,Import,47
Albania,2012,Food,Import,544
Albania,2012,Food,Import,3954
Albania,2012,Food,Import,66022
Albania,2011,Food,Import,1703531
Albania,2011,Food,Import,105312692
Albania,2011,Food,Export,35992
Albania,2011,Food,Import,31010
Albania,2011,Food,Import,598611
Albania,2011,Food,Import,749651
Albania,2011,Food,Import,2397458
Albania,2011,Food,Export,13880
Albania,2011,Food,Import,15860545
Albania,2011,Food,Export,61528
Albania,2011,Food,Import,462555
Albania,2011,Food,Export,10229
Albania,2011,Food,Import,3035095
Albania,2011,Food,Import,10858737
Albania,2011,Food,Export,16176
Albania,2011,Food,Import,1038941
Albania,2011,Food,Import,1277
Albania,2011,Food,Import,3154
Albania,2011,Food,Import,26197
Albania,2010,Food,Import,1166828
Albania,2010,Food,Import,67367634
Albania,2010,Food,Import,7746
Albania,2010,Food,Import,452633
Albania,2010,Food,Import,706614
Albania,2010,Food,Import,1677987
Albania,2010,Food,Export,37872
Albania,2010,Food,Import,16450125
Albania,2010,Food,Import,1210396
Albania,2010,Food,Import,2821916
Albania,2010,Food,Export,10395
Albania,2010,Food,Import,8332821
Albania,2010,Food,Export,11278
Albania,2010,Food,Import,2988300
Albania,2010,Food,Import,145
Albania,2010,Food,Import,4488
Albania,2010,Food,Import,10049
Albania,2009,Food,Import,994476
Albania,2009,Food,Import,55814781
Albania,2009,Food,Import,13031
Albania,2009,Food,Import,209879
Albania,2009,Food,Import,79538
Albania,2009,Food,Import,1612084
Albania,2009,Food,Export,8480
Albania,2009,Food,Import,13619183
Albania,2009,Food,Import,2240264
Albania,2009,Food,Import,1313516
Albania,2009,Food,Import,10180022
Albania,2009,Food,Export,33633
Albania,2009,Food,Import,3640403
Albania,2009,Food,Import,1898
Albania,2009,Food,Import,17434
Albania,2008,Food,Import,2934043
Albania,2008,Food,Import,95240505
Albania,2008,Food,Export,34052
Albania,2008,Food,Import,49570
Albania,2008,Food,Import,258333
Albania,2008,Food,Import,719
Albania,2008,Food,Import,796950
Albania,2008,Food,Export,3913
Albania,2008,Food,Import,22052188
Albania,2008,Food,Export,217
Albania,2008,Food,Import,40805
Albania,2008,Food,Import,2128412
Albania,2008,Food,Import,10252115
Albania,2008,Food,Import,2250579
Albania,2008,Food,Import,17524
Albania,2008,Food,Import,10635
Albania,2008,Food,Import,287
Albania,2007,Food,Import,7907374
Albania,2007,Food,Import,72929475
Albania,2007,Food,Export,154435
Albania,2007,Food,Import,4446
Albania,2007,Food,Import,35432
Albania,2007,Food,Import,131170
Albania,2007,Food,Import,663943
Albania,2007,Food,Import,15544722
Albania,2007,Food,Export,12126
Albania,2007,Food,Import,151083
Albania,2007,Food,Import,932451
Albania,2007,Food,Export,24953
Albania,2007,Food,Import,8024046
Albania,2007,Food,Export,38046
Albania,2007,Food,Import,2711735
Albania,2007,Food,Import,536
Albania,2006,Food,Import,13240876
Albania,2006,Food,Import,38623313
Albania,2006,Food,Import,8314
Albania,2006,Food,Import,638154
Albania,2006,Food,Import,19241
Albania,2006,Food,Import,479345
Albania,2006,Food,Import,8096080
Albania,2006,Food,Import,55993
Albania,2006,Food,Import,517517
Albania,2006,Food,Import,8737339
Albania,2006,Food,Export,10645
Albania,2006,Food,Import,1692289
Albania,2006,Food,Import,2056
Albania,2006,Food,Import,308
Albania,2005,Food,Import,11377281
Albania,2005,Food,Import,35225776
Albania,2005,Food,Import,2693
Albania,2005,Food,Import,235654
Albania,2005,Food,Import,19155
Albania,2005,Food,Import,952698
Albania,2005,Food,Import,5173606
Albania,2005,Food,Re-Import,6325
Albania,2005,Food,Import,62992
Albania,2005,Food,Import,2376805
Albania,2005,Food,Export,1067
Albania,2005,Food,Import,4952071
Albania,2005,Food,Import,7080
Albania,2005,Food,Import,12546
Albania,2005,Food,Import,3
Albania,2004,Food,Import,5317866
Albania,2004,Food,Import,50722996
Albania,2004,Food,Import,2596
Albania,2004,Food,Import,702528
Albania,2004,Food,Import,51526
Albania,2004,Food,Import,2782705
Albania,2004,Food,Export,3680
Albania,2004,Food,Import,5265913
Albania,2004,Food,Import,24759
Albania,2004,Food,Import,1233255
Albania,2004,Food,Import,4606305
Albania,2004,Food,Export,934
Albania,2004,Food,Import,330812
Albania,2004,Food,Import,6880
Albania,2004,Food,Import,2842
Albania,2004,Food,Import,9819
Albania,2003,Food,Import,4120
