Country or Area,Year,Commodity,Flow,Trade (USD)
Afghanistan,2012,Food,Import,6919348
Afghanistan,2011,Food,Import,36374529
Afghanistan,2010,Food,Import,68450940
Afghanistan,2009,Food,Import,32960328
Afghanistan,2008,Food,Import,23430877
Albania,2012,Food,Import,1512
Albania,2012,Food,Import,52177
Albania,2012,Food,Import,13084
Albania,2012,Food,Import,41667099
Albania,2012,Food,Export,42173
Albania,2012,Food,Import,52590
Albania,2012,Food,Import,1213
Albania,2012,Food,Import,712263
Albania,2012,Food,Export,1495
Albania,2012,Food,Import,22483
Albania,2012,Food,Export,4099
Albania,2012,Food,Import,384
Albania,2012,Food,Import,6100
Albania,2012,Food,Import,116765
Albania,2012,Food,Export,168749
Albania,2012,Food,Import,598916
Albania,2012,Food,Import,1035828
Albania,2012,Food,Import,5021553
Albania,2012,Food,Export,209639
Albania,2011,Food,Import,87220
Albania,2011,Food,Import,5744
Albania,2011,Food,Import,14138
Albania,2011,Food,Import,43203386
Albania,2011,Food,Export,136
Albania,2011,Food,Import,47185
Albania,2011,Food,Import,8084
Albania,2011,Food,Import,764862
Albania,2011,Food,Import,40336
Albania,2011,Food,Export,2912
Albania,2011,Food,Import,1361
Albania,2011,Food,Import,1173
Albania,2011,Food,Import,162237
Albania,2011,Food,Export,54218
Albania,2011,Food,Import,683387
Albania,2011,Food,Import,1692777
Albania,2011,Food,Import,5644224
Albania,2011,Food,Export,387300
Albania,2010,Food,Import,50267
Albania,2010,Food,Import,37204
Albania,2010,Food,Import,6462
Albania,2010,Food,Import,30269650
Albania,2010,Food,Import,218006
Albania,2010,Food,Import,8868
Albania,2010,Food,Import,535918
Albania,2010,Food,Export,8574
Albania,2010,Food,Export,515
Albania,2010,Food,Import,82389
Albania,2010,Food,Import,2354
Albania,2010,Food,Import,67
Albania,2010,Food,Import,73237
Albania,2010,Food,Export,4581
Albania,2010,Food,Import,15445
Albania,2010,Food,Import,617223
Albania,2010,Food,Import,1211618
Albania,2010,Food,Export,7586
Albania,2010,Food,Import,4695112
Albania,2010,Food,Export,91397
Albania,2009,Food,Import,26532
Albania,2009,Food,Export,13793
Albania,2009,Food,Import,9125
Albania,2009,Food,Import,9916
Albania,2009,Food,Import,23720145
Albania,2009,Food,Export,16349
Albania,2009,Food,Import,224130
Albania,2009,Food,Import,6343
Albania,2009,Food,Import,307249
Albania,2009,Food,Export,1807
Albania,2009,Food,Import,203229
Albania,2009,Food,Import,1240
Albania,2009,Food,Import,5325
Albania,2009,Food,Import,145816
Albania,2009,Food,Import,2331
Albania,2009,Food,Import,651464
Albania,2009,Food,Import,1440380
Albania,2009,Food,Import,3918720
Albania,2009,Food,Export,60231
Albania,2008,Food,Import,11138
Albania,2008,Food,Import,10058
Albania,2008,Food,Import,24242
Albania,2008,Food,Export,3405
Albania,2008,Food,Import,36987860
Albania,2008,Food,Export,12930
Albania,2008,Food,Import,55735
Albania,2008,Food,Import,2827
Albania,2008,Food,Import,366427
Albania,2008,Food,Import,119736
Albania,2008,Food,Import,3360
Albania,2008,Food,Import,1344
Albania,2008,Food,Import,124936
Albania,2008,Food,Import,1952
Albania,2008,Food,Import,644801
Albania,2008,Food,Import,1536679
Albania,2008,Food,Import,4710007
Albania,2008,Food,Export,40992
Albania,2007,Food,Import,14
Albania,2007,Food,Export,31
Albania,2007,Food,Import,2355
Albania,2007,Food,Import,18706
Albania,2007,Food,Export,5840
Albania,2007,Food,Import,24328811
Albania,2007,Food,Export,5711
Albania,2007,Food,Import,41725
