Country or Area,Year,Commodity,Flow,Trade (USD)
Afghanistan,2011,Food,Import,155702786
Afghanistan,2010,Food,Import,107614723
Afghanistan,2009,Food,Import,78481859
Afghanistan,2008,Food,Import,52062498
Albania,2012,Food,Import,874
Albania,2012,Food,Import,151
Albania,2012,Food,Import,700917
Albania,2012,Food,Export,312
Albania,2012,Food,Import,237046
Albania,2012,Food,Import,302464
Albania,2012,Food,Export,691
Albania,2012,Food,Import,3300071
Albania,2012,Food,Import,1715654
Albania,2012,Food,Import,7065378
Albania,2012,Food,Export,93648
Albania,2011,Food,Import,19877
Albania,2011,Food,Import,327
Albania,2011,Food,Import,467
Albania,2011,Food,Export,1222
Albania,2011,Food,Import,629684
Albania,2011,Food,Import,169574
Albania,2011,Food,Import,333660
Albania,2011,Food,Export,61879
Albania,2011,Food,Import,3129366
Albania,2011,Food,Import,2403160
Albania,2011,Food,Import,5839225
Albania,2011,Food,Export,6974
Albania,2010,Food,Import,295
Albania,2010,Food,Import,948
Albania,2010,Food,Import,642440
Albania,2010,Food,Import,267956
Albania,2010,Food,Import,379078
Albania,2010,Food,Export,40297
Albania,2010,Food,Import,2594927
Albania,2010,Food,Export,8191
Albania,2010,Food,Import,2243994
Albania,2010,Food,Import,4834728
Albania,2010,Food,Export,39785
Albania,2009,Food,Import,1919
Albania,2009,Food,Import,128
Albania,2009,Food,Import,596
Albania,2009,Food,Import,476352
Albania,2009,Food,Import,192537
Albania,2009,Food,Import,491583
Albania,2009,Food,Export,11192
Albania,2009,Food,Import,1946991
Albania,2009,Food,Import,1952084
Albania,2009,Food,Import,4961899
Albania,2009,Food,Export,26320
Albania,2008,Food,Import,2629
Albania,2008,Food,Import,65
Albania,2008,Food,Import,714193
Albania,2008,Food,Import,238041
Albania,2008,Food,Import,1006897
Albania,2008,Food,Export,24105
Albania,2008,Food,Import,1669100
Albania,2008,Food,Import,2487522
Albania,2008,Food,Export,611
Albania,2008,Food,Import,5407269
Albania,2008,Food,Export,38705
Albania,2007,Food,Import,5680
Albania,2007,Food,Import,412979
Albania,2007,Food,Import,116622
Albania,2007,Food,Import,713608
Albania,2007,Food,Import,1625488
Albania,2007,Food,Import,2251326
Albania,2007,Food,Import,4137703
Albania,2007,Food,Export,8242
Albania,2006,Food,Import,87
Albania,2006,Food,Import,319
Albania,2006,Food,Import,297505
Albania,2006,Food,Import,99290
Albania,2006,Food,Export,46463
Albania,2006,Food,Import,433937
Albania,2006,Food,Import,1414679
Albania,2006,Food,Export,12424
Albania,2006,Food,Import,2187921
Albania,2006,Food,Import,3896807
Albania,2006,Food,Export,11561
Albania,2005,Food,Import,7961
Albania,2005,Food,Import,1234
Albania,2005,Food,Import,1574
Albania,2005,Food,Import,257239
Albania,2005,Food,Import,92069
Albania,2005,Food,Export,213744
Albania,2005,Food,Import,395161
Albania,2005,Food,Import,852402
Albania,2005,Food,Export,13647
Albania,2005,Food,Import,2227968
Albania,2005,Food,Export,7609
Albania,2005,Food,Import,2976558
Albania,2005,Food,Export,2265
Albania,2005,Food,Re-Export,2265
Albania,2004,Food,Import,2729
Albania,2004,Food,Import,9224
Albania,2004,Food,Import,331888
Albania,2004,Food,Export,8678
Albania,2004,Food,Import,87380
Albania,2004,Food,Export,12305
Albania,2004,Food,Import,452430
Albania,2004,Food,Import,1297162
Albania,2004,Food,Export,30461
Albania,2004,Food,Import,1316895
Albania,2004,Food,Import,2236951
Albania,2004,Food,Export,127
Albania,2003,Food,Import,1756
