Country or Area,Year,Commodity,Flow,Trade (USD)
Albania,2012,Food,Import,1949370
Albania,2012,Food,Import,952479
Albania,2012,Food,Export,277
Albania,2012,Food,Import,2095928
Albania,2012,Food,Export,4470
Albania,2012,Food,Import,1155873
Albania,2012,Food,Export,155
Albania,2012,Food,Import,13310067
Albania,2012,Food,Export,200046
Albania,2012,Food,Import,349707
Albania,2012,Food,Import,511029
Albania,2012,Food,Import,11146
Albania,2012,Food,Import,2933857
Albania,2012,Food,Export,9409
Albania,2012,Food,Import,152878
Albania,2012,Food,Import,104613
Albania,2012,Food,Export,1953
Albania,2012,Food,Import,53898
Albania,2012,Food,Import,13663728
Albania,2012,Food,Export,303889
Albania,2012,Food,Import,3638928
Albania,2012,Food,Export,37199
Albania,2012,Food,Import,20079741
Albania,2012,Food,Export,3923063
Albania,2011,Food,Import,1894466
Albania,2011,Food,Import,971397
Albania,2011,Food,Import,1711865
Albania,2011,Food,Import,1187200
Albania,2011,Food,Import,12703743
Albania,2011,Food,Export,217253
Albania,2011,Food,Import,365511
Albania,2011,Food,Import,430364
Albania,2011,Food,Import,5101
Albania,2011,Food,Import,2955071
Albania,2011,Food,Export,2955
Albania,2011,Food,Import,101218
Albania,2011,Food,Import,77176
Albania,2011,Food,Import,38683
Albania,2011,Food,Import,18849056
Albania,2011,Food,Export,28132
Albania,2011,Food,Import,4056029
Albania,2011,Food,Export,5905
Albania,2011,Food,Import,18152404
Albania,2011,Food,Export,1804645
Albania,2010,Food,Import,1619745
Albania,2010,Food,Import,1030623
Albania,2010,Food,Import,839457
Albania,2010,Food,Import,1285921
Albania,2010,Food,Export,1276
Albania,2010,Food,Import,11561069
Albania,2010,Food,Import,328409
Albania,2010,Food,Import,349957
Albania,2010,Food,Import,4685
Albania,2010,Food,Import,2855763
Albania,2010,Food,Import,77386
Albania,2010,Food,Import,76721
Albania,2010,Food,Import,66358
Albania,2010,Food,Import,16843751
Albania,2010,Food,Import,4393479
Albania,2010,Food,Import,15859186
Albania,2010,Food,Export,555982
Albania,2009,Food,Import,1087517
Albania,2009,Food,Import,785505
Albania,2009,Food,Import,1096703
Albania,2009,Food,Import,1428804
Albania,2009,Food,Import,11104573
Albania,2009,Food,Export,20649
Albania,2009,Food,Import,278040
Albania,2009,Food,Import,434694
Albania,2009,Food,Import,31369
Albania,2009,Food,Import,511
Albania,2009,Food,Import,2738166
Albania,2009,Food,Import,24497
Albania,2009,Food,Import,134409
Albania,2009,Food,Import,45070
Albania,2009,Food,Export,26732
Albania,2009,Food,Import,16441006
Albania,2009,Food,Export,2764
Albania,2009,Food,Import,3986040
Albania,2009,Food,Export,9044
Albania,2009,Food,Import,17033835
Albania,2009,Food,Export,317641
Albania,2008,Food,Import,893347
Albania,2008,Food,Export,25420
Albania,2008,Food,Import,491486
Albania,2008,Food,Import,446648
Albania,2008,Food,Export,39051
Albania,2008,Food,Import,1516649
