Country or Area,Year,Commodity,Flow,Trade (USD)
Afghanistan,2011,miscellaneous,Import,19578602
Afghanistan,2011,miscellaneous,Import,4264158
Afghanistan,2011,miscellaneous,Import,3837261
Afghanistan,2011,miscellaneous,Import,69858635
Afghanistan,2010,miscellaneous,Import,15286531
Afghanistan,2010,miscellaneous,Import,14043035
Afghanistan,2010,miscellaneous,Import,10763579
Afghanistan,2010,miscellaneous,Import,75378054
Afghanistan,2009,miscellaneous,Import,7203199
Afghanistan,2009,miscellaneous,Import,6282983
Afghanistan,2009,miscellaneous,Import,4675501
Afghanistan,2009,miscellaneous,Import,37676823
Afghanistan,2008,miscellaneous,Import,5994168
Afghanistan,2008,miscellaneous,Import,3344182
Afghanistan,2008,miscellaneous,Import,38288791
Albania,2013,miscellaneous,Import,167
Albania,2013,miscellaneous,Import,338885
Albania,2013,miscellaneous,Import,3315
Albania,2013,miscellaneous,Import,70836
Albania,2013,miscellaneous,Export,16776
Albania,2013,miscellaneous,Import,716702
Albania,2013,miscellaneous,Import,100060
Albania,2013,miscellaneous,Import,79243
Albania,2013,miscellaneous,Import,12196
Albania,2013,miscellaneous,Import,23124
Albania,2013,miscellaneous,Import,40628
Albania,2013,miscellaneous,Import,25871
Albania,2013,miscellaneous,Import,5225
Albania,2013,miscellaneous,Import,18294
Albania,2013,miscellaneous,Import,48566
Albania,2013,miscellaneous,Import,7198
Albania,2013,miscellaneous,Import,81286
Albania,2013,miscellaneous,Import,989
Albania,2013,miscellaneous,Import,1890876
Albania,2013,miscellaneous,Export,129802
Albania,2013,miscellaneous,Import,176000
Albania,2013,miscellaneous,Export,27350
Albania,2013,miscellaneous,Import,32810
Albania,2013,miscellaneous,Import,165984
Albania,2013,miscellaneous,Export,3104
Albania,2013,miscellaneous,Import,753162
Albania,2013,miscellaneous,Import,2183
Albania,2013,miscellaneous,Import,944054
Albania,2013,miscellaneous,Import,1197328
Albania,2013,miscellaneous,Export,4020
Albania,2013,miscellaneous,Import,695050
Albania,2013,miscellaneous,Export,13338
Albania,2013,miscellaneous,Import,2409804
Albania,2013,miscellaneous,Import,1661326
Albania,2013,miscellaneous,Import,4728725
Albania,2013,miscellaneous,Export,7666
Albania,2013,miscellaneous,Import,623484
Albania,2013,miscellaneous,Import,841
Albania,2013,miscellaneous,Import,12016
Albania,2013,miscellaneous,Import,797560
Albania,2013,miscellaneous,Import,432693
Albania,2013,miscellaneous,Export,144414
Albania,2013,miscellaneous,Import,33360
Albania,2013,miscellaneous,Import,2299
Albania,2013,miscellaneous,Import,4170
Albania,2013,miscellaneous,Import,2250170
Albania,2013,miscellaneous,Export,2191194
Albania,2013,miscellaneous,Import,799446
Albania,2013,miscellaneous,Export,10607
Albania,2013,miscellaneous,Import,368130
Albania,2013,miscellaneous,Import,81366
Albania,2013,miscellaneous,Import,809407
Albania,2013,miscellaneous,Export,24255
Albania,2013,miscellaneous,Import,65198
Albania,2013,miscellaneous,Export,1585
Albania,2013,miscellaneous,Import,532955
Albania,2013,miscellaneous,Export,20190
Albania,2013,miscellaneous,Import,1956231
Albania,2013,miscellaneous,Export,36356
Albania,2013,miscellaneous,Import,1792047
Albania,2013,miscellaneous,Export,3256
Albania,2013,miscellaneous,Import,5956091
Albania,2013,miscellaneous,Export,93254
Albania,2013,miscellaneous,Import,52017
Albania,2013,miscellaneous,Import,3851586
Albania,2013,miscellaneous,Export,74617
Albania,2013,miscellaneous,Import,110508
Albania,2013,miscellaneous,Export,273
Albania,2013,miscellaneous,Import,161655
Albania,2013,miscellaneous,Export,1163
Albania,2013,miscellaneous,Import,47000
Albania,2013,miscellaneous,Export,9
Albania,2013,miscellaneous,Import,540331
Albania,2013,miscellaneous,Export,70362
Albania,2013,miscellaneous,Import,290023
Albania,2013,miscellaneous,Export,6216
Albania,2013,miscellaneous,Import,1020927
Albania,2013,miscellaneous,Export,28558
Albania,2013,miscellaneous,Import,1612068
Albania,2013,miscellaneous,Export,2953
Albania,2013,miscellaneous,Import,2039851
Albania,2013,miscellaneous,Export,18516
Albania,2013,miscellaneous,Import,1894381
Albania,2013,miscellaneous,Export,3802
Albania,2013,miscellaneous,Import,422808
Albania,2013,miscellaneous,Export,4203
Albania,2013,miscellaneous,Import,10303989
Albania,2013,miscellaneous,Export,10451
Albania,2013,miscellaneous,Import,3121014
Albania,2013,miscellaneous,Export,3706
Albania,2013,miscellaneous,Import,1035462
Albania,2013,miscellaneous,Export,18324
Albania,2013,miscellaneous,Import,822240
Albania,2013,miscellaneous,Export,2108
Albania,2013,miscellaneous,Import,2557295
Albania,2013,miscellaneous,Export,4617
Albania,2013,miscellaneous,Import,20684
Albania,2013,miscellaneous,Import,194539
Albania,2013,miscellaneous,Export,1085
Albania,2013,miscellaneous,Import,135180
Albania,2013,miscellaneous,Export,1118
Albania,2013,miscellaneous,Import,211123
Albania,2013,miscellaneous,Import,605862
Albania,2013,miscellaneous,Import,135411
Albania,2013,miscellaneous,Import,424496
Albania,2013,miscellaneous,Import,7153868
Albania,2013,miscellaneous,Export,56863
Albania,2013,miscellaneous,Import,4371735
Albania,2013,miscellaneous,Export,4332
Albania,2013,miscellaneous,Import,309331
Albania,2013,miscellaneous,Export,902
Albania,2013,miscellaneous,Import,2031474
Albania,2013,miscellaneous,Export,3079
Albania,2013,miscellaneous,Import,525662
Albania,2013,miscellaneous,Export,3749
Albania,2013,miscellaneous,Import,4538103
Albania,2013,miscellaneous,Export,51505
Albania,2013,miscellaneous,Import,792218
Albania,2013,miscellaneous,Import,1440073
Albania,2013,miscellaneous,Export,50538
Albania,2013,miscellaneous,Import,57215
Albania,2013,miscellaneous,Import,1533940
Albania,2013,miscellaneous,Export,65880
Albania,2013,miscellaneous,Import,39668
Albania,2013,miscellaneous,Import,1566248
Albania,2013,miscellaneous,Import,68496
Albania,2013,miscellaneous,Export,8698
Albania,2013,miscellaneous,Import,1538
Albania,2013,miscellaneous,Import,73001
Albania,2013,miscellaneous,Export,124
Albania,2013,miscellaneous,Import,53042
Albania,2013,miscellaneous,Import,133125
Albania,2013,miscellaneous,Import,486997
Albania,2013,miscellaneous,Import,22361
Albania,2013,miscellaneous,Import,1755631
Albania,2013,miscellaneous,Export,35017
Albania,2013,miscellaneous,Import,593947
Albania,2013,miscellaneous,Export,15295
Albania,2013,miscellaneous,Import,509649
Albania,2013,miscellaneous,Import,1337
Albania,2013,miscellaneous,Import,2507
Albania,2013,miscellaneous,Import,115093
Albania,2013,miscellaneous,Import,30544
Albania,2013,miscellaneous,Import,667781
Albania,2013,miscellaneous,Import,1196784
Albania,2013,miscellaneous,Export,23700
Albania,2013,miscellaneous,Import,162712
Albania,2013,miscellaneous,Import,3135685
Albania,2013,miscellaneous,Export,76263
Albania,2013,miscellaneous,Import,582597
Albania,2013,miscellaneous,Export,3440
Albania,2013,miscellaneous,Export,22476
Albania,2013,miscellaneous,Import,1801409
Albania,2013,miscellaneous,Import,750723
Albania,2013,miscellaneous,Export,940304
Albania,2013,miscellaneous,Import,188030
Albania,2013,miscellaneous,Import,1703505
Albania,2013,miscellaneous,Import,1532675
Albania,2013,miscellaneous,Export,30525
Albania,2013,miscellaneous,Import,163080
Albania,2013,miscellaneous,Export,2881
Albania,2013,miscellaneous,Import,747885
Albania,2013,miscellaneous,Import,3357501
Albania,2013,miscellaneous,Import,3660747
Albania,2013,miscellaneous,Export,57296
Albania,2013,miscellaneous,Import,1289543
Albania,2013,miscellaneous,Export,4860
Albania,2013,miscellaneous,Import,155487
Albania,2013,miscellaneous,Import,142182
Albania,2013,miscellaneous,Import,16793
Albania,2013,miscellaneous,Import,321836
Albania,2013,miscellaneous,Import,129610
Albania,2013,miscellaneous,Import,178199
Albania,2013,miscellaneous,Import,191821
Albania,2013,miscellaneous,Export,4498
Albania,2013,miscellaneous,Import,451934
Albania,2013,miscellaneous,Export,3644
Albania,2013,miscellaneous,Import,176410
Albania,2013,miscellaneous,Import,174557
Albania,2013,miscellaneous,Import,489137
Albania,2013,miscellaneous,Export,792
Albania,2013,miscellaneous,Import,303374
Albania,2013,miscellaneous,Import,433602
Albania,2013,miscellaneous,Import,33336
Albania,2013,miscellaneous,Import,13263
Albania,2013,miscellaneous,Import,278112
Albania,2013,miscellaneous,Export,5692
Albania,2013,miscellaneous,Import,108693
Albania,2013,miscellaneous,Export,4354
Albania,2013,miscellaneous,Import,241967
Albania,2013,miscellaneous,Export,2572
Albania,2013,miscellaneous,Import,130742
Albania,2013,miscellaneous,Export,635
Albania,2013,miscellaneous,Import,101842
Albania,2013,miscellaneous,Import,320497
Albania,2013,miscellaneous,Import,164642
Albania,2013,miscellaneous,Import,242269
Albania,2013,miscellaneous,Export,6777
Albania,2013,miscellaneous,Import,94063
Albania,2013,miscellaneous,Import,90281
Albania,2013,miscellaneous,Export,14463
Albania,2013,miscellaneous,Import,3351866
Albania,2013,miscellaneous,Export,2313
Albania,2013,miscellaneous,Import,32246
Albania,2013,miscellaneous,Import,40543
Albania,2013,miscellaneous,Export,397
Albania,2013,miscellaneous,Import,76875
Albania,2013,miscellaneous,Export,4013
Albania,2013,miscellaneous,Import,751308
Albania,2013,miscellaneous,Export,18761
Albania,2013,miscellaneous,Import,797169
Albania,2013,miscellaneous,Export,331372
Albania,2013,miscellaneous,Import,221009
Albania,2013,miscellaneous,Export,3112
Albania,2013,miscellaneous,Import,3625944
Albania,2013,miscellaneous,Export,1585
Albania,2013,miscellaneous,Import,349681
Albania,2013,miscellaneous,Import,6240
Albania,2013,miscellaneous,Import,14345
Albania,2013,miscellaneous,Import,1045341
Albania,2013,miscellaneous,Import,290329
Albania,2013,miscellaneous,Export,12939
Albania,2013,miscellaneous,Import,627264
Albania,2013,miscellaneous,Export,663
Albania,2013,miscellaneous,Import,1158
Albania,2013,miscellaneous,Import,223889
Albania,2013,miscellaneous,Export,1644780
Albania,2013,miscellaneous,Import,353042
Albania,2013,miscellaneous,Export,405881
Albania,2013,miscellaneous,Import,766495
Albania,2013,miscellaneous,Import,337801
Albania,2013,miscellaneous,Export,62375
Albania,2013,miscellaneous,Import,170164
Albania,2013,miscellaneous,Export,16152
Albania,2013,miscellaneous,Import,1200746
Albania,2013,miscellaneous,Export,156280
Albania,2013,miscellaneous,Import,3018715
Albania,2013,miscellaneous,Export,250681
