Country or Area,Year,Commodity,Flow,Trade (USD)
Afghanistan,2012,miscellaneous,Import,9333232
Afghanistan,2011,miscellaneous,Import,33303379
Afghanistan,2011,miscellaneous,Import,10380897
Afghanistan,2011,miscellaneous,Import,2589389
Afghanistan,2011,miscellaneous,Import,4522936
Afghanistan,2011,miscellaneous,Import,3257862
Afghanistan,2011,miscellaneous,Import,378875
Afghanistan,2011,miscellaneous,Import,10482310
Afghanistan,2010,miscellaneous,Import,20765226
Afghanistan,2010,miscellaneous,Import,4424062
Afghanistan,2010,miscellaneous,Import,3142688
Afghanistan,2010,miscellaneous,Import,4722200
Afghanistan,2010,miscellaneous,Import,1645552
Afghanistan,2010,miscellaneous,Import,8309
Afghanistan,2010,miscellaneous,Import,9774212
Afghanistan,2009,miscellaneous,Import,28002274
Afghanistan,2009,miscellaneous,Import,1341514
Afghanistan,2009,miscellaneous,Import,999618
Afghanistan,2009,miscellaneous,Import,2063532
Afghanistan,2009,miscellaneous,Import,1609783
Afghanistan,2009,miscellaneous,Import,83954
Afghanistan,2009,miscellaneous,Import,6507805
Afghanistan,2008,miscellaneous,Import,1104214
Afghanistan,2008,miscellaneous,Import,14081682
Afghanistan,2008,miscellaneous,Import,2396243
Afghanistan,2008,miscellaneous,Import,889030
Afghanistan,2008,miscellaneous,Import,1090455
Afghanistan,2008,miscellaneous,Import,21832
Afghanistan,2008,miscellaneous,Import,12696261
Albania,2013,miscellaneous,Import,427653
Albania,2013,miscellaneous,Export,13063876
Albania,2013,miscellaneous,Import,64499
Albania,2013,miscellaneous,Import,60183
Albania,2013,miscellaneous,Export,333
Albania,2013,miscellaneous,Import,53770
Albania,2013,miscellaneous,Export,398
Albania,2013,miscellaneous,Import,161976
Albania,2013,miscellaneous,Import,1824890
Albania,2013,miscellaneous,Import,153106
Albania,2013,miscellaneous,Import,39047
Albania,2013,miscellaneous,Export,2459
Albania,2013,miscellaneous,Import,438122
Albania,2013,miscellaneous,Export,830
Albania,2013,miscellaneous,Import,710936
Albania,2013,miscellaneous,Export,2007
Albania,2013,miscellaneous,Import,143646
Albania,2013,miscellaneous,Export,824240
Albania,2013,miscellaneous,Import,48379
Albania,2013,miscellaneous,Import,1785
Albania,2013,miscellaneous,Export,43430
Albania,2013,miscellaneous,Import,3154933
Albania,2013,miscellaneous,Import,701937
Albania,2013,miscellaneous,Export,36578
Albania,2013,miscellaneous,Import,744173
