Country or Area,Year,Commodity,Flow,Trade (USD)
Afghanistan,2011,miscellaneous,Import,5090093
Afghanistan,2011,miscellaneous,Import,51090096
Afghanistan,2010,miscellaneous,Import,3383904
Afghanistan,2010,miscellaneous,Import,85734462
Afghanistan,2009,miscellaneous,Import,2144815
Afghanistan,2009,miscellaneous,Import,55616159
Afghanistan,2008,miscellaneous,Import,1199426
Afghanistan,2008,miscellaneous,Import,44070337
Albania,2013,miscellaneous,Import,5663
Albania,2013,miscellaneous,Import,108893
Albania,2013,miscellaneous,Import,6968
Albania,2013,miscellaneous,Import,429229
Albania,2013,miscellaneous,Import,7666
Albania,2013,miscellaneous,Import,275564
Albania,2013,miscellaneous,Import,13299
Albania,2013,miscellaneous,Import,9136
Albania,2013,miscellaneous,Import,36589
Albania,2013,miscellaneous,Export,398
Albania,2013,miscellaneous,Import,267520
Albania,2013,miscellaneous,Import,279261
Albania,2013,miscellaneous,Import,30378
Albania,2013,miscellaneous,Import,1140135
Albania,2013,miscellaneous,Export,157996
Albania,2013,miscellaneous,Import,445208
Albania,2013,miscellaneous,Import,5249
Albania,2013,miscellaneous,Import,1806
Albania,2013,miscellaneous,Import,209
Albania,2013,miscellaneous,Import,3620
Albania,2013,miscellaneous,Import,5915
Albania,2013,miscellaneous,Import,301
Albania,2013,miscellaneous,Import,269
Albania,2013,miscellaneous,Import,9137
Albania,2013,miscellaneous,Import,2260
Albania,2013,miscellaneous,Import,116
Albania,2013,miscellaneous,Import,17321
Albania,2013,miscellaneous,Import,209790
Albania,2013,miscellaneous,Import,48
Albania,2013,miscellaneous,Import,144315
Albania,2013,miscellaneous,Export,36015
Albania,2013,miscellaneous,Import,64940
Albania,2013,miscellaneous,Import,46809
Albania,2013,miscellaneous,Import,2084
Albania,2013,miscellaneous,Import,19585
Albania,2013,miscellaneous,Import,586
Albania,2013,miscellaneous,Import,3843
Albania,2013,miscellaneous,Export,5501
Albania,2013,miscellaneous,Import,45530
Albania,2013,miscellaneous,Import,4178
Albania,2013,miscellaneous,Export,764
Albania,2013,miscellaneous,Import,47432
Albania,2013,miscellaneous,Import,4525
Albania,2013,miscellaneous,Import,137323
Albania,2013,miscellaneous,Import,40384
Albania,2013,miscellaneous,Import,695
Albania,2013,miscellaneous,Import,482
Albania,2013,miscellaneous,Import,66799
Albania,2013,miscellaneous,Import,34371
Albania,2013,miscellaneous,Export,7940
Albania,2013,miscellaneous,Import,12477
Albania,2013,miscellaneous,Import,27260
Albania,2013,miscellaneous,Import,6269
Albania,2013,miscellaneous,Import,11644
Albania,2013,miscellaneous,Import,2150
Albania,2013,miscellaneous,Import,359
Albania,2013,miscellaneous,Import,1259789
Albania,2013,miscellaneous,Export,4546
Albania,2013,miscellaneous,Import,118554
Albania,2013,miscellaneous,Export,743
Albania,2013,miscellaneous,Import,38867
Albania,2013,miscellaneous,Export,660
Albania,2013,miscellaneous,Import,1534
Albania,2013,miscellaneous,Import,537660
Albania,2013,miscellaneous,Export,133502
Albania,2013,miscellaneous,Import,209382
Albania,2013,miscellaneous,Export,177845
Albania,2013,miscellaneous,Import,34555
Albania,2013,miscellaneous,Import,4854
Albania,2013,miscellaneous,Import,105433
Albania,2013,miscellaneous,Export,2384
Albania,2013,miscellaneous,Import,21701
Albania,2013,miscellaneous,Export,60
Albania,2013,miscellaneous,Import,103398
Albania,2013,miscellaneous,Export,3
Albania,2013,miscellaneous,Import,3417
Albania,2013,miscellaneous,Export,858
Albania,2013,miscellaneous,Import,27905
Albania,2013,miscellaneous,Import,1395295
Albania,2013,miscellaneous,Export,173062
Albania,2013,miscellaneous,Import,94490
Albania,2013,miscellaneous,Import,1812599
Albania,2013,miscellaneous,Export,99397
Albania,2013,miscellaneous,Import,357264
Albania,2013,miscellaneous,Import,5158248
Albania,2013,miscellaneous,Export,78419
Albania,2013,miscellaneous,Import,340217
Albania,2013,miscellaneous,Export,340
Albania,2013,miscellaneous,Import,1620314
Albania,2013,miscellaneous,Export,19202
Albania,2013,miscellaneous,Import,236118
Albania,2013,miscellaneous,Import,5672421
Albania,2013,miscellaneous,Export,173445
Albania,2013,miscellaneous,Import,642812
Albania,2013,miscellaneous,Import,371184
Albania,2013,miscellaneous,Export,1483
Albania,2013,miscellaneous,Import,92235
Albania,2013,miscellaneous,Export,111855
Albania,2013,miscellaneous,Import,789402
Albania,2013,miscellaneous,Export,300345
Albania,2013,miscellaneous,Import,503462
Albania,2013,miscellaneous,Export,9358
Albania,2013,miscellaneous,Import,61774
Albania,2013,miscellaneous,Export,2648
Albania,2013,miscellaneous,Import,163932
Albania,2013,miscellaneous,Import,543453
Albania,2013,miscellaneous,Export,116218
Albania,2013,miscellaneous,Import,94403
Albania,2013,miscellaneous,Import,193393
Albania,2013,miscellaneous,Import,323892
Albania,2013,miscellaneous,Export,151606
Albania,2013,miscellaneous,Import,350961
Albania,2013,miscellaneous,Import,976654
Albania,2013,miscellaneous,Import,3760
Albania,2013,miscellaneous,Import,32264
Albania,2013,miscellaneous,Import,162771
Albania,2013,miscellaneous,Import,484988
Albania,2013,miscellaneous,Export,345683
Albania,2013,miscellaneous,Import,588752
Albania,2013,miscellaneous,Export,2975
Albania,2013,miscellaneous,Import,112157
Albania,2013,miscellaneous,Import,113610
Albania,2013,miscellaneous,Export,12942
Albania,2013,miscellaneous,Import,27170
Albania,2013,miscellaneous,Import,167406
Albania,2013,miscellaneous,Export,20951
Albania,2013,miscellaneous,Import,272739
Albania,2013,miscellaneous,Export,49122
Albania,2013,miscellaneous,Import,136790
Albania,2013,miscellaneous,Export,40
Albania,2013,miscellaneous,Import,73571
Albania,2013,miscellaneous,Export,776
Albania,2013,miscellaneous,Import,484599
Albania,2013,miscellaneous,Import,674954
Albania,2013,miscellaneous,Export,3849
Albania,2013,miscellaneous,Import,184207
Albania,2013,miscellaneous,Export,5054
Albania,2013,miscellaneous,Import,117943
Albania,2013,miscellaneous,Export,634358
Albania,2013,miscellaneous,Import,764452
Albania,2013,miscellaneous,Import,364308
Albania,2013,miscellaneous,Import,535505
Albania,2013,miscellaneous,Export,7894
Albania,2013,miscellaneous,Import,260289
Albania,2013,miscellaneous,Export,88805
Albania,2013,miscellaneous,Import,763562
Albania,2013,miscellaneous,Export,45787
Albania,2013,miscellaneous,Import,291965
Albania,2013,miscellaneous,Export,6040
Albania,2013,miscellaneous,Import,12457
Albania,2013,miscellaneous,Export,1306
Albania,2013,miscellaneous,Import,1853084
Albania,2013,miscellaneous,Import,1122796
Albania,2013,miscellaneous,Export,361
Albania,2013,miscellaneous,Import,55491
Albania,2013,miscellaneous,Import,19482
Albania,2013,miscellaneous,Import,183666
Albania,2013,miscellaneous,Import,11283
Albania,2013,miscellaneous,Import,50681
Albania,2013,miscellaneous,Export,267
Albania,2013,miscellaneous,Import,9181
Albania,2013,miscellaneous,Export,1983
Albania,2013,miscellaneous,Import,108621
Albania,2013,miscellaneous,Export,3663
Albania,2013,miscellaneous,Import,106914
Albania,2013,miscellaneous,Import,514025
Albania,2013,miscellaneous,Export,97
Albania,2013,miscellaneous,Import,332908
Albania,2013,miscellaneous,Import,85662
Albania,2013,miscellaneous,Import,18133
Albania,2013,miscellaneous,Import,88217
Albania,2013,miscellaneous,Import,80380
Albania,2013,miscellaneous,Import,173789
Albania,2013,miscellaneous,Export,295440
Albania,2013,miscellaneous,Import,535706
Albania,2013,miscellaneous,Export,193153
Albania,2013,miscellaneous,Import,245927
Albania,2013,miscellaneous,Export,46055
Albania,2013,miscellaneous,Import,637657
Albania,2013,miscellaneous,Import,145050
Albania,2013,miscellaneous,Import,23929
Albania,2013,miscellaneous,Export,8892
Albania,2013,miscellaneous,Import,703996
Albania,2013,miscellaneous,Import,110419
Albania,2013,miscellaneous,Export,18055
Albania,2013,miscellaneous,Import,151750
Albania,2013,miscellaneous,Export,2787
Albania,2012,miscellaneous,Import,2075
Albania,2012,miscellaneous,Import,72814
Albania,2012,miscellaneous,Import,21638
Albania,2012,miscellaneous,Import,293122
Albania,2012,miscellaneous,Import,4394
Albania,2012,miscellaneous,Import,186666
Albania,2012,miscellaneous,Import,14073
Albania,2012,miscellaneous,Export,90
Albania,2012,miscellaneous,Import,1185
Albania,2012,miscellaneous,Import,29826
Albania,2012,miscellaneous,Import,249210
Albania,2012,miscellaneous,Export,13768
Albania,2012,miscellaneous,Import,170386
Albania,2012,miscellaneous,Export,2612
Albania,2012,miscellaneous,Import,26771
Albania,2012,miscellaneous,Import,1063534
Albania,2012,miscellaneous,Export,2055
Albania,2012,miscellaneous,Import,507506
Albania,2012,miscellaneous,Export,397
Albania,2012,miscellaneous,Import,9059
Albania,2012,miscellaneous,Import,5173
Albania,2012,miscellaneous,Import,2579
Albania,2012,miscellaneous,Import,4790
Albania,2012,miscellaneous,Import,1443
Albania,2012,miscellaneous,Import,2659
Albania,2012,miscellaneous,Import,12731
Albania,2012,miscellaneous,Import,3515
Albania,2012,miscellaneous,Import,2170
Albania,2012,miscellaneous,Import,53149
Albania,2012,miscellaneous,Import,904
Albania,2012,miscellaneous,Import,166
Albania,2012,miscellaneous,Import,947
Albania,2012,miscellaneous,Import,22753
Albania,2012,miscellaneous,Import,42
Albania,2012,miscellaneous,Export,36601
Albania,2012,miscellaneous,Import,6573
Albania,2012,miscellaneous,Import,5931
Albania,2012,miscellaneous,Import,62895
Albania,2012,miscellaneous,Import,22662
Albania,2012,miscellaneous,Import,54359
Albania,2012,miscellaneous,Export,1062
Albania,2012,miscellaneous,Import,6985
