Country or Area,Year,Commodity,Flow,Trade (USD)
Albania,2013,miscellaneous,Import,39068
Albania,2013,miscellaneous,Import,13675
Albania,2013,miscellaneous,Import,15494
Albania,2013,miscellaneous,Import,10351
Albania,2013,miscellaneous,Import,75999
Albania,2013,miscellaneous,Import,1355
Albania,2013,miscellaneous,Import,6925
Albania,2013,miscellaneous,Import,11876
Albania,2013,miscellaneous,Import,126911
Albania,2013,miscellaneous,Import,13982
Albania,2013,miscellaneous,Import,565
Albania,2013,miscellaneous,Import,13507
Albania,2013,miscellaneous,Export,265
Albania,2013,miscellaneous,Import,5798
Albania,2013,miscellaneous,Import,226
Albania,2013,miscellaneous,Export,3641
Albania,2013,miscellaneous,Import,1048
Albania,2013,miscellaneous,Import,6828
Albania,2013,miscellaneous,Import,43674
Albania,2012,miscellaneous,Import,40099
Albania,2012,miscellaneous,Import,27881
Albania,2012,miscellaneous,Import,9856
Albania,2012,miscellaneous,Export,190
Albania,2012,miscellaneous,Import,2822
Albania,2012,miscellaneous,Import,60062
Albania,2012,miscellaneous,Import,3460
Albania,2012,miscellaneous,Import,8408
Albania,2012,miscellaneous,Import,4712
Albania,2012,miscellaneous,Import,80981
Albania,2012,miscellaneous,Import,19217
Albania,2012,miscellaneous,Import,448
Albania,2012,miscellaneous,Import,122
Albania,2012,miscellaneous,Import,19679
Albania,2012,miscellaneous,Import,4690
Albania,2012,miscellaneous,Export,6140
Albania,2012,miscellaneous,Import,12319
Albania,2012,miscellaneous,Import,9572
Albania,2012,miscellaneous,Import,21001
Albania,2011,miscellaneous,Import,78197
Albania,2011,miscellaneous,Import,6501
Albania,2011,miscellaneous,Export,419
Albania,2011,miscellaneous,Import,13620
Albania,2011,miscellaneous,Import,43961
Albania,2011,miscellaneous,Import,3866
Albania,2011,miscellaneous,Import,16917
Albania,2011,miscellaneous,Import,27289
Albania,2011,miscellaneous,Import,93658
Albania,2011,miscellaneous,Import,14022
Albania,2011,miscellaneous,Import,898
Albania,2011,miscellaneous,Import,114
Albania,2011,miscellaneous,Import,4680
Albania,2011,miscellaneous,Import,4831
Albania,2011,miscellaneous,Import,10250
Albania,2011,miscellaneous,Import,20816
Albania,2010,miscellaneous,Import,53062
Albania,2010,miscellaneous,Import,6503
Albania,2010,miscellaneous,Import,36302
Albania,2010,miscellaneous,Import,20273
Albania,2010,miscellaneous,Import,32727
Albania,2010,miscellaneous,Import,1879
Albania,2010,miscellaneous,Import,21799
Albania,2010,miscellaneous,Import,10650
Albania,2010,miscellaneous,Import,117540
Albania,2010,miscellaneous,Import,38292
Albania,2010,miscellaneous,Export,6852
Albania,2010,miscellaneous,Import,410
Albania,2010,miscellaneous,Import,1157
Albania,2010,miscellaneous,Export,25687
Albania,2010,miscellaneous,Import,15013
Albania,2010,miscellaneous,Import,14669
Albania,2010,miscellaneous,Import,16583
Albania,2010,miscellaneous,Import,27885
Albania,2009,miscellaneous,Import,61660
Albania,2009,miscellaneous,Import,12885
Albania,2009,miscellaneous,Import,75670
Albania,2009,miscellaneous,Export,1005
Albania,2009,miscellaneous,Import,15035
Albania,2009,miscellaneous,Import,59985
Albania,2009,miscellaneous,Import,13524
Albania,2009,miscellaneous,Import,20553
Albania,2009,miscellaneous,Export,3769
Albania,2009,miscellaneous,Import,30969
Albania,2009,miscellaneous,Import,244998
Albania,2009,miscellaneous,Export,10420
Albania,2009,miscellaneous,Import,39139
Albania,2009,miscellaneous,Import,502
Albania,2009,miscellaneous,Import,10075
Albania,2009,miscellaneous,Import,4772
Albania,2009,miscellaneous,Import,650
Albania,2009,miscellaneous,Import,26944
Albania,2009,miscellaneous,Import,11297
Albania,2009,miscellaneous,Import,50219
Albania,2008,miscellaneous,Import,93100
Albania,2008,miscellaneous,Import,25462
Albania,2008,miscellaneous,Import,7447
Albania,2008,miscellaneous,Import,8023
Albania,2008,miscellaneous,Import,62244
Albania,2008,miscellaneous,Import,2000
Albania,2008,miscellaneous,Import,233
Albania,2008,miscellaneous,Import,1633
Albania,2008,miscellaneous,Import,9814
Albania,2008,miscellaneous,Import,64255
Albania,2008,miscellaneous,Import,22155
Albania,2008,miscellaneous,Import,206519
Albania,2008,miscellaneous,Import,20153
Albania,2008,miscellaneous,Import,2530
Albania,2008,miscellaneous,Import,21610
Albania,2008,miscellaneous,Import,5410
Albania,2008,miscellaneous,Import,236
Albania,2008,miscellaneous,Import,38434
Albania,2008,miscellaneous,Import,1394
Albania,2008,miscellaneous,Import,18697
Albania,2008,miscellaneous,Import,6057
Albania,2007,miscellaneous,Import,84182
Albania,2007,miscellaneous,Import,46011
Albania,2007,miscellaneous,Import,273
Albania,2007,miscellaneous,Export,25486
Albania,2007,miscellaneous,Import,6325
Albania,2007,miscellaneous,Import,35760
Albania,2007,miscellaneous,Import,7347
Albania,2007,miscellaneous,Import,3386
Albania,2007,miscellaneous,Import,59
Albania,2007,miscellaneous,Import,1266
Albania,2007,miscellaneous,Import,3004
Albania,2007,miscellaneous,Import,13245
Albania,2007,miscellaneous,Import,180283
Albania,2007,miscellaneous,Import,16012
Albania,2007,miscellaneous,Import,288
Albania,2007,miscellaneous,Import,5
Albania,2007,miscellaneous,Import,1687
Albania,2007,miscellaneous,Import,5497
Albania,2007,miscellaneous,Import,4419
Albania,2007,miscellaneous,Import,30649
Albania,2007,miscellaneous,Import,3671
Albania,2007,miscellaneous,Import,21402
Albania,2007,miscellaneous,Import,3467
Albania,2006,miscellaneous,Import,78944
Albania,2006,miscellaneous,Import,12889
Albania,2006,miscellaneous,Import,3794
Albania,2006,miscellaneous,Import,7004
Albania,2006,miscellaneous,Import,22365
Albania,2006,miscellaneous,Import,20628
Albania,2006,miscellaneous,Import,13123
Albania,2006,miscellaneous,Import,261
Albania,2006,miscellaneous,Import,5424
Albania,2006,miscellaneous,Import,5346
Albania,2006,miscellaneous,Import,7812
Albania,2006,miscellaneous,Import,77296
Albania,2006,miscellaneous,Import,36345
Albania,2006,miscellaneous,Import,113
Albania,2006,miscellaneous,Import,464
Albania,2006,miscellaneous,Import,46055
Albania,2006,miscellaneous,Re-Import,46055
Albania,2006,miscellaneous,Import,1951
Albania,2006,miscellaneous,Import,725
Albania,2006,miscellaneous,Import,1011
Albania,2006,miscellaneous,Import,81
Albania,2006,miscellaneous,Import,7645
Albania,2006,miscellaneous,Import,11740
Albania,2005,miscellaneous,Import,94834
Albania,2005,miscellaneous,Export,591
Albania,2005,miscellaneous,Re-Import,31973
Albania,2005,miscellaneous,Import,20964
Albania,2005,miscellaneous,Import,1594
Albania,2005,miscellaneous,Re-Import,35
Albania,2005,miscellaneous,Import,20604
Albania,2005,miscellaneous,Re-Import,7716
Albania,2005,miscellaneous,Import,35194
Albania,2005,miscellaneous,Re-Import,2282
Albania,2005,miscellaneous,Import,2861
Albania,2005,miscellaneous,Re-Import,2643
Albania,2005,miscellaneous,Import,50
Albania,2005,miscellaneous,Import,102487
Albania,2005,miscellaneous,Import,2758
Albania,2005,miscellaneous,Re-Import,14
Albania,2005,miscellaneous,Import,15111
Albania,2005,miscellaneous,Re-Import,2096
Albania,2005,miscellaneous,Import,39896
Albania,2005,miscellaneous,Re-Import,16647
Albania,2005,miscellaneous,Import,5365
Albania,2005,miscellaneous,Re-Import,800
Albania,2005,miscellaneous,Import,1446
Albania,2005,miscellaneous,Re-Import,1384
Albania,2005,miscellaneous,Import,91
Albania,2005,miscellaneous,Import,345
Albania,2005,miscellaneous,Re-Import,159
Albania,2005,miscellaneous,Import,1817
Albania,2005,miscellaneous,Import,789
Albania,2005,miscellaneous,Re-Import,397
Albania,2005,miscellaneous,Import,127
Albania,2005,miscellaneous,Import,5568
Albania,2005,miscellaneous,Import,99
Albania,2005,miscellaneous,Import,13055
Albania,2005,miscellaneous,Import,8931
Albania,2004,miscellaneous,Import,58364
Albania,2004,miscellaneous,Import,6373
Albania,2004,miscellaneous,Import,24590
Albania,2004,miscellaneous,Import,2527
Albania,2004,miscellaneous,Import,9670
Albania,2004,miscellaneous,Import,13179
Albania,2004,miscellaneous,Import,6354
Albania,2004,miscellaneous,Import,9360
Albania,2004,miscellaneous,Import,33418
Albania,2004,miscellaneous,Import,31932
Albania,2004,miscellaneous,Import,478
Albania,2004,miscellaneous,Import,646
Albania,2004,miscellaneous,Import,448
Albania,2004,miscellaneous,Import,5136
Albania,2004,miscellaneous,Import,1251
Albania,2004,miscellaneous,Import,15902
Albania,2004,miscellaneous,Import,5800
Albania,2003,miscellaneous,Import,39205
Albania,2003,miscellaneous,Import,3653
Albania,2003,miscellaneous,Import,29385
Albania,2003,miscellaneous,Import,3520
Albania,2003,miscellaneous,Import,6945
Albania,2003,miscellaneous,Import,5482
Albania,2003,miscellaneous,Import,5010
Albania,2003,miscellaneous,Import,23328
Albania,2003,miscellaneous,Import,8357
Albania,2003,miscellaneous,Export,11117
Albania,2003,miscellaneous,Import,1026
Albania,2003,miscellaneous,Export,23001
Albania,2003,miscellaneous,Import,252
Albania,2003,miscellaneous,Import,199
Albania,2003,miscellaneous,Import,11747
Albania,2003,miscellaneous,Import,258
Albania,2003,miscellaneous,Import,4502
Albania,2003,miscellaneous,Import,4764
Albania,2002,miscellaneous,Import,10641
Albania,2002,miscellaneous,Import,34610
Albania,2002,miscellaneous,Import,5545
Albania,2002,miscellaneous,Import,350
Albania,2002,miscellaneous,Import,5572
Albania,2002,miscellaneous,Import,8065
Albania,2002,miscellaneous,Import,769
Albania,2002,miscellaneous,Import,1650
Albania,2002,miscellaneous,Import,1793
Albania,2002,miscellaneous,Import,21728
Albania,2002,miscellaneous,Import,6984
Albania,2002,miscellaneous,Import,4369
Albania,2002,miscellaneous,Import,146
Albania,2002,miscellaneous,Import,1120
Albania,2002,miscellaneous,Import,1727
Albania,2002,miscellaneous,Import,1099
Albania,2002,miscellaneous,Import,28166
Albania,2001,miscellaneous,Import,14951
Albania,2001,miscellaneous,Import,1111
Albania,2001,miscellaneous,Import,1019
Albania,2001,miscellaneous,Import,5780
Albania,2001,miscellaneous,Import,5338
Albania,2001,miscellaneous,Import,94
Albania,2001,miscellaneous,Import,581
Albania,2001,miscellaneous,Import,4298
Albania,2001,miscellaneous,Import,26176
Albania,2001,miscellaneous,Import,9167
Albania,2001,miscellaneous,Import,993
Albania,2001,miscellaneous,Import,1709
Albania,2001,miscellaneous,Import,281
Albania,2001,miscellaneous,Import,2857
Albania,2001,miscellaneous,Import,1282
Albania,2000,miscellaneous,Import,15022
Albania,2000,miscellaneous,Export,186
Albania,2000,miscellaneous,Import,1192
Albania,2000,miscellaneous,Import,988
Albania,2000,miscellaneous,Import,1671
Albania,2000,miscellaneous,Import,2987
Albania,2000,miscellaneous,Import,424
Albania,2000,miscellaneous,Import,107235
Albania,2000,miscellaneous,Import,2215
Albania,2000,miscellaneous,Import,14970
Albania,2000,miscellaneous,Import,2643
Albania,2000,miscellaneous,Import,317
Albania,2000,miscellaneous,Import,453
Albania,2000,miscellaneous,Import,327
Albania,2000,miscellaneous,Import,4012
Albania,1999,miscellaneous,Import,6223
Albania,1999,miscellaneous,Import,1384
Albania,1999,miscellaneous,Import,2048
Albania,1999,miscellaneous,Export,11382
Albania,1999,miscellaneous,Import,45
Albania,1999,miscellaneous,Import,1776
Albania,1999,miscellaneous,Import,980
Albania,1999,miscellaneous,Import,6795
Albania,1999,miscellaneous,Import,27
Albania,1999,miscellaneous,Import,202
Albania,1999,miscellaneous,Import,149
Albania,1999,miscellaneous,Import,5314
Albania,1998,miscellaneous,Import,8013
Albania,1998,miscellaneous,Import,120282
Albania,1998,miscellaneous,Import,4834
Albania,1998,miscellaneous,Import,920
Albania,1998,miscellaneous,Import,2642
Albania,1998,miscellaneous,Import,2157
Albania,1998,miscellaneous,Import,7130
Albania,1997,miscellaneous,Import,2694
Albania,1997,miscellaneous,Import,3656
Albania,1997,miscellaneous,Import,56
Albania,1997,miscellaneous,Import,340
Albania,1997,miscellaneous,Import,164
Albania,1997,miscellaneous,Import,627
Albania,1997,miscellaneous,Import,1800
Albania,1997,miscellaneous,Import,889
Albania,1996,miscellaneous,Import,4974
Albania,1996,miscellaneous,Import,4724
Albania,1996,miscellaneous,Import,16704
Albania,1996,miscellaneous,Import,478
Albania,1996,miscellaneous,Import,181
Albania,1996,miscellaneous,Import,758
Albania,1996,miscellaneous,Import,47
Albania,1996,miscellaneous,Import,80
Albania,1996,miscellaneous,Import,2932
Albania,1996,miscellaneous,Export,2879
Algeria,2013,miscellaneous,Import,11913
Algeria,2013,miscellaneous,Import,61923
Algeria,2013,miscellaneous,Import,69613
