Country or Area,Year,Commodity,Flow,Trade (USD)
Albania,2011,miscellaneous,Import,32917
Albania,2011,miscellaneous,Import,64081
Albania,2011,miscellaneous,Import,12866
Albania,2011,miscellaneous,Import,726
Albania,2011,miscellaneous,Import,1138
Albania,2011,miscellaneous,Import,5914
Albania,2011,miscellaneous,Import,37807
Albania,2011,miscellaneous,Import,564
Albania,2011,miscellaneous,Import,506866
Albania,2010,miscellaneous,Import,34495
Albania,2010,miscellaneous,Import,1418
Albania,2010,miscellaneous,Import,28543
Albania,2010,miscellaneous,Import,1528
Albania,2010,miscellaneous,Import,93776
Albania,2010,miscellaneous,Import,9083
Albania,2010,miscellaneous,Import,10323
Albania,2010,miscellaneous,Export,549467
Albania,2010,miscellaneous,Import,6716
Albania,2008,miscellaneous,Import,646304
Albania,2008,miscellaneous,Import,185778
Albania,2008,miscellaneous,Import,14284
Albania,2008,miscellaneous,Import,19191
Albania,2008,miscellaneous,Import,4128
Albania,2008,miscellaneous,Import,14803
Albania,2008,miscellaneous,Import,689633
Albania,2008,miscellaneous,Import,49692
Albania,2008,miscellaneous,Import,105169
Albania,2008,miscellaneous,Export,214260
Albania,2008,miscellaneous,Import,1373
Albania,2008,miscellaneous,Export,167116
Albania,2008,miscellaneous,Import,609
Albania,2007,miscellaneous,Export,45243
Albania,2007,miscellaneous,Import,16923
Albania,2007,miscellaneous,Import,536616
Albania,2007,miscellaneous,Import,67869
Albania,2007,miscellaneous,Export,1930
Albania,2007,miscellaneous,Import,20380
Albania,2007,miscellaneous,Import,6749
Albania,2007,miscellaneous,Import,224
Albania,2007,miscellaneous,Import,62
Albania,2007,miscellaneous,Import,57
Albania,2007,miscellaneous,Import,257919
Albania,2007,miscellaneous,Import,25383
Albania,2007,miscellaneous,Import,26423
Albania,2007,miscellaneous,Export,2384356
Albania,2007,miscellaneous,Import,708035
Albania,2007,miscellaneous,Export,720145
Albania,2007,miscellaneous,Re-Import,708035
Albania,2006,miscellaneous,Import,213
Albania,2006,miscellaneous,Export,868500
Albania,2006,miscellaneous,Import,49845
Albania,2006,miscellaneous,Import,6623
Albania,2006,miscellaneous,Import,353702
Albania,2006,miscellaneous,Re-Import,6081
Albania,2006,miscellaneous,Import,30695
Albania,2006,miscellaneous,Import,940
Albania,2006,miscellaneous,Import,430
Albania,2006,miscellaneous,Import,1500
Albania,2006,miscellaneous,Import,12154
Albania,2006,miscellaneous,Import,447033
Albania,2006,miscellaneous,Import,11060
Albania,2006,miscellaneous,Import,1362
Albania,2006,miscellaneous,Export,3187746
Albania,2006,miscellaneous,Import,1937
Albania,2006,miscellaneous,Export,128469
Albania,2005,miscellaneous,Import,4391
Albania,2005,miscellaneous,Export,25255
Albania,2005,miscellaneous,Re-Export,2524
Albania,2005,miscellaneous,Import,37
Albania,2005,miscellaneous,Export,108717
Albania,2005,miscellaneous,Import,70
Albania,2005,miscellaneous,Import,453252
Albania,2005,miscellaneous,Re-Import,13687
Albania,2005,miscellaneous,Import,21885
Albania,2005,miscellaneous,Re-Import,4152
Albania,2005,miscellaneous,Import,25569
Albania,2005,miscellaneous,Re-Import,5424
Albania,2005,miscellaneous,Import,700
Albania,2005,miscellaneous,Import,244
Albania,2005,miscellaneous,Import,3559
Albania,2005,miscellaneous,Import,569929
Albania,2005,miscellaneous,Import,23798
Albania,2005,miscellaneous,Import,154840
Albania,2005,miscellaneous,Export,504478
Albania,2005,miscellaneous,Import,29958
Albania,2005,miscellaneous,Re-Import,3605
Albania,2004,miscellaneous,Import,105
Albania,2004,miscellaneous,Export,51558
Albania,2004,miscellaneous,Import,290519
Albania,2004,miscellaneous,Import,3595
Albania,2004,miscellaneous,Import,8521
Albania,2004,miscellaneous,Import,4556
Albania,2004,miscellaneous,Import,203
Albania,2004,miscellaneous,Import,503
Albania,2004,miscellaneous,Import,163772
Albania,2004,miscellaneous,Import,69072
Albania,2004,miscellaneous,Import,4415
Albania,2004,miscellaneous,Export,138091
Albania,2004,miscellaneous,Export,395196
Albania,2003,miscellaneous,Export,59686
Albania,2003,miscellaneous,Import,2625
Albania,2003,miscellaneous,Import,451030
Albania,2003,miscellaneous,Import,2638
Albania,2003,miscellaneous,Export,695
Albania,2003,miscellaneous,Import,16585
Albania,2003,miscellaneous,Export,1921
Albania,2003,miscellaneous,Import,80
Albania,2003,miscellaneous,Import,736
Albania,2003,miscellaneous,Import,239651
Albania,2003,miscellaneous,Import,15352
Albania,2003,miscellaneous,Import,547
Albania,2003,miscellaneous,Export,270861
Albania,2003,miscellaneous,Export,551
Albania,2003,miscellaneous,Export,230
Albania,2002,miscellaneous,Import,13620
Albania,2002,miscellaneous,Export,154998
Albania,2002,miscellaneous,Import,296
Albania,2002,miscellaneous,Export,3238
Albania,2002,miscellaneous,Import,7180
Albania,2002,miscellaneous,Import,352455
Albania,2002,miscellaneous,Import,7160
Albania,2002,miscellaneous,Import,9814
Albania,2002,miscellaneous,Import,3463
Albania,2002,miscellaneous,Import,163
Albania,2002,miscellaneous,Import,120
Albania,2002,miscellaneous,Export,13862
Albania,2002,miscellaneous,Import,4469
Albania,2002,miscellaneous,Import,1864
Albania,2002,miscellaneous,Import,122921
Albania,2002,miscellaneous,Export,214090
Albania,2002,miscellaneous,Import,45578
Albania,2002,miscellaneous,Export,187663
Albania,2002,miscellaneous,Export,76106
Albania,2002,miscellaneous,Import,102350
Albania,2002,miscellaneous,Export,4
Albania,2001,miscellaneous,Import,222
Albania,2001,miscellaneous,Export,246838
