Country or Area,Year,Commodity,Flow,Trade (USD)
Afghanistan,2008,miscellaneous,Import,409105323
Afghanistan,2008,miscellaneous,Export,29918479
Albania,2013,miscellaneous,Import,44905
Albania,2013,miscellaneous,Export,6025
Albania,2013,miscellaneous,Import,11483
Albania,2013,miscellaneous,Export,2899419
Albania,2013,miscellaneous,Import,99
Albania,2013,miscellaneous,Import,968
Albania,2013,miscellaneous,Export,47116
Albania,2013,miscellaneous,Import,10
Albania,2013,miscellaneous,Export,86388
Albania,2012,miscellaneous,Import,5884
Albania,2012,miscellaneous,Export,129
Albania,2012,miscellaneous,Import,8661
Albania,2012,miscellaneous,Export,1028
Albania,2012,miscellaneous,Import,242839
Albania,2012,miscellaneous,Import,2839
Albania,2012,miscellaneous,Export,26723
Albania,2012,miscellaneous,Import,1
Albania,2012,miscellaneous,Export,4393
Albania,2012,miscellaneous,Import,86567
Albania,2011,miscellaneous,Import,6463
Albania,2011,miscellaneous,Export,1967
Albania,2011,miscellaneous,Import,6368
Albania,2011,miscellaneous,Export,13780
Albania,2011,miscellaneous,Import,1
Albania,2011,miscellaneous,Import,7300
Albania,2011,miscellaneous,Export,7752
Albania,2011,miscellaneous,Import,10395
Albania,2010,miscellaneous,Import,1281799
Albania,2010,miscellaneous,Export,1346985
Albania,2010,miscellaneous,Import,14832
Albania,2010,miscellaneous,Export,250
Albania,2010,miscellaneous,Import,51137
Albania,2010,miscellaneous,Import,24532
Albania,2010,miscellaneous,Export,80974
Albania,2010,miscellaneous,Import,1
Albania,2010,miscellaneous,Import,1236
Albania,2010,miscellaneous,Import,395703
Albania,2009,miscellaneous,Import,54422
Albania,2009,miscellaneous,Import,18456
Albania,2009,miscellaneous,Import,16676
Albania,2009,miscellaneous,Import,1
Albania,2009,miscellaneous,Import,174
Albania,2008,miscellaneous,Import,76816
Albania,2008,miscellaneous,Export,53047
Albania,2008,miscellaneous,Import,4856
Albania,2008,miscellaneous,Export,22261
Albania,2008,miscellaneous,Import,4663
Albania,2008,miscellaneous,Import,20824
Albania,2008,miscellaneous,Import,1910
Albania,2007,miscellaneous,Import,463703
Albania,2007,miscellaneous,Export,30812
Albania,2007,miscellaneous,Re-Import,304368
Albania,2007,miscellaneous,Import,8209
Albania,2007,miscellaneous,Re-Import,2486
Albania,2007,miscellaneous,Import,1
Albania,2007,miscellaneous,Export,59257
Albania,2007,miscellaneous,Re-Import,1
Albania,2007,miscellaneous,Export,7
Albania,2007,miscellaneous,Import,40994
Albania,2007,miscellaneous,Re-Import,40994
Albania,2007,miscellaneous,Import,71923
Albania,2007,miscellaneous,Re-Import,68209
Albania,2006,miscellaneous,Import,59613
Albania,2006,miscellaneous,Export,3941
Albania,2006,miscellaneous,Import,5424
Albania,2006,miscellaneous,Export,378
Albania,2006,miscellaneous,Import,2394
Albania,2006,miscellaneous,Export,630
Albania,2006,miscellaneous,Re-Export,630
Albania,2006,miscellaneous,Import,4359
Albania,2006,miscellaneous,Export,63021
Albania,2006,miscellaneous,Import,2097
Albania,2006,miscellaneous,Export,193
Albania,2006,miscellaneous,Import,5064
Albania,2006,miscellaneous,Import,277
Albania,2005,miscellaneous,Import,41122
Albania,2005,miscellaneous,Export,9681
Albania,2005,miscellaneous,Re-Import,9716
Albania,2005,miscellaneous,Import,52097
Albania,2005,miscellaneous,Export,11079
Albania,2005,miscellaneous,Re-Export,11079
Albania,2005,miscellaneous,Re-Import,10512
Albania,2005,miscellaneous,Import,3385
Albania,2005,miscellaneous,Export,12891
Albania,2005,miscellaneous,Re-Export,12891
Albania,2005,miscellaneous,Import,639
Albania,2005,miscellaneous,Export,15773
Albania,2005,miscellaneous,Import,8856
Albania,2005,miscellaneous,Export,350
Albania,2005,miscellaneous,Import,8897
Albania,2004,miscellaneous,Import,78618
Albania,2004,miscellaneous,Export,106577
Albania,2004,miscellaneous,Import,10210
Albania,2004,miscellaneous,Export,20454
Albania,2004,miscellaneous,Export,5105
Albania,2004,miscellaneous,Import,13611
Albania,2004,miscellaneous,Export,49088
Albania,2004,miscellaneous,Import,14229
Albania,2004,miscellaneous,Export,10158
Albania,2004,miscellaneous,Import,27258
Albania,2003,miscellaneous,Import,1046
Albania,2003,miscellaneous,Export,28674
Albania,2003,miscellaneous,Import,9293
Albania,2003,miscellaneous,Export,494
Albania,2003,miscellaneous,Import,4457
Albania,2003,miscellaneous,Import,19325
Albania,2003,miscellaneous,Export,978
Albania,2002,miscellaneous,Import,484713
Albania,2002,miscellaneous,Export,2483
Albania,2002,miscellaneous,Import,11511
Albania,2002,miscellaneous,Export,28341
Albania,2002,miscellaneous,Import,1429
Albania,2002,miscellaneous,Export,419
Albania,2002,miscellaneous,Import,5753
Albania,2001,miscellaneous,Import,2694
Albania,2001,miscellaneous,Import,17354
Albania,2001,miscellaneous,Export,10129
Albania,2001,miscellaneous,Export,763
Albania,2001,miscellaneous,Export,104
Albania,2001,miscellaneous,Import,401
Albania,2001,miscellaneous,Export,109996
Albania,2000,miscellaneous,Import,1956
Albania,2000,miscellaneous,Export,30830
Albania,2000,miscellaneous,Import,15985
Albania,2000,miscellaneous,Import,9359
Albania,2000,miscellaneous,Export,147342
Albania,1999,miscellaneous,Import,17319
Albania,1999,miscellaneous,Export,109
Albania,1999,miscellaneous,Import,9854
Albania,1999,miscellaneous,Export,18437
Albania,1999,miscellaneous,Export,1097
Albania,1999,miscellaneous,Export,1563
Albania,1998,miscellaneous,Import,4736
Albania,1998,miscellaneous,Export,1001
Albania,1998,miscellaneous,Import,16999
Albania,1998,miscellaneous,Export,25718
Albania,1998,miscellaneous,Import,853
Albania,1998,miscellaneous,Import,1817888
Albania,1998,miscellaneous,Export,4272
Albania,1998,miscellaneous,Import,68
Albania,1997,miscellaneous,Import,3799
Albania,1997,miscellaneous,Import,12087
Albania,1997,miscellaneous,Export,1040
Albania,1997,miscellaneous,Import,3649
Albania,1997,miscellaneous,Import,23
Albania,1997,miscellaneous,Import,3328
Albania,1996,miscellaneous,Import,1191
Albania,1996,miscellaneous,Export,8995
Albania,1996,miscellaneous,Import,2257
Albania,1996,miscellaneous,Export,6771
Albania,1996,miscellaneous,Import,1502
Albania,1996,miscellaneous,Import,4034
Albania,1996,miscellaneous,Export,4140
Albania,1996,miscellaneous,Import,609
Albania,1996,miscellaneous,Import,38
Albania,1996,miscellaneous,Export,6612
Algeria,2013,miscellaneous,Import,41295
Algeria,2013,miscellaneous,Export,8384
Algeria,2013,miscellaneous,Import,109
Algeria,2013,miscellaneous,Export,223
Algeria,2013,miscellaneous,Import,10788
Algeria,2012,miscellaneous,Import,11468
Algeria,2012,miscellaneous,Import,31
Algeria,2012,miscellaneous,Export,926
Algeria,2012,miscellaneous,Import,120
Algeria,2011,miscellaneous,Import,33856
Algeria,2011,miscellaneous,Import,2338
Algeria,2011,miscellaneous,Import,219434
Algeria,2010,miscellaneous,Import,2205
Algeria,2010,miscellaneous,Import,24336
Algeria,2010,miscellaneous,Export,547
