Country or Area,Year,Commodity,Flow,Trade (USD)
Albania,2013,Ores,Import,18230
Albania,2013,Ores,Export,17028
Albania,2013,Ores,Import,294879
Albania,2013,Ores,Import,27809
Albania,2013,Ores,Import,19064
Albania,2013,Ores,Import,31909
Albania,2013,Ores,Export,1545
Albania,2013,Ores,Import,29971
Albania,2013,Ores,Import,626675
Albania,2013,Ores,Import,10331
Albania,2013,Ores,Export,316632
Albania,2013,Ores,Export,24357
Albania,2013,Ores,Import,1384
Albania,2013,Ores,Export,48546
Albania,2013,Ores,Export,36178
Albania,2012,Ores,Import,40473
Albania,2012,Ores,Export,11763
Albania,2012,Ores,Import,96902
Albania,2012,Ores,Export,4619
Albania,2012,Ores,Import,170542
Albania,2012,Ores,Import,13790
Albania,2012,Ores,Import,27061
Albania,2012,Ores,Import,36531
Albania,2012,Ores,Export,5395
Albania,2012,Ores,Import,34513
Albania,2012,Ores,Export,3688
Albania,2012,Ores,Import,530370
Albania,2012,Ores,Export,243
Albania,2012,Ores,Import,574
Albania,2012,Ores,Export,59229
Albania,2012,Ores,Import,1095
Albania,2012,Ores,Export,25118
Albania,2012,Ores,Export,31334
Albania,2011,Ores,Import,11275
Albania,2011,Ores,Export,6986
Albania,2011,Ores,Import,196058
Albania,2011,Ores,Import,198831
Albania,2011,Ores,Import,124678
Albania,2011,Ores,Import,60914
Albania,2011,Ores,Import,29953
Albania,2011,Ores,Export,469
Albania,2011,Ores,Import,444291
Albania,2011,Ores,Export,71707
Albania,2011,Ores,Import,1130
Albania,2011,Ores,Export,10423
Albania,2011,Ores,Export,32839
Albania,2010,Ores,Import,127331
Albania,2010,Ores,Import,194654
Albania,2010,Ores,Import,26004
Albania,2010,Ores,Export,10820
Albania,2010,Ores,Import,34218
Albania,2010,Ores,Import,49692
Albania,2010,Ores,Export,3002
Albania,2010,Ores,Export,1610
Albania,2010,Ores,Import,52816
Albania,2010,Ores,Import,283564
Albania,2010,Ores,Export,87756
Albania,2010,Ores,Import,204
Albania,2010,Ores,Export,6671
Albania,2010,Ores,Import,5153
Albania,2010,Ores,Export,69539
Albania,2009,Ores,Import,142658
Albania,2009,Ores,Import,48723
Albania,2009,Ores,Import,28369
Albania,2009,Ores,Export,338
Albania,2009,Ores,Import,67
Albania,2009,Ores,Import,57223
Albania,2009,Ores,Import,59060
Albania,2009,Ores,Export,1770
Albania,2009,Ores,Import,42110
Albania,2009,Ores,Export,3365
Albania,2009,Ores,Import,38805
Albania,2009,Ores,Export,14470
Albania,2009,Ores,Import,86943
Albania,2009,Ores,Export,23991
Albania,2008,Ores,Import,7640
Albania,2008,Ores,Import,54635
Albania,2008,Ores,Export,366
Albania,2008,Ores,Import,65894
Albania,2008,Ores,Export,3877
Albania,2008,Ores,Import,57493
Albania,2008,Ores,Export,2519
Albania,2008,Ores,Import,35306
Albania,2008,Ores,Export,38587
Albania,2008,Ores,Export,3625
Albania,2008,Ores,Import,13555
Albania,2008,Ores,Export,43661
Albania,2008,Ores,Import,38618
Albania,2008,Ores,Export,442925
Albania,2007,Ores,Import,3878
Albania,2007,Ores,Import,67842
Albania,2007,Ores,Import,61974
Albania,2007,Ores,Export,2301
Albania,2007,Ores,Import,85523
Albania,2007,Ores,Import,14862
Albania,2007,Ores,Import,1004
Albania,2007,Ores,Export,365905
Albania,2006,Ores,Import,384
Albania,2006,Ores,Import,11491
Albania,2006,Ores,Import,853
Albania,2006,Ores,Import,40048
Albania,2006,Ores,Export,2287
Albania,2006,Ores,Import,51741
Albania,2006,Ores,Import,42006
Albania,2006,Ores,Export,6796
Albania,2006,Ores,Import,84016
Albania,2006,Ores,Export,10438
Albania,2006,Ores,Import,537
Albania,2006,Ores,Export,1997
Albania,2006,Ores,Import,591
Albania,2006,Ores,Export,17690
Albania,2005,Ores,Import,33176
Albania,2005,Ores,Import,11362
Albania,2005,Ores,Import,55733
Albania,2005,Ores,Export,6233
Albania,2005,Ores,Import,13700
Albania,2005,Ores,Export,6442
Albania,2005,Ores,Export,28550
Albania,2005,Ores,Import,1574
Albania,2005,Ores,Export,53428
Albania,2004,Ores,Import,23682
Albania,2004,Ores,Import,16272
Albania,2004,Ores,Import,33144
Albania,2004,Ores,Import,1575
Albania,2004,Ores,Import,45248
Albania,2004,Ores,Export,7051
Albania,2004,Ores,Export,7160
Albania,2004,Ores,Import,354
Albania,2004,Ores,Import,29267
Albania,2003,Ores,Import,66746
Albania,2003,Ores,Import,9891
Albania,2003,Ores,Export,663
Albania,2003,Ores,Import,7414
Albania,2003,Ores,Import,5664
Albania,2003,Ores,Export,3523
Albania,2003,Ores,Import,5632
Albania,2003,Ores,Export,1982
Albania,2002,Ores,Import,859
Albania,2002,Ores,Import,12265
Albania,2002,Ores,Import,199
Albania,2002,Ores,Import,15393
Albania,2002,Ores,Export,361
Albania,2002,Ores,Import,17128
Albania,2002,Ores,Import,76
Albania,2001,Ores,Import,2351
Albania,2001,Ores,Import,11601
Albania,2001,Ores,Import,145
Albania,2001,Ores,Import,4213
Albania,2001,Ores,Export,4594
Albania,2001,Ores,Import,4444
Albania,2001,Ores,Import,90
Albania,2001,Ores,Export,139
Albania,2000,Ores,Export,276
Albania,2000,Ores,Import,2497
Albania,2000,Ores,Import,15321
Albania,2000,Ores,Import,2744
Albania,1999,Ores,Import,519
Albania,1999,Ores,Import,3252
Albania,1998,Ores,Import,24731
Albania,1998,Ores,Export,884
Albania,1997,Ores,Export,2931
Albania,1997,Ores,Import,10935
Albania,1997,Ores,Import,3696
Albania,1997,Ores,Export,4098
Albania,1996,Ores,Import,483708
Albania,1996,Ores,Import,4322
Albania,1996,Ores,Import,13249
Albania,1996,Ores,Import,44623
Albania,1996,Ores,Import,39
Albania,1996,Ores,Export,95
Algeria,2013,Ores,Import,8811
Algeria,2013,Ores,Import,124153
Algeria,2013,Ores,Import,1890395
Algeria,2013,Ores,Import,31573451
Algeria,2013,Ores,Import,1033942
Algeria,2013,Ores,Import,409366
Algeria,2013,Ores,Import,8216
Algeria,2013,Ores,Import,8267
Algeria,2013,Ores,Import,7267
Algeria,2013,Ores,Export,636426
Algeria,2013,Ores,Import,70476
Algeria,2013,Ores,Export,599727
Algeria,2013,Ores,Export,34911
Algeria,2013,Ores,Export,5679208
Algeria,2012,Ores,Import,4223892
Algeria,2012,Ores,Import,28808627
Algeria,2012,Ores,Import,607496
Algeria,2012,Ores,Import,933659
Algeria,2012,Ores,Import,261935
Algeria,2012,Ores,Import,77
Algeria,2012,Ores,Import,1457
Algeria,2012,Ores,Export,200149
Algeria,2012,Ores,Export,289976
Algeria,2012,Ores,Import,17
Algeria,2012,Ores,Export,111579
Algeria,2012,Ores,Export,4429138
Algeria,2011,Ores,Import,7709
Algeria,2011,Ores,Import,8649691
Algeria,2011,Ores,Import,29929058
Algeria,2011,Ores,Import,26554
Algeria,2011,Ores,Import,1762716
Algeria,2011,Ores,Import,406622
Algeria,2011,Ores,Import,517360
Algeria,2011,Ores,Import,386
Algeria,2011,Ores,Import,74776
Algeria,2011,Ores,Import,678
Algeria,2011,Ores,Import,486
Algeria,2011,Ores,Export,215161
Algeria,2011,Ores,Export,100907
Algeria,2011,Ores,Export,474046
Algeria,2011,Ores,Import,81
Algeria,2011,Ores,Export,14607628
Algeria,2010,Ores,Import,40298
Algeria,2010,Ores,Import,8718221
Algeria,2010,Ores,Import,27057773
Algeria,2010,Ores,Import,191944
Algeria,2010,Ores,Import,1654544
Algeria,2010,Ores,Import,338067
Algeria,2010,Ores,Import,157200
Algeria,2010,Ores,Import,8
Algeria,2010,Ores,Import,2395
Algeria,2010,Ores,Export,80428
Algeria,2010,Ores,Import,220
Algeria,2010,Ores,Export,9221
Algeria,2010,Ores,Export,524981
Algeria,2010,Ores,Import,696
Algeria,2010,Ores,Export,4210535
Algeria,2009,Ores,Import,12413
Algeria,2009,Ores,Import,3190785
Algeria,2009,Ores,Import,16052027
Algeria,2009,Ores,Import,522439
Algeria,2009,Ores,Import,933437
Algeria,2009,Ores,Import,827907
Algeria,2009,Ores,Import,982787
Algeria,2009,Ores,Import,119409
Algeria,2009,Ores,Import,547367
Algeria,2009,Ores,Import,28464
Algeria,2009,Ores,Export,36896
Algeria,2009,Ores,Export,16121
Algeria,2009,Ores,Import,524
Algeria,2009,Ores,Export,38866
Algeria,2009,Ores,Import,1446
Algeria,2009,Ores,Export,2222616
Algeria,2008,Ores,Import,62925
Algeria,2008,Ores,Import,509310
Algeria,2008,Ores,Import,23329
Algeria,2008,Ores,Import,14552828
Algeria,2008,Ores,Import,1599201
Algeria,2008,Ores,Import,37451
Algeria,2008,Ores,Import,196395
Algeria,2008,Ores,Import,1502362
Algeria,2008,Ores,Import,1336666
Algeria,2008,Ores,Import,1362108
Algeria,2008,Ores,Import,43209
Algeria,2008,Ores,Import,459308
Algeria,2008,Ores,Import,222253
Algeria,2008,Ores,Import,17128
Algeria,2008,Ores,Export,234800
Algeria,2008,Ores,Import,5604
Algeria,2008,Ores,Export,95224
Algeria,2008,Ores,Export,91580
Algeria,2008,Ores,Import,62455
