Country or Area,Year,Commodity,Flow,Trade (USD)
Afghanistan,2011,Ores,Import,69093774
Afghanistan,2010,Ores,Import,42034656
Afghanistan,2009,Ores,Import,22074525
Afghanistan,2008,Ores,Import,27995337
Albania,2013,Ores,Import,1160
Albania,2013,Ores,Export,24690
Albania,2013,Ores,Import,217101
Albania,2013,Ores,Import,458616
Albania,2013,Ores,Import,50060
Albania,2013,Ores,Import,3659259
Albania,2013,Ores,Export,35150060
Albania,2013,Ores,Import,454
Albania,2013,Ores,Import,24437
Albania,2013,Ores,Import,95493
Albania,2013,Ores,Export,460937
Albania,2013,Ores,Import,51741
Albania,2013,Ores,Export,778703
Albania,2013,Ores,Export,784106
Albania,2013,Ores,Import,70681
Albania,2013,Ores,Export,294234
Albania,2013,Ores,Import,60645619
Albania,2013,Ores,Export,7437339
Albania,2013,Ores,Import,13895
Albania,2013,Ores,Import,6075
Albania,2013,Ores,Import,55745
Albania,2013,Ores,Export,25145752
Albania,2013,Ores,Import,28263
Albania,2013,Ores,Import,341066
Albania,2013,Ores,Export,6522
Albania,2013,Ores,Import,92348
Albania,2013,Ores,Import,285636
Albania,2013,Ores,Import,754805
Albania,2013,Ores,Export,750
Albania,2013,Ores,Import,10218140
Albania,2013,Ores,Export,3368
Albania,2013,Ores,Import,589361
Albania,2013,Ores,Export,39440
Albania,2013,Ores,Import,2298322
Albania,2013,Ores,Import,2450339
Albania,2013,Ores,Export,5305
Albania,2013,Ores,Import,192517
Albania,2013,Ores,Export,3330
Albania,2013,Ores,Import,197548
Albania,2013,Ores,Export,72581
Albania,2013,Ores,Import,11722
Albania,2013,Ores,Import,1508936
Albania,2013,Ores,Export,21199
Albania,2013,Ores,Import,1571530
Albania,2013,Ores,Import,86651
Albania,2013,Ores,Import,57020
Albania,2013,Ores,Export,6470
Albania,2013,Ores,Import,323027
Albania,2013,Ores,Import,2566
Albania,2013,Ores,Import,426381
Albania,2013,Ores,Import,2620
Albania,2013,Ores,Import,1784457
Albania,2013,Ores,Import,350478
Albania,2013,Ores,Export,10682
Albania,2013,Ores,Import,1588109
Albania,2013,Ores,Import,4565673
Albania,2013,Ores,Export,33223
Albania,2013,Ores,Import,13592
Albania,2013,Ores,Import,13279
Albania,2013,Ores,Import,3999050
Albania,2013,Ores,Import,135360
Albania,2013,Ores,Import,1735
Albania,2013,Ores,Import,69369
