Country or Area,Year,Commodity,Flow,Trade (USD)
Albania,2013,Ores,Import,18096
Albania,2013,Ores,Export,2906
Albania,2013,Ores,Import,170957
Albania,2013,Ores,Export,415811
Albania,2013,Ores,Import,594
Albania,2013,Ores,Import,9752
Albania,2013,Ores,Import,29529
Albania,2013,Ores,Import,1075980
Albania,2013,Ores,Export,35418
Albania,2013,Ores,Import,745412
Albania,2013,Ores,Import,36521937
Albania,2013,Ores,Import,60034
Albania,2013,Ores,Export,35566
Albania,2013,Ores,Import,2897507
Albania,2013,Ores,Export,19017
Albania,2013,Ores,Import,8896
Albania,2013,Ores,Import,37865
Albania,2013,Ores,Export,797
Albania,2013,Ores,Import,26355
Albania,2013,Ores,Import,144763
Albania,2013,Ores,Export,50708
Albania,2013,Ores,Import,19960
Albania,2013,Ores,Export,8868
Albania,2013,Ores,Import,137122
Albania,2013,Ores,Import,335916
Albania,2013,Ores,Import,94489
Albania,2013,Ores,Import,15151
Albania,2013,Ores,Import,3684015
Albania,2013,Ores,Export,297238
Albania,2013,Ores,Import,1003660
Albania,2013,Ores,Export,3456
Albania,2013,Ores,Import,1399727
Albania,2013,Ores,Export,20756
Albania,2013,Ores,Import,124312
Albania,2013,Ores,Import,132631
Albania,2013,Ores,Import,3073496
Albania,2013,Ores,Export,75379
Albania,2013,Ores,Import,1096041
Albania,2013,Ores,Export,231782
Albania,2013,Ores,Import,2439633
Albania,2013,Ores,Export,27328
Albania,2013,Ores,Import,609443
Albania,2013,Ores,Export,325166
Albania,2013,Ores,Import,49826
Albania,2013,Ores,Export,259190
Albania,2013,Ores,Import,167089
Albania,2013,Ores,Import,48669
Albania,2013,Ores,Import,382927
Albania,2013,Ores,Import,517956
Albania,2013,Ores,Export,5974
Albania,2013,Ores,Import,223577
Albania,2013,Ores,Import,226673
Albania,2013,Ores,Import,880613
Albania,2013,Ores,Export,2140
Albania,2013,Ores,Import,213127
Albania,2013,Ores,Export,1110
Albania,2013,Ores,Import,878209
Albania,2013,Ores,Export,22538
Albania,2013,Ores,Import,975630
Albania,2013,Ores,Export,62199
Albania,2013,Ores,Import,1702308
Albania,2013,Ores,Export,424171
Albania,2013,Ores,Import,20731896
Albania,2013,Ores,Export,1043526
Albania,2013,Ores,Import,983785
Albania,2013,Ores,Export,57622
Albania,2013,Ores,Import,218481
Albania,2013,Ores,Export,53359
Albania,2013,Ores,Import,1112703
Albania,2013,Ores,Export,531830
Albania,2013,Ores,Import,643360
Albania,2013,Ores,Export,88943
Albania,2013,Ores,Import,635976
Albania,2013,Ores,Export,116926
Albania,2013,Ores,Import,704957
Albania,2013,Ores,Export,41468
Albania,2013,Ores,Import,265697
Albania,2013,Ores,Import,87938
Albania,2013,Ores,Export,583
Albania,2013,Ores,Import,56611
Albania,2013,Ores,Import,35242
Albania,2013,Ores,Import,833583
Albania,2013,Ores,Export,10
Albania,2013,Ores,Import,389598
Albania,2013,Ores,Export,19279
Albania,2013,Ores,Import,131937
Albania,2013,Ores,Import,148
Albania,2013,Ores,Import,298683
Albania,2013,Ores,Export,2340136
Albania,2013,Ores,Import,15147
Albania,2013,Ores,Import,30423
Albania,2013,Ores,Import,280814
Albania,2013,Ores,Import,12509
Albania,2013,Ores,Import,18541
Albania,2013,Ores,Import,39418
Albania,2013,Ores,Import,20238
Albania,2013,Ores,Import,144484
Albania,2013,Ores,Import,31926
Albania,2013,Ores,Import,5577
Albania,2013,Ores,Export,2872
Albania,2013,Ores,Import,872414
Albania,2013,Ores,Export,227279
Albania,2013,Ores,Import,31835
Albania,2013,Ores,Import,770793
Albania,2013,Ores,Export,8236
Albania,2013,Ores,Import,9375
Albania,2013,Ores,Import,807318
Albania,2013,Ores,Export,18256
Albania,2013,Ores,Import,1208366
Albania,2013,Ores,Export,6835
Albania,2013,Ores,Import,97182
Albania,2013,Ores,Import,265761
Albania,2013,Ores,Export,139934
Albania,2013,Ores,Import,248147
