Country or Area,Year,Commodity,Flow,Trade (USD)
Afghanistan,2011,ores,Import,1486647
Afghanistan,2010,ores,Import,4087458
Afghanistan,2009,ores,Import,1171747
Afghanistan,2008,ores,Import,1386326
Albania,2013,ores,Import,17820
Albania,2013,ores,Export,47
Albania,2013,ores,Import,73979
Albania,2013,ores,Import,751
Albania,2013,ores,Import,79
Albania,2013,ores,Import,71
Albania,2013,ores,Import,6614
Albania,2012,ores,Export,39438
Albania,2012,ores,Import,10453
Albania,2012,ores,Import,8698
Albania,2012,ores,Export,405041
Albania,2012,ores,Import,60394
Albania,2012,ores,Import,2172
Albania,2012,ores,Import,67
Albania,2012,ores,Import,15189
Albania,2011,ores,Import,25401
Albania,2011,ores,Export,67042
Albania,2011,ores,Export,49349
Albania,2011,ores,Import,57331
Albania,2011,ores,Export,4624
Albania,2011,ores,Import,19
Albania,2011,ores,Import,22
Albania,2011,ores,Import,626
Albania,2011,ores,Export,13688
Albania,2011,ores,Import,13971
Albania,2010,ores,Import,19040
Albania,2010,ores,Export,13011
Albania,2010,ores,Import,32684
Albania,2010,ores,Export,68671
Albania,2010,ores,Import,13347
Albania,2010,ores,Import,3027
Albania,2010,ores,Import,891
Albania,2010,ores,Import,21027
Albania,2010,ores,Import,4167
Albania,2009,ores,Import,404
Albania,2009,ores,Import,7072
Albania,2009,ores,Import,5590
Albania,2009,ores,Export,2017
Albania,2009,ores,Import,34978
Albania,2009,ores,Import,4949
Albania,2009,ores,Import,3770
Albania,2009,ores,Import,17
Albania,2009,ores,Import,19669
Albania,2009,ores,Export,40226
Albania,2008,ores,Import,7421
Albania,2008,ores,Import,2724
Albania,2008,ores,Import,5954
Albania,2008,ores,Import,14507
Albania,2008,ores,Import,17034
Albania,2008,ores,Import,7673
Albania,2008,ores,Import,254
Albania,2008,ores,Import,865
Albania,2008,ores,Import,32416
Albania,2008,ores,Export,79564
Albania,2007,ores,Import,5206
Albania,2007,ores,Import,11209
Albania,2007,ores,Import,31297
Albania,2007,ores,Export,1795
Albania,2007,ores,Import,10851
Albania,2007,ores,Import,172
Albania,2007,ores,Import,1677
Albania,2006,ores,Import,4561
Albania,2006,ores,Import,16385
Albania,2006,ores,Import,9834
Albania,2006,ores,Import,16602
Albania,2006,ores,Import,75067
Albania,2006,ores,Re-Import,75067
Albania,2006,ores,Import,7876
Albania,2006,ores,Import,909
Albania,2006,ores,Import,397
Albania,2006,ores,Import,11288
Albania,2005,ores,Import,1945
Albania,2005,ores,Import,766
Albania,2005,ores,Import,3189
Albania,2005,ores,Import,32380
Albania,2005,ores,Import,7412
Albania,2005,ores,Import,97833
Albania,2005,ores,Export,98099
Albania,2005,ores,Re-Export,98099
Albania,2005,ores,Import,6650
Albania,2005,ores,Import,477
Albania,2005,ores,Import,2945
Albania,2004,ores,Import,23272
Albania,2004,ores,Import,111
Albania,2004,ores,Export,4015
Albania,2004,ores,Import,2406
Albania,2004,ores,Import,18349
Albania,2004,ores,Import,86550
Albania,2004,ores,Export,88736
Albania,2004,ores,Import,2027
Albania,2004,ores,Import,721
Albania,2004,ores,Import,1302
Albania,2004,ores,Import,614
Albania,2004,ores,Import,283
Albania,2004,ores,Import,5827
Albania,2003,ores,Import,1922
Albania,2003,ores,Import,7157
Albania,2003,ores,Import,1617
Albania,2003,ores,Import,4228
Albania,2003,ores,Import,728
Albania,2003,ores,Import,83640
Albania,2003,ores,Export,63561
Albania,2003,ores,Import,2157
Albania,2003,ores,Import,2259
Albania,2002,ores,Import,369
Albania,2002,ores,Export,260
Albania,2002,ores,Import,8860
Albania,2002,ores,Import,323
Albania,2002,ores,Import,4757
Albania,2002,ores,Import,200
Albania,2002,ores,Import,31181
Albania,2002,ores,Export,74054
Albania,2002,ores,Import,97
Albania,2002,ores,Import,138
Albania,2001,ores,Import,374
Albania,2001,ores,Import,3536
Albania,2001,ores,Export,27442
Albania,2001,ores,Import,19043
Albania,2001,ores,Import,115023
Albania,2001,ores,Export,19043
Albania,2001,ores,Import,451
Albania,2001,ores,Import,1442
Albania,2000,ores,Import,4521
Albania,2000,ores,Import,1555
Albania,2000,ores,Import,33
Albania,2000,ores,Import,100122
Albania,2000,ores,Export,126695
Albania,2000,ores,Import,55345
Albania,2000,ores,Import,506
Albania,2000,ores,Import,7861
Albania,1999,ores,Import,8998
