Country or Area,Year,Commodity,Flow,Trade (USD)
Albania,2013,ores,Export,1799139
Albania,2013,ores,Import,616
Albania,2013,ores,Export,1578
Albania,2013,ores,Import,6353
Albania,2013,ores,Import,2765
Albania,2013,ores,Export,2659667
Albania,2013,ores,Import,17404
Albania,2012,ores,Import,370613
Albania,2012,ores,Export,207106
Albania,2012,ores,Export,59102
Albania,2012,ores,Import,53492
Albania,2012,ores,Export,2069176
Albania,2012,ores,Import,35005
Albania,2012,ores,Import,30525
Albania,2012,ores,Export,2378691
Albania,2012,ores,Export,4332
Albania,2012,ores,Import,41158
Albania,2011,ores,Export,204193
Albania,2011,ores,Import,8467
Albania,2011,ores,Export,3414108
Albania,2011,ores,Export,179406
Albania,2011,ores,Import,25040
Albania,2011,ores,Import,64713
Albania,2011,ores,Export,3777646
Albania,2011,ores,Import,16033
Albania,2010,ores,Import,105
Albania,2010,ores,Export,5511671
Albania,2010,ores,Export,65254
Albania,2010,ores,Import,132691
Albania,2010,ores,Export,304845
Albania,2010,ores,Import,72353
Albania,2009,ores,Export,3707941
Albania,2009,ores,Import,120498
Albania,2009,ores,Export,39276
Albania,2009,ores,Import,3254
Albania,2009,ores,Import,173978
Albania,2009,ores,Import,156280
Albania,2009,ores,Export,69
Albania,2008,ores,Import,5225
Albania,2008,ores,Import,1653
Albania,2008,ores,Export,3171508
Albania,2008,ores,Import,19814
Albania,2008,ores,Export,1247862
Albania,2008,ores,Import,387
Albania,2008,ores,Export,427180
Albania,2008,ores,Import,3724
Albania,2008,ores,Import,55740
Albania,2008,ores,Export,533307
Albania,2008,ores,Import,23302
Albania,2008,ores,Export,78307
Albania,2007,ores,Import,2943
Albania,2007,ores,Export,50692
Albania,2007,ores,Import,2219
Albania,2007,ores,Export,1490503
Albania,2007,ores,Import,2823
Albania,2007,ores,Export,1667937
Albania,2007,ores,Import,2298
Albania,2007,ores,Export,145986
Albania,2007,ores,Import,84935
Albania,2007,ores,Export,923893
Albania,2007,ores,Import,582
Albania,2007,ores,Import,9686
Albania,2006,ores,Import,9234
Albania,2006,ores,Import,2394
Albania,2006,ores,Export,76357
Albania,2006,ores,Import,50125
Albania,2006,ores,Export,870383
Albania,2006,ores,Re-Import,26198
Albania,2006,ores,Export,593668
Albania,2006,ores,Import,2574
Albania,2006,ores,Import,42514
Albania,2006,ores,Export,245512
Albania,2006,ores,Re-Import,13530
