Country or Area,Year,Commodity,Flow,Trade (USD)
Albania,2013,ores,Import,380032
Albania,2013,ores,Import,416307
Albania,2013,ores,Export,3453
Albania,2013,ores,Export,201684
Albania,2013,ores,Import,1768
Albania,2013,ores,Export,2358
Albania,2013,ores,Import,12856
Albania,2013,ores,Import,402755
Albania,2013,ores,Export,8199
Albania,2012,ores,Import,448148
Albania,2012,ores,Export,19026
Albania,2012,ores,Import,396023
Albania,2012,ores,Export,3033
Albania,2012,ores,Export,237846
Albania,2012,ores,Import,27520
Albania,2012,ores,Import,8012
Albania,2012,ores,Import,184237
Albania,2012,ores,Export,11203
Albania,2011,ores,Import,792767
Albania,2011,ores,Import,473764
Albania,2011,ores,Export,2667
Albania,2011,ores,Export,36876
Albania,2011,ores,Import,2944
Albania,2011,ores,Import,93829
Albania,2011,ores,Import,56753
Albania,2011,ores,Import,269140
Albania,2011,ores,Export,85102
Albania,2010,ores,Import,118418
Albania,2010,ores,Import,333744
Albania,2010,ores,Export,42514
Albania,2010,ores,Export,77470
Albania,2010,ores,Import,8723
Albania,2010,ores,Import,102483
Albania,2010,ores,Import,597091
Albania,2010,ores,Export,1090
Albania,2010,ores,Import,256611
Albania,2009,ores,Import,262943
Albania,2009,ores,Import,374885
Albania,2009,ores,Export,142041
Albania,2009,ores,Export,214297
Albania,2009,ores,Import,936
Albania,2009,ores,Import,10639
Albania,2009,ores,Import,263008
Albania,2009,ores,Import,325993
Albania,2009,ores,Export,25871
Albania,2009,ores,Import,448654
Albania,2009,ores,Export,168
Albania,2008,ores,Import,416547
Albania,2008,ores,Import,166492
Albania,2008,ores,Import,817243
Albania,2008,ores,Export,210386
Albania,2008,ores,Re-Export,200835
Albania,2008,ores,Export,39282
Albania,2008,ores,Import,588
Albania,2008,ores,Import,20332
Albania,2008,ores,Import,95148
Albania,2008,ores,Import,183642
Albania,2008,ores,Import,175705
Albania,2008,ores,Export,49656
Albania,2008,ores,Import,373097
Albania,2008,ores,Export,15536
Albania,2008,ores,Re-Export,15536
Albania,2007,ores,Import,236154
Albania,2007,ores,Export,5395
Albania,2007,ores,Import,418134
Albania,2007,ores,Export,227318
Albania,2007,ores,Import,19190
Albania,2007,ores,Import,31467
Albania,2007,ores,Import,340872
Albania,2007,ores,Import,139640
Albania,2007,ores,Import,185860
Albania,2006,ores,Import,74469
Albania,2006,ores,Export,113
Albania,2006,ores,Re-Export,113
Albania,2006,ores,Re-Import,3928
Albania,2006,ores,Import,69491
Albania,2006,ores,Re-Import,69491
Albania,2006,ores,Import,534222
Albania,2006,ores,Export,279
Albania,2006,ores,Re-Export,279
Albania,2006,ores,Re-Import,533694
Albania,2006,ores,Export,177466
Albania,2006,ores,Re-Export,333
Albania,2006,ores,Import,15421
Albania,2006,ores,Import,16248
Albania,2006,ores,Import,123340
Albania,2006,ores,Import,203172
Albania,2006,ores,Import,72584
Albania,2005,ores,Import,145151
Albania,2005,ores,Import,3603
Albania,2005,ores,Import,137253
Albania,2005,ores,Export,74
Albania,2005,ores,Re-Export,74
Albania,2005,ores,Export,101913
Albania,2005,ores,Import,15431
Albania,2005,ores,Import,37758
Albania,2005,ores,Import,75609
Albania,2005,ores,Import,148865
Albania,2005,ores,Export,1098
Albania,2005,ores,Import,91916
Albania,2004,ores,Import,66295
Albania,2004,ores,Export,391
Albania,2004,ores,Import,234724
Albania,2004,ores,Import,283
Albania,2004,ores,Export,35133
Albania,2004,ores,Import,537
Albania,2004,ores,Export,4645
Albania,2004,ores,Import,19962
Albania,2004,ores,Import,25534
Albania,2004,ores,Import,50149
Albania,2004,ores,Import,191521
Albania,2004,ores,Import,70662
Albania,2003,ores,Import,74088
Albania,2003,ores,Import,12987
Albania,2003,ores,Import,268931
Albania,2003,ores,Export,3078
Albania,2003,ores,Export,26888
Albania,2003,ores,Import,2191
Albania,2003,ores,Import,10155
Albania,2003,ores,Export,34046
Albania,2003,ores,Import,5242
Albania,2003,ores,Export,2
Albania,2003,ores,Import,21868
Albania,2003,ores,Import,64035
Albania,2003,ores,Import,27448
Albania,2003,ores,Export,4709
Albania,2002,ores,Import,92385
Albania,2002,ores,Import,422278
Albania,2002,ores,Export,2146
Albania,2002,ores,Export,55547
Albania,2002,ores,Import,5778
Albania,2002,ores,Import,11432
Albania,2002,ores,Import,5666
Albania,2002,ores,Import,17726
Albania,2002,ores,Import,73523
Albania,2002,ores,Import,27072
Albania,2002,ores,Export,1446
Albania,2001,ores,Import,61315
Albania,2001,ores,Import,7584
Albania,2001,ores,Import,373453
Albania,2001,ores,Export,762
Albania,2001,ores,Export,25837
Albania,2001,ores,Import,896
Albania,2001,ores,Import,19780
Albania,2001,ores,Import,12844
Albania,2001,ores,Import,7730
Albania,2001,ores,Import,23209
Albania,2001,ores,Import,27575
Albania,2000,ores,Import,202398
Albania,2000,ores,Import,45532
Albania,2000,ores,Import,244657
Albania,2000,ores,Export,28877
Albania,2000,ores,Import,4435
Albania,2000,ores,Import,19080
Albania,2000,ores,Export,776
Albania,2000,ores,Import,16468
Albania,2000,ores,Import,12135
Albania,2000,ores,Import,13853
Albania,2000,ores,Import,141841
Albania,1999,ores,Import,11814
Albania,1999,ores,Import,29645
Albania,1999,ores,Import,246609
Albania,1999,ores,Import,1108
Albania,1999,ores,Export,15276
Albania,1999,ores,Import,2463
Albania,1999,ores,Import,20771
Albania,1999,ores,Export,27009
Albania,1999,ores,Import,20786
Albania,1999,ores,Import,40279
Albania,1999,ores,Import,54165
Albania,1999,ores,Import,123971
Albania,1999,ores,Export,35397
Albania,1998,ores,Import,1960
Albania,1998,ores,Import,612625
Albania,1998,ores,Import,12322
Albania,1998,ores,Export,23990
Albania,1998,ores,Import,44
Albania,1998,ores,Import,22414
Albania,1998,ores,Import,80263
Albania,1998,ores,Import,180020
Albania,1997,ores,Import,2391
Albania,1997,ores,Import,353378
Albania,1997,ores,Import,16
Albania,1997,ores,Import,6205
Albania,1997,ores,Import,34796
Albania,1997,ores,Import,38837
Albania,1997,ores,Import,75415
Albania,1996,ores,Import,42458
Albania,1996,ores,Import,454544
Albania,1996,ores,Import,384
Albania,1996,ores,Export,1211
Albania,1996,ores,Import,224
Albania,1996,ores,Export,23147
Albania,1996,ores,Import,106959
Albania,1996,ores,Export,6707
Albania,1996,ores,Import,186440
Albania,1996,ores,Export,12882
Albania,1996,ores,Import,203046
Albania,1996,ores,Import,334498
Albania,1996,ores,Export,45479
Algeria,2013,ores,Import,5764061
Algeria,2013,ores,Export,1531918
Algeria,2013,ores,Export,1767696
Algeria,2013,ores,Import,979437
Algeria,2013,ores,Export,5383455
Algeria,2013,ores,Import,298774
Algeria,2013,ores,Import,58148
Algeria,2013,ores,Import,167745
Algeria,2013,ores,Import,2995352
Algeria,2013,ores,Import,528606
Algeria,2013,ores,Export,11229
Algeria,2012,ores,Import,960367
Algeria,2012,ores,Export,6107699
Algeria,2012,ores,Import,505
Algeria,2012,ores,Export,2568545
Algeria,2012,ores,Import,18522
Algeria,2012,ores,Export,6168996
Algeria,2012,ores,Import,216
Algeria,2012,ores,Import,156668
Algeria,2012,ores,Import,679281
Algeria,2012,ores,Import,51463
Algeria,2012,ores,Import,743256
Algeria,2012,ores,Export,10265
Algeria,2011,ores,Import,16038
Algeria,2011,ores,Export,25700907
Algeria,2011,ores,Import,351
Algeria,2011,ores,Export,1441644
Algeria,2011,ores,Export,9081747
Algeria,2011,ores,Import,943182
Algeria,2011,ores,Import,505981
Algeria,2011,ores,Import,419887
Algeria,2011,ores,Import,1103983
Algeria,2011,ores,Import,901381
Algeria,2010,ores,Import,9274
Algeria,2010,ores,Export,49449910
Algeria,2010,ores,Import,823
Algeria,2010,ores,Export,209883
Algeria,2010,ores,Import,64
Algeria,2010,ores,Export,11757712
Algeria,2010,ores,Import,879829
Algeria,2010,ores,Import,48360
Algeria,2010,ores,Import,532133
Algeria,2010,ores,Import,231292
Algeria,2010,ores,Import,863931
Algeria,2009,ores,Import,780806
Algeria,2009,ores,Export,28887872
Algeria,2009,ores,Import,158
Algeria,2009,ores,Import,36854
Algeria,2009,ores,Export,7876345
Algeria,2009,ores,Import,208343
Algeria,2009,ores,Import,7981
Algeria,2009,ores,Import,423873
Algeria,2009,ores,Import,639387
Algeria,2009,ores,Import,2490826
Algeria,2008,ores,Import,2676786
