Country or Area,Year,Commodity,Flow,Trade (USD)
Albania,2013,ores,Import,22896
Albania,2013,ores,Import,242
Albania,2012,ores,Import,377
Albania,2012,ores,Import,320
Albania,2012,ores,Import,5710
Albania,2012,ores,Import,678
Albania,2011,ores,Import,103
Albania,2011,ores,Import,4399
Albania,2011,ores,Import,343
Albania,2011,ores,Import,17626
Albania,2011,ores,Import,12809
Albania,2010,ores,Import,201
Albania,2010,ores,Import,665
Albania,2010,ores,Import,17298
Albania,2010,ores,Import,141
Albania,2009,ores,Import,13885
Albania,2009,ores,Import,734
Albania,2009,ores,Import,120
Albania,2009,ores,Import,13193
Albania,2009,ores,Import,118
Albania,2008,ores,Import,15470
Albania,2008,ores,Import,156
Albania,2008,ores,Import,421
Albania,2008,ores,Import,22516
Albania,2008,ores,Import,8827
Albania,2007,ores,Import,479
Albania,2007,ores,Import,832
Albania,2007,ores,Import,423
Albania,2007,ores,Import,18916
Albania,2007,ores,Import,3983
Albania,2007,ores,Import,199
Albania,2006,ores,Import,737
Albania,2006,ores,Import,221
Albania,2006,ores,Import,30
Albania,2006,ores,Import,15005
Albania,2006,ores,Re-Import,1385
Albania,2006,ores,Import,152
Albania,2005,ores,Import,909
Albania,2005,ores,Import,227
Albania,2005,ores,Import,15727
Albania,2005,ores,Export,10760
Albania,2005,ores,Re-Export,10760
Albania,2005,ores,Import,93
Albania,2005,ores,Import,965
Albania,2004,ores,Import,3150
Albania,2004,ores,Import,53
Albania,2004,ores,Import,12732
Albania,2004,ores,Import,304
Albania,2003,ores,Import,4575
Albania,2003,ores,Import,1050
Albania,2003,ores,Import,8998
Albania,2003,ores,Import,86
Albania,2003,ores,Import,139
Albania,2002,ores,Import,60
Albania,2002,ores,Import,6
Albania,2002,ores,Import,5097
Albania,2002,ores,Import,497
Albania,2002,ores,Import,566
Albania,2001,ores,Import,439
Albania,2001,ores,Import,3097
Albania,2001,ores,Import,413
Albania,2001,ores,Import,427
Albania,2000,ores,Import,509
Albania,2000,ores,Import,28
Albania,2000,ores,Import,979
Albania,2000,ores,Import,28
Albania,2000,ores,Import,81
Albania,1999,ores,Import,328
Albania,1999,ores,Import,192
Albania,1999,ores,Import,246
Albania,1999,ores,Import,49
Albania,1999,ores,Import,985
Albania,1999,ores,Import,1
Albania,1999,ores,Import,321
Albania,1998,ores,Import,435
Albania,1998,ores,Import,1364
Albania,1998,ores,Import,1304
Albania,1998,ores,Import,3906
Albania,1997,ores,Import,126
Albania,1997,ores,Import,29
Albania,1997,ores,Import,1458
Albania,1996,ores,Import,20
Albania,1996,ores,Import,60
Albania,1996,ores,Import,8509
Albania,1996,ores,Import,269
Albania,1996,ores,Import,16
Algeria,2013,ores,Import,310378
Algeria,2013,ores,Import,169865
Algeria,2013,ores,Import,1418466
Algeria,2013,ores,Import,88161
Algeria,2013,ores,Export,189
Algeria,2012,ores,Import,983640
Algeria,2012,ores,Import,859057
Algeria,2012,ores,Import,705628
Algeria,2012,ores,Import,91262
Algeria,2011,ores,Import,220497
Algeria,2011,ores,Import,290936
Algeria,2011,ores,Import,443007
Algeria,2011,ores,Import,117020
Algeria,2010,ores,Import,695214
Algeria,2010,ores,Import,152483
Algeria,2010,ores,Import,283412
Algeria,2010,ores,Import,83634
Algeria,2009,ores,Import,249424
Algeria,2009,ores,Import,15661
Algeria,2009,ores,Import,1005171
Algeria,2009,ores,Import,87846
Algeria,2008,ores,Import,389524
Algeria,2008,ores,Import,18054
Algeria,2008,ores,Import,310204
Algeria,2008,ores,Import,46050
Algeria,2007,ores,Import,3728360
Algeria,2007,ores,Import,169192
Algeria,2007,ores,Export,130811
Algeria,2007,ores,Import,304691
Algeria,2007,ores,Export,4
