Country or Area,Year,Commodity,Flow,Trade (USD)
Albania,2013,ores,Import,446
Albania,2013,ores,Import,8444
Albania,2013,ores,Import,34211
Albania,2013,ores,Export,4585
Albania,2013,ores,Import,8088
Albania,2013,ores,Export,1854
Albania,2013,ores,Import,6909
Albania,2013,ores,Import,7151
Albania,2013,ores,Import,3128
Albania,2013,ores,Import,5017
Albania,2013,ores,Import,3836
Albania,2012,ores,Import,14106
Albania,2012,ores,Import,3227
Albania,2012,ores,Import,5161
Albania,2012,ores,Import,239
Albania,2012,ores,Import,13917
Albania,2012,ores,Import,21245
Albania,2012,ores,Import,1028
Albania,2012,ores,Import,11352
Albania,2012,ores,Import,29470
Albania,2012,ores,Import,9083
Albania,2012,ores,Import,423
Albania,2012,ores,Import,891
Albania,2011,ores,Export,4955
Albania,2011,ores,Import,3570
Albania,2011,ores,Import,2282
Albania,2011,ores,Import,51282
Albania,2011,ores,Import,8445
Albania,2011,ores,Import,15668
Albania,2011,ores,Import,266
Albania,2011,ores,Import,968
Albania,2010,ores,Import,301
Albania,2010,ores,Import,6741
Albania,2010,ores,Import,854
Albania,2010,ores,Import,1129
Albania,2010,ores,Import,2823
Albania,2010,ores,Import,1356
Albania,2010,ores,Import,23400
Albania,2010,ores,Export,28089
Albania,2010,ores,Import,1988
Albania,2010,ores,Import,3319
Albania,2010,ores,Import,5322
Albania,2010,ores,Import,10374
Albania,2010,ores,Import,2314
Albania,2009,ores,Import,12355
Albania,2009,ores,Import,805
Albania,2009,ores,Import,5679
Albania,2008,ores,Import,38
Albania,2008,ores,Import,5532
Albania,2008,ores,Import,2706
Albania,2008,ores,Import,13547
Albania,2008,ores,Import,7133
Albania,2008,ores,Import,1996
Albania,2008,ores,Import,358
Albania,2007,ores,Import,29052
Albania,2007,ores,Import,29680
Albania,2007,ores,Import,15430
Albania,2007,ores,Import,5190
Albania,2007,ores,Import,120
Albania,2006,ores,Import,3882
Albania,2006,ores,Import,1891
Albania,2006,ores,Import,92
Albania,2006,ores,Import,3856
Albania,2006,ores,Import,1334
Albania,2006,ores,Import,16301
Albania,2006,ores,Import,1975
Albania,2006,ores,Import,4058
Albania,2006,ores,Import,629
Albania,2006,ores,Import,17344
Albania,2005,ores,Import,29647
Albania,2005,ores,Import,173
Albania,2005,ores,Import,2113
Albania,2005,ores,Export,11030
Albania,2005,ores,Re-Export,11030
Albania,2005,ores,Import,7
Albania,2004,ores,Import,14823
Albania,2004,ores,Import,200
Albania,2004,ores,Import,638
Albania,2004,ores,Import,1102
Albania,2003,ores,Import,3851
Albania,2003,ores,Import,183
Albania,2003,ores,Import,219
Albania,2003,ores,Import,226
Albania,2003,ores,Import,611
Albania,2003,ores,Import,39
Albania,2003,ores,Import,26839
Albania,2003,ores,Import,1747
Albania,2003,ores,Export,118035
Albania,2002,ores,Import,54
Albania,2002,ores,Import,717
Albania,2002,ores,Import,1998
Albania,2002,ores,Import,5171
Albania,2002,ores,Import,7392
Albania,2002,ores,Import,11191
Albania,2002,ores,Export,21758
Albania,2001,ores,Import,897
Albania,2001,ores,Import,2222
Albania,2001,ores,Import,1838
Albania,2001,ores,Import,3922
Albania,2000,ores,Import,12537
Albania,2000,ores,Import,4183
Albania,2000,ores,Import,102
Albania,2000,ores,Import,1735
Albania,2000,ores,Import,269
Albania,2000,ores,Import,1373
Albania,1999,ores,Import,648
Albania,1999,ores,Import,168
Albania,1999,ores,Import,3147
Albania,1998,ores,Export,21436
Albania,1997,ores,Import,261
Albania,1997,ores,Import,209
Albania,1997,ores,Export,49
Albania,1996,ores,Import,218
Albania,1996,ores,Import,14
Albania,1996,ores,Export,87011
Albania,1996,ores,Import,19691
Albania,1996,ores,Import,581
Albania,1996,ores,Import,3368
Albania,1996,ores,Import,699
Albania,1996,ores,Import,108
Albania,1996,ores,Import,556
Algeria,2013,ores,Import,71327
Algeria,2013,ores,Import,15357
Algeria,2013,ores,Import,143896
Algeria,2013,ores,Import,1091
Algeria,2013,ores,Import,40129
Algeria,2013,ores,Import,2128
Algeria,2013,ores,Import,1718
Algeria,2013,ores,Import,205922
Algeria,2013,ores,Import,15301
Algeria,2013,ores,Export,21969
Algeria,2013,ores,Import,6078
Algeria,2013,ores,Import,408133
Algeria,2013,ores,Import,139777
Algeria,2013,ores,Import,58498
Algeria,2013,ores,Import,437
Algeria,2013,ores,Import,97
Algeria,2013,ores,Import,7706
Algeria,2013,ores,Import,514
Algeria,2013,ores,Import,550157
Algeria,2013,ores,Import,21381
Algeria,2013,ores,Import,225
Algeria,2013,ores,Import,702627
Algeria,2013,ores,Import,21039
Algeria,2013,ores,Import,1168
Algeria,2013,ores,Import,707
Algeria,2013,ores,Import,466
Algeria,2013,ores,Import,2920
Algeria,2013,ores,Import,49808
Algeria,2012,ores,Import,1538
Algeria,2012,ores,Import,57268
Algeria,2012,ores,Import,112671
Algeria,2012,ores,Export,865
Algeria,2012,ores,Import,1172
Algeria,2012,ores,Import,1942
Algeria,2012,ores,Import,36250
Algeria,2012,ores,Import,23364
Algeria,2012,ores,Import,8902
Algeria,2012,ores,Import,2661
Algeria,2012,ores,Import,172348
Algeria,2012,ores,Import,55829
Algeria,2012,ores,Import,33642
Algeria,2012,ores,Import,1389
Algeria,2012,ores,Import,117
Algeria,2012,ores,Import,1371
Algeria,2012,ores,Import,2623
Algeria,2012,ores,Import,410395
Algeria,2012,ores,Import,9137
Algeria,2012,ores,Import,3752
Algeria,2012,ores,Import,188
Algeria,2012,ores,Import,25039
Algeria,2012,ores,Import,475
Algeria,2012,ores,Import,507
Algeria,2012,ores,Import,155
Algeria,2012,ores,Import,10738
Algeria,2011,ores,Import,1535
Algeria,2011,ores,Import,5374
Algeria,2011,ores,Import,48350
Algeria,2011,ores,Import,44046
Algeria,2011,ores,Import,9481
Algeria,2011,ores,Import,3569
Algeria,2011,ores,Import,22898
Algeria,2011,ores,Import,1342
Algeria,2011,ores,Import,1073
Algeria,2011,ores,Import,74020
Algeria,2011,ores,Import,195
Algeria,2011,ores,Import,404024
Algeria,2011,ores,Import,28291
Algeria,2011,ores,Import,61052
Algeria,2011,ores,Import,212
Algeria,2011,ores,Import,395
Algeria,2011,ores,Import,257059
Algeria,2011,ores,Import,442
Algeria,2011,ores,Import,1138
Algeria,2011,ores,Import,675367
Algeria,2011,ores,Import,35125
Algeria,2011,ores,Import,3953
Algeria,2011,ores,Import,20932
Algeria,2011,ores,Import,904
Algeria,2011,ores,Import,445
Algeria,2011,ores,Import,257
Algeria,2010,ores,Import,59
Algeria,2010,ores,Import,74051
Algeria,2010,ores,Import,25105
