Country or Area,Year,Commodity,Flow,Trade (USD)
Albania,2013,Textile,Import,9452
Albania,2013,Textile,Import,356
Albania,2013,Textile,Import,46262
Albania,2013,Textile,Export,1795
Albania,2013,Textile,Import,12810
Albania,2012,Textile,Import,26141
Albania,2012,Textile,Import,91
Albania,2012,Textile,Import,60252
Albania,2012,Textile,Export,3416
Albania,2012,Textile,Import,15052
Albania,2011,Textile,Import,73
Albania,2011,Textile,Import,53844
Albania,2011,Textile,Import,471
Albania,2011,Textile,Import,17375
Albania,2011,Textile,Import,25375
Albania,2010,Textile,Import,197
Albania,2010,Textile,Import,29
Albania,2010,Textile,Import,50430
Albania,2010,Textile,Import,535
Albania,2010,Textile,Import,18461
Albania,2010,Textile,Import,12633
Albania,2010,Textile,Export,461
Albania,2009,Textile,Import,1210
Albania,2009,Textile,Import,33864
Albania,2009,Textile,Import,3615
Albania,2009,Textile,Import,21350
Albania,2009,Textile,Import,16180
Albania,2008,Textile,Import,593
Albania,2008,Textile,Import,43106
Albania,2008,Textile,Import,108
Albania,2008,Textile,Import,26977
Albania,2008,Textile,Import,11637
Albania,2007,Textile,Import,140
Albania,2007,Textile,Import,55581
Albania,2007,Textile,Import,98
Albania,2007,Textile,Export,2043
Albania,2007,Textile,Import,40356
Albania,2007,Textile,Import,9439
Albania,2006,Textile,Import,263
Albania,2006,Textile,Import,54
Albania,2006,Textile,Import,70
Albania,2006,Textile,Import,1550
Albania,2006,Textile,Import,45489
Albania,2006,Textile,Export,502
Albania,2006,Textile,Import,6860
Albania,2005,Textile,Import,239
Albania,2005,Textile,Export,14417
Albania,2005,Textile,Re-Export,13903
Albania,2005,Textile,Import,28517
Albania,2005,Textile,Import,5226
Albania,2005,Textile,Import,3155
Albania,2005,Textile,Import,34103
Albania,2004,Textile,Import,17224
Albania,2004,Textile,Export,164
Albania,2004,Textile,Import,313
Albania,2004,Textile,Import,55443
Albania,2004,Textile,Import,697
Albania,2004,Textile,Import,5567
Albania,2004,Textile,Import,20450
Albania,2003,Textile,Import,35472
Albania,2003,Textile,Import,2608
Albania,2003,Textile,Import,11238
Albania,2003,Textile,Import,14453
Albania,2002,Textile,Import,111
Albania,2002,Textile,Import,3074
Albania,2002,Textile,Import,350
Albania,2002,Textile,Import,3219
Albania,2002,Textile,Export,179
Albania,2002,Textile,Import,7003
Albania,2001,Textile,Import,540
Albania,2001,Textile,Import,3326
Albania,2001,Textile,Import,1545
Albania,2001,Textile,Import,4013
Albania,2001,Textile,Import,15365
Albania,2000,Textile,Import,2
Albania,2000,Textile,Import,7659
Albania,2000,Textile,Import,2427
Albania,2000,Textile,Import,1459
Albania,2000,Textile,Import,12199
Albania,1999,Textile,Import,5471
Albania,1999,Textile,Import,21594
Albania,1999,Textile,Import,3534
Albania,1999,Textile,Import,15362
Albania,1998,Textile,Export,53
Albania,1998,Textile,Import,29421
Albania,1998,Textile,Import,254
Albania,1998,Textile,Import,8779
Albania,1997,Textile,Import,2697
Albania,1997,Textile,Import,34036
Albania,1997,Textile,Import,9
Albania,1997,Textile,Export,17658
Albania,1997,Textile,Import,34095
Albania,1997,Textile,Import,10713
Albania,1996,Textile,Import,40
Albania,1996,Textile,Import,3985
Albania,1996,Textile,Import,68592
Albania,1996,Textile,Import,24859
Albania,1996,Textile,Import,4565
Albania,1996,Textile,Import,9916
Algeria,2013,Textile,Import,18171
Algeria,2013,Textile,Export,907533
Algeria,2013,Textile,Export,52
Algeria,2013,Textile,Import,451243
Algeria,2013,Textile,Export,849750
Algeria,2013,Textile,Import,5417
Algeria,2013,Textile,Export,637225
Algeria,2013,Textile,Import,51223
Algeria,2013,Textile,Export,627582
Algeria,2013,Textile,Import,29802
Algeria,2013,Textile,Export,603031
Algeria,2012,Textile,Export,1724474
Algeria,2012,Textile,Export,59017
Algeria,2012,Textile,Import,3332
Algeria,2012,Textile,Export,945084
Algeria,2012,Textile,Import,2150
Algeria,2012,Textile,Export,1532320
Algeria,2012,Textile,Import,81352
Algeria,2012,Textile,Export,198941
Algeria,2012,Textile,Export,626248
Algeria,2012,Textile,Import,28217
Algeria,2011,Textile,Export,9012
Algeria,2011,Textile,Import,2578
Algeria,2011,Textile,Export,2001891
Algeria,2011,Textile,Import,20076
Algeria,2011,Textile,Import,409030
Algeria,2011,Textile,Export,1746706
Algeria,2011,Textile,Import,7477
Algeria,2011,Textile,Export,1858309
Algeria,2011,Textile,Import,65622
Algeria,2011,Textile,Export,856064
Algeria,2011,Textile,Import,33526
Algeria,2011,Textile,Export,650509
Algeria,2010,Textile,Import,27030
Algeria,2010,Textile,Export,445783
Algeria,2010,Textile,Import,15
Algeria,2010,Textile,Import,225340
Algeria,2010,Textile,Export,1629631
Algeria,2010,Textile,Import,15092
Algeria,2010,Textile,Export,260088
Algeria,2010,Textile,Import,32015
Algeria,2010,Textile,Export,771936
Algeria,2010,Textile,Import,15632
Algeria,2010,Textile,Export,6446
Algeria,2009,Textile,Export,465683
Algeria,2009,Textile,Export,4617
Algeria,2009,Textile,Import,418599
Algeria,2009,Textile,Export,935740
Algeria,2009,Textile,Import,99756
Algeria,2009,Textile,Export,1301912
Algeria,2009,Textile,Import,49642
Algeria,2009,Textile,Export,1046259
Algeria,2009,Textile,Import,34128
Algeria,2009,Textile,Export,25540
Algeria,2008,Textile,Export,70944
Algeria,2008,Textile,Export,754798
Algeria,2008,Textile,Export,88508
Algeria,2008,Textile,Import,972519
Algeria,2008,Textile,Export,1998090
Algeria,2008,Textile,Import,13810
Algeria,2008,Textile,Export,3768088
Algeria,2008,Textile,Import,25828
Algeria,2008,Textile,Export,2829967
Algeria,2008,Textile,Import,26181
Algeria,2008,Textile,Export,291464
Algeria,2007,Textile,Export,38697
Algeria,2007,Textile,Import,2554
Algeria,2007,Textile,Export,28839
Algeria,2007,Textile,Export,3644
Algeria,2007,Textile,Import,316776
Algeria,2007,Textile,Export,2865118
Algeria,2007,Textile,Import,12172
Algeria,2007,Textile,Export,3104854
Algeria,2007,Textile,Import,64795
Algeria,2007,Textile,Export,4509435
Algeria,2007,Textile,Import,35310
Algeria,2007,Textile,Export,398526
Algeria,2006,Textile,Import,68
Algeria,2006,Textile,Import,178
Algeria,2006,Textile,Export,11186
Algeria,2006,Textile,Import,364925
Algeria,2006,Textile,Export,3348416
Algeria,2006,Textile,Import,1299
Algeria,2006,Textile,Export,4248876
Algeria,2006,Textile,Import,33818
Algeria,2006,Textile,Export,3407571
Algeria,2006,Textile,Import,33843
Algeria,2006,Textile,Export,466538
