Country or Area,Year,Commodity,Flow,Trade (USD)
Albania,2013,Textile,Import,42263
Albania,2013,Textile,Import,10568
Albania,2013,Textile,Import,300
Albania,2013,Textile,Import,102434
Albania,2013,Textile,Export,6806
Albania,2013,Textile,Import,33010
Albania,2012,Textile,Import,6120
Albania,2012,Textile,Import,725
Albania,2012,Textile,Export,1692
Albania,2012,Textile,Import,4854
Albania,2012,Textile,Import,106886
Albania,2012,Textile,Export,2649
Albania,2012,Textile,Import,79622
Albania,2011,Textile,Import,9794
Albania,2011,Textile,Import,23225
Albania,2011,Textile,Import,7283
Albania,2011,Textile,Import,23248
Albania,2011,Textile,Import,87842
Albania,2010,Textile,Import,18122
Albania,2010,Textile,Import,22534
Albania,2010,Textile,Export,16509
Albania,2010,Textile,Import,3295
Albania,2010,Textile,Import,54479
Albania,2010,Textile,Import,117042
Albania,2009,Textile,Import,30623
Albania,2009,Textile,Import,9990
Albania,2009,Textile,Import,1773
Albania,2009,Textile,Import,39055
Albania,2009,Textile,Import,62120
Albania,2009,Textile,Export,18
Albania,2008,Textile,Import,13916
Albania,2008,Textile,Import,10187
Albania,2008,Textile,Import,8380
Albania,2008,Textile,Import,102369
Albania,2008,Textile,Export,7
Albania,2008,Textile,Import,17743
Albania,2007,Textile,Import,35503
Albania,2007,Textile,Import,3770
Albania,2007,Textile,Import,2780
Albania,2007,Textile,Import,104031
Albania,2007,Textile,Export,1673
Albania,2007,Textile,Import,21987
Albania,2006,Textile,Import,3845
Albania,2006,Textile,Import,2149
Albania,2006,Textile,Import,9891
Albania,2006,Textile,Re-Import,6127
Albania,2006,Textile,Import,56426
Albania,2006,Textile,Export,1413
Albania,2006,Textile,Import,5271
Albania,2005,Textile,Export,372
Albania,2005,Textile,Import,634
Albania,2005,Textile,Export,2477
Albania,2005,Textile,Import,4786
Albania,2005,Textile,Import,82697
Albania,2005,Textile,Import,7055
Albania,2004,Textile,Import,66
Albania,2004,Textile,Export,1914
Albania,2004,Textile,Import,153
Albania,2004,Textile,Import,49481
Albania,2004,Textile,Import,28500
Albania,2004,Textile,Export,12729
Albania,2003,Textile,Import,9982
Albania,2003,Textile,Import,1068
Albania,2003,Textile,Import,32946
Albania,2003,Textile,Import,45374
Albania,2003,Textile,Export,747
Albania,2002,Textile,Import,137
Albania,2002,Textile,Import,5726
Albania,2002,Textile,Import,17
Albania,2002,Textile,Import,10788
Albania,2002,Textile,Import,18964
Albania,2001,Textile,Import,1250
Albania,2001,Textile,Import,3255
Albania,2001,Textile,Export,20039
Albania,2001,Textile,Import,8267
Albania,2001,Textile,Import,19213
Albania,2000,Textile,Import,366
Albania,2000,Textile,Import,215
Albania,2000,Textile,Export,157
Albania,2000,Textile,Import,27788
Albania,2000,Textile,Export,2674
Albania,2000,Textile,Import,13039
Albania,1999,Textile,Import,69
Albania,1999,Textile,Import,355
Albania,1999,Textile,Import,1170
Albania,1999,Textile,Export,3982
Albania,1999,Textile,Import,1225
Albania,1999,Textile,Import,7417
Albania,1999,Textile,Export,8717
Albania,1998,Textile,Import,897
Albania,1998,Textile,Export,10230
Albania,1998,Textile,Import,3003
Albania,1998,Textile,Export,2051
Albania,1998,Textile,Import,277
Albania,1998,Textile,Export,58
Albania,1998,Textile,Import,1396
Albania,1998,Textile,Export,15299
Albania,1998,Textile,Import,8956
Albania,1998,Textile,Export,14043
Albania,1997,Textile,Export,7069
Albania,1997,Textile,Import,1083
Albania,1997,Textile,Import,911
Albania,1997,Textile,Export,10188
Albania,1997,Textile,Import,2082
Albania,1997,Textile,Export,23335
Albania,1997,Textile,Import,5551
Albania,1997,Textile,Export,108891
Albania,1996,Textile,Import,22
Albania,1996,Textile,Export,1087
Albania,1996,Textile,Export,1074
Albania,1996,Textile,Import,246
Albania,1996,Textile,Export,4817
Albania,1996,Textile,Import,244
Albania,1996,Textile,Export,41669
Albania,1996,Textile,Import,3079
Albania,1996,Textile,Export,64689
Algeria,2013,Textile,Import,32349
Algeria,2013,Textile,Import,3544
Algeria,2013,Textile,Import,21670
Algeria,2013,Textile,Import,287326
Algeria,2013,Textile,Export,27
Algeria,2013,Textile,Import,495527
Algeria,2012,Textile,Import,16933
Algeria,2012,Textile,Import,9644
Algeria,2012,Textile,Import,255715
Algeria,2012,Textile,Import,115675
Algeria,2012,Textile,Import,507386
Algeria,2011,Textile,Import,25289
Algeria,2011,Textile,Import,35106
Algeria,2011,Textile,Import,54562
Algeria,2011,Textile,Import,116981
Algeria,2011,Textile,Export,72
Algeria,2011,Textile,Import,632287
Algeria,2010,Textile,Import,38071
Algeria,2010,Textile,Import,7017
Algeria,2010,Textile,Import,51529
Algeria,2010,Textile,Import,127606
Algeria,2010,Textile,Import,329653
Algeria,2009,Textile,Import,8100
Algeria,2009,Textile,Import,9965
Algeria,2009,Textile,Import,121321
