Country or Area,Year,Commodity,Flow,Trade (USD)
Afghanistan,2012,Textile,Import,6110629
Afghanistan,2011,Textile,Import,4305669
Afghanistan,2011,Textile,Import,23236411
Afghanistan,2010,Textile,Import,2973564
Afghanistan,2010,Textile,Import,15297242
Afghanistan,2009,Textile,Import,1196097
Afghanistan,2009,Textile,Import,14048987
Afghanistan,2008,Textile,Import,2873314
Afghanistan,2008,Textile,Import,11310167
Albania,2013,Textile,Import,2406940
Albania,2013,Textile,Import,2584
Albania,2013,Textile,Import,10940
Albania,2013,Textile,Import,23741
Albania,2013,Textile,Import,30973
Albania,2013,Textile,Import,6247385
Albania,2013,Textile,Export,548838
Albania,2013,Textile,Import,239537
Albania,2013,Textile,Export,45040
Albania,2013,Textile,Import,20909082
Albania,2013,Textile,Export,189868
Albania,2013,Textile,Import,7006370
Albania,2013,Textile,Export,21410
Albania,2013,Textile,Import,100198
Albania,2013,Textile,Export,158146
Albania,2013,Textile,Import,243374
Albania,2013,Textile,Import,235788
Albania,2013,Textile,Import,240210
Albania,2013,Textile,Import,470334
Albania,2013,Textile,Import,332261
Albania,2013,Textile,Import,68586
Albania,2013,Textile,Import,3431
Albania,2013,Textile,Import,303755
Albania,2013,Textile,Import,123558
Albania,2013,Textile,Export,20
Albania,2013,Textile,Import,2563
Albania,2013,Textile,Import,17978
Albania,2013,Textile,Import,594346
Albania,2013,Textile,Export,48976
Albania,2013,Textile,Import,6664
Albania,2013,Textile,Import,1011118
Albania,2013,Textile,Export,17931
Albania,2013,Textile,Import,116
Albania,2013,Textile,Import,107973
Albania,2013,Textile,Import,23470
Albania,2013,Textile,Export,383
Albania,2013,Textile,Import,69274
Albania,2013,Textile,Import,452882
Albania,2013,Textile,Export,99322
Albania,2013,Textile,Import,990507
Albania,2013,Textile,Export,901
Albania,2013,Textile,Import,23282
Albania,2013,Textile,Import,1199801
Albania,2013,Textile,Export,178413
Albania,2013,Textile,Import,950259
Albania,2013,Textile,Export,4167
Albania,2013,Textile,Import,48556
Albania,2013,Textile,Import,2351682
Albania,2013,Textile,Export,6033
Albania,2013,Textile,Import,73838
Albania,2013,Textile,Import,1324094
Albania,2013,Textile,Export,8904
Albania,2013,Textile,Import,11344
Albania,2013,Textile,Import,1082479
Albania,2013,Textile,Export,3196
Albania,2013,Textile,Import,8864
Albania,2013,Textile,Export,300
Albania,2013,Textile,Import,663857
Albania,2013,Textile,Import,1008502
Albania,2013,Textile,Export,2173
Albania,2013,Textile,Import,7751
Albania,2013,Textile,Import,69745
Albania,2013,Textile,Import,2735699
Albania,2013,Textile,Import,48083
Albania,2013,Textile,Import,1214842
Albania,2013,Textile,Export,1303
Albania,2013,Textile,Import,19757
Albania,2013,Textile,Export,2610
Albania,2013,Textile,Import,359151
Albania,2013,Textile,Export,1383147
Albania,2013,Textile,Import,569259
Albania,2013,Textile,Import,138801
Albania,2013,Textile,Import,228428
Albania,2013,Textile,Export,1538
Albania,2013,Textile,Import,128110
Albania,2013,Textile,Import,15516
Albania,2013,Textile,Export,2948
Albania,2013,Textile,Import,274909
Albania,2013,Textile,Export,136263
Albania,2013,Textile,Import,338254
Albania,2013,Textile,Export,1711
Albania,2013,Textile,Import,11083
Albania,2013,Textile,Import,176589
Albania,2013,Textile,Export,662974
Albania,2013,Textile,Import,4321076
Albania,2013,Textile,Export,17490
Albania,2013,Textile,Import,3432829
Albania,2013,Textile,Export,12579
Albania,2013,Textile,Import,777598
Albania,2013,Textile,Export,41412
Albania,2013,Textile,Import,17714817
Albania,2013,Textile,Export,219801
Albania,2013,Textile,Import,40397
Albania,2013,Textile,Export,1651
Albania,2013,Textile,Import,1224670
Albania,2013,Textile,Export,1929362
Albania,2013,Textile,Import,7178945
Albania,2013,Textile,Export,1567876
Albania,2013,Textile,Import,5945300
Albania,2013,Textile,Export,965025
Albania,2013,Textile,Import,7231956
Albania,2013,Textile,Export,867432
Albania,2013,Textile,Import,8380663
Albania,2013,Textile,Export,38158731
Albania,2013,Textile,Import,130483
Albania,2013,Textile,Import,272924
Albania,2013,Textile,Export,1027
Albania,2013,Textile,Import,1410881
Albania,2013,Textile,Export,2061
Albania,2013,Textile,Import,598235
Albania,2013,Textile,Import,165565
Albania,2013,Textile,Import,22327
Albania,2013,Textile,Import,79925
Albania,2013,Textile,Import,3095798
Albania,2013,Textile,Import,1554329
Albania,2013,Textile,Export,723
Albania,2013,Textile,Import,1071109
Albania,2013,Textile,Export,10103
Albania,2013,Textile,Import,2988
Albania,2013,Textile,Import,147474
Albania,2013,Textile,Import,919436
Albania,2013,Textile,Export,2609
Albania,2013,Textile,Import,278194
Albania,2013,Textile,Export,1045
Albania,2013,Textile,Import,81560
Albania,2013,Textile,Import,41335
Albania,2013,Textile,Import,374929
Albania,2013,Textile,Export,1550
Albania,2013,Textile,Import,279777
Albania,2013,Textile,Export,44665
Albania,2013,Textile,Import,3201837
Albania,2013,Textile,Export,84879
Albania,2012,Textile,Import,2347971
Albania,2012,Textile,Import,2326
Albania,2012,Textile,Import,889
Albania,2012,Textile,Import,22444
Albania,2012,Textile,Import,39620
Albania,2012,Textile,Import,5150174
Albania,2012,Textile,Export,160279
Albania,2012,Textile,Import,158627
Albania,2012,Textile,Export,12853
Albania,2012,Textile,Import,6145539
Albania,2012,Textile,Export,28329
Albania,2012,Textile,Import,5927015
Albania,2012,Textile,Export,21448
Albania,2012,Textile,Import,9803
Albania,2012,Textile,Export,187345
Albania,2012,Textile,Import,157165
Albania,2012,Textile,Import,154888
Albania,2012,Textile,Import,41819
Albania,2012,Textile,Import,597993
Albania,2012,Textile,Import,71799
Albania,2012,Textile,Import,28638
Albania,2012,Textile,Import,18764
Albania,2012,Textile,Import,18264
Albania,2012,Textile,Export,1640
Albania,2012,Textile,Import,261819
Albania,2012,Textile,Import,102400
Albania,2012,Textile,Export,32
Albania,2012,Textile,Import,388
Albania,2012,Textile,Import,6908
Albania,2012,Textile,Import,696777
Albania,2012,Textile,Export,12451
