Country or Area,Year,Commodity,Flow,Trade (USD)
Afghanistan,2008,Textile,Import,71600
Albania,2013,Textile,Import,14
Albania,2013,Textile,Import,184516
Albania,2013,Textile,Export,16331
Albania,2013,Textile,Import,61659
Albania,2012,Textile,Import,56950
Albania,2012,Textile,Import,5475
Albania,2011,Textile,Import,52
Albania,2011,Textile,Import,62152
Albania,2011,Textile,Export,30639
Albania,2011,Textile,Import,64095
Albania,2010,Textile,Import,739
Albania,2010,Textile,Import,76297
Albania,2010,Textile,Import,46586
Albania,2010,Textile,Import,111195
Albania,2009,Textile,Import,3947
Albania,2009,Textile,Import,5903
Albania,2009,Textile,Import,10028
Albania,2009,Textile,Import,26001
Albania,2008,Textile,Import,797
Albania,2008,Textile,Import,133707
Albania,2008,Textile,Import,36995
Albania,2008,Textile,Import,22577
Albania,2008,Textile,Import,57030
Albania,2007,Textile,Export,9985
Albania,2007,Textile,Import,7143
Albania,2007,Textile,Import,17039
Albania,2007,Textile,Import,69185
Albania,2006,Textile,Import,28
Albania,2006,Textile,Export,16216
Albania,2006,Textile,Re-Export,16216
Albania,2006,Textile,Import,5301
Albania,2006,Textile,Re-Import,920
Albania,2006,Textile,Import,2580
Albania,2006,Textile,Import,8647
Albania,2006,Textile,Re-Import,6040
Albania,2005,Textile,Import,18927
Albania,2005,Textile,Import,302
Albania,2005,Textile,Export,47537
Albania,2005,Textile,Re-Export,47537
Albania,2005,Textile,Import,12836
Albania,2005,Textile,Import,3102
Albania,2005,Textile,Import,21464
Albania,2004,Textile,Import,42573
Albania,2004,Textile,Export,21993
Albania,2004,Textile,Import,124
Albania,2004,Textile,Export,330
Albania,2004,Textile,Import,98
Albania,2004,Textile,Import,30139
Albania,2004,Textile,Export,40407
Albania,2004,Textile,Import,1620
Albania,2004,Textile,Import,10239
Albania,2004,Textile,Import,22644
Albania,2003,Textile,Import,186
Albania,2003,Textile,Import,863
Albania,2003,Textile,Import,77170
Albania,2003,Textile,Import,1390
Albania,2003,Textile,Import,51
Albania,2002,Textile,Export,715
Albania,2002,Textile,Import,47783
Albania,2002,Textile,Import,23295
Albania,2002,Textile,Import,9573
Albania,2002,Textile,Import,7316
Albania,2002,Textile,Import,8805
Albania,2002,Textile,Import,188
Albania,2001,Textile,Import,81034
Albania,2001,Textile,Import,8603
Albania,2001,Textile,Import,21191
Albania,2000,Textile,Import,2369
Albania,2000,Textile,Import,100305
Albania,2000,Textile,Export,2179
Albania,2000,Textile,Import,19022
Albania,2000,Textile,Import,51
Albania,2000,Textile,Import,383
Albania,2000,Textile,Import,24460
Albania,2000,Textile,Import,94234
Albania,1999,Textile,Import,3549
Albania,1999,Textile,Import,1089
