Country or Area,Year,Commodity,Flow,Trade (USD)
Albania,2013,Textile,Import,43905
Albania,2013,Textile,Import,1610
Albania,2013,Textile,Import,15996
Albania,2013,Textile,Import,2186
Albania,2013,Textile,Import,12130
Albania,2013,Textile,Import,843796
Albania,2013,Textile,Export,1677
Albania,2013,Textile,Import,299133
Albania,2013,Textile,Import,84802
Albania,2013,Textile,Import,194643
Albania,2013,Textile,Import,277568
Albania,2013,Textile,Import,58717
Albania,2013,Textile,Import,17511
Albania,2013,Textile,Import,4419
Albania,2013,Textile,Import,2258
Albania,2013,Textile,Import,2716
Albania,2013,Textile,Import,43062
Albania,2013,Textile,Import,4708
Albania,2013,Textile,Import,229150
Albania,2013,Textile,Export,3877
Albania,2013,Textile,Import,1024687
Albania,2013,Textile,Import,6251
Albania,2013,Textile,Import,48491
Albania,2013,Textile,Import,24789
Albania,2013,Textile,Import,24375
Albania,2013,Textile,Import,1402088
Albania,2013,Textile,Import,8350
Albania,2013,Textile,Import,1437968
Albania,2013,Textile,Export,63
Albania,2013,Textile,Import,113358
Albania,2013,Textile,Import,185811
Albania,2013,Textile,Import,13836
Albania,2013,Textile,Import,1061940
Albania,2013,Textile,Export,1635
Albania,2013,Textile,Import,462945
Albania,2013,Textile,Import,515941
Albania,2013,Textile,Export,67
Albania,2013,Textile,Import,2532
Albania,2013,Textile,Import,3127700
Albania,2013,Textile,Export,8018
Albania,2013,Textile,Import,25384
Albania,2013,Textile,Import,484191
Albania,2013,Textile,Export,1854
Albania,2013,Textile,Import,19466
Albania,2013,Textile,Import,5311589
Albania,2013,Textile,Export,18533
Albania,2013,Textile,Import,49893
Albania,2013,Textile,Import,1218757
Albania,2013,Textile,Export,436
Albania,2013,Textile,Import,6752692
Albania,2013,Textile,Export,271212
Albania,2013,Textile,Import,29270
Albania,2013,Textile,Import,51318
Albania,2013,Textile,Import,510968
Albania,2013,Textile,Import,217677
Albania,2013,Textile,Import,1191598
Albania,2013,Textile,Import,1748786
Albania,2013,Textile,Import,854354
Albania,2013,Textile,Export,2400
Albania,2013,Textile,Import,2675365
Albania,2013,Textile,Export,104997
Albania,2013,Textile,Import,5550
Albania,2013,Textile,Import,4831290
Albania,2013,Textile,Export,12273
Albania,2013,Textile,Import,9158
Albania,2013,Textile,Import,307604
Albania,2013,Textile,Import,418612
Albania,2013,Textile,Import,74771
Albania,2013,Textile,Import,293313
Albania,2013,Textile,Export,1489
Albania,2013,Textile,Import,78975
Albania,2013,Textile,Import,2270
Albania,2013,Textile,Import,29626
Albania,2013,Textile,Import,138505
Albania,2013,Textile,Import,97647
Albania,2013,Textile,Import,133575
Albania,2013,Textile,Export,1264
Albania,2013,Textile,Import,5644
Albania,2013,Textile,Import,38610
Albania,2013,Textile,Import,2814068
Albania,2013,Textile,Import,151875
Albania,2013,Textile,Export,12
Albania,2013,Textile,Import,139731
Albania,2013,Textile,Import,2189
Albania,2013,Textile,Import,15468
Albania,2013,Textile,Import,52621
Albania,2013,Textile,Import,54602
Albania,2013,Textile,Import,612928
Albania,2013,Textile,Export,14230
Albania,2013,Textile,Import,52232
Albania,2013,Textile,Import,4046
Albania,2013,Textile,Import,12625
Albania,2013,Textile,Import,208201
Albania,2013,Textile,Import,567
Albania,2013,Textile,Import,39359
Albania,2013,Textile,Import,49921
Albania,2013,Textile,Import,3590
Albania,2013,Textile,Import,24906
Albania,2013,Textile,Import,146251
Albania,2013,Textile,Import,53827
Albania,2013,Textile,Import,28286
Albania,2013,Textile,Import,20248
Albania,2013,Textile,Import,5914
Albania,2013,Textile,Export,4420
Albania,2012,Textile,Import,19647
Albania,2012,Textile,Import,1201
Albania,2012,Textile,Import,29316
Albania,2012,Textile,Import,5
Albania,2012,Textile,Import,67643
Albania,2012,Textile,Export,2349
Albania,2012,Textile,Import,832880
Albania,2012,Textile,Export,51
Albania,2012,Textile,Import,154947
Albania,2012,Textile,Export,883
Albania,2012,Textile,Import,80916
Albania,2012,Textile,Import,221895
Albania,2012,Textile,Import,52517
Albania,2012,Textile,Import,15387
Albania,2012,Textile,Import,13213
Albania,2012,Textile,Import,2879
Albania,2012,Textile,Import,9231
Albania,2012,Textile,Import,16105
Albania,2012,Textile,Import,26738
Albania,2012,Textile,Import,61388
Albania,2012,Textile,Import,224
Albania,2012,Textile,Import,3640
Albania,2012,Textile,Import,321075
Albania,2012,Textile,Import,942198
Albania,2012,Textile,Import,12368
Albania,2012,Textile,Import,957
Albania,2012,Textile,Export,5591
Albania,2012,Textile,Import,10908
Albania,2012,Textile,Import,19828
Albania,2012,Textile,Import,99943
Albania,2012,Textile,Import,1810444
Albania,2012,Textile,Import,67785
Albania,2012,Textile,Import,643170
Albania,2012,Textile,Import,83249
Albania,2012,Textile,Import,243080
Albania,2012,Textile,Import,87631
Albania,2012,Textile,Import,735843
Albania,2012,Textile,Export,4307
Albania,2012,Textile,Import,266910
Albania,2012,Textile,Export,1957
Albania,2012,Textile,Import,1087997
Albania,2012,Textile,Export,4633
Albania,2012,Textile,Import,2833503
Albania,2012,Textile,Export,8399
Albania,2012,Textile,Import,20588
Albania,2012,Textile,Import,275491
Albania,2012,Textile,Export,32
Albania,2012,Textile,Import,1155
Albania,2012,Textile,Import,3838804
Albania,2012,Textile,Export,1753
Albania,2012,Textile,Import,80579
Albania,2012,Textile,Import,361131
Albania,2012,Textile,Import,6974198
Albania,2012,Textile,Export,279116
Albania,2012,Textile,Import,441
Albania,2012,Textile,Import,905
Albania,2012,Textile,Import,28030
Albania,2012,Textile,Import,10558
Albania,2012,Textile,Import,308765
Albania,2012,Textile,Import,1144086
Albania,2012,Textile,Import,1074400
Albania,2012,Textile,Import,116496
Albania,2012,Textile,Import,2610370
Albania,2012,Textile,Export,7380
Albania,2012,Textile,Import,529
Albania,2012,Textile,Import,5568176
Albania,2012,Textile,Export,1747
Albania,2012,Textile,Import,69177
Albania,2012,Textile,Import,148817
Albania,2012,Textile,Import,34867
Albania,2012,Textile,Import,910
Albania,2012,Textile,Import,35953
Albania,2012,Textile,Import,25546
Albania,2012,Textile,Import,5556
Albania,2012,Textile,Import,2565
Albania,2012,Textile,Import,20232
Albania,2012,Textile,Import,101457
Albania,2012,Textile,Import,42808
Albania,2012,Textile,Import,95823
