Country or Area,Year,Commodity,Flow,Trade (USD)
Albania,2013,Textile,Import,497426
Albania,2013,Textile,Import,600427
Albania,2013,Textile,Export,7126
Albania,2013,Textile,Import,362877
Albania,2013,Textile,Export,11541
Albania,2013,Textile,Import,16515
Albania,2013,Textile,Import,139112
Albania,2013,Textile,Export,287
Albania,2013,Textile,Import,4023
Albania,2013,Textile,Import,287335
Albania,2013,Textile,Export,100315
Albania,2013,Textile,Import,109537
Albania,2013,Textile,Export,3782
Albania,2013,Textile,Import,3896951
Albania,2013,Textile,Export,204728
Albania,2013,Textile,Import,358551
Albania,2013,Textile,Export,246
Albania,2013,Textile,Import,10898
Albania,2013,Textile,Import,3748
Albania,2013,Textile,Import,306135
Albania,2013,Textile,Import,9582
Albania,2013,Textile,Export,672
Albania,2013,Textile,Import,47084
Albania,2013,Textile,Export,14477
Albania,2013,Textile,Import,852851
Albania,2013,Textile,Import,388575
Albania,2013,Textile,Export,14339
Albania,2013,Textile,Import,381810
Albania,2013,Textile,Export,295
Albania,2013,Textile,Import,979839
Albania,2013,Textile,Export,2563
Albania,2013,Textile,Import,266333
Albania,2013,Textile,Import,161833
Albania,2013,Textile,Export,21183
Albania,2013,Textile,Import,89940
Albania,2013,Textile,Export,1632
Albania,2013,Textile,Import,125651
Albania,2012,Textile,Import,734363
Albania,2012,Textile,Export,16959
Albania,2012,Textile,Import,433529
Albania,2012,Textile,Export,18964
Albania,2012,Textile,Import,456423
Albania,2012,Textile,Export,678
Albania,2012,Textile,Import,36265
Albania,2012,Textile,Import,76275
Albania,2012,Textile,Export,312
Albania,2012,Textile,Import,9870
Albania,2012,Textile,Import,229386
Albania,2012,Textile,Export,49112
Albania,2012,Textile,Import,107305
Albania,2012,Textile,Import,7967413
Albania,2012,Textile,Export,33646
Albania,2012,Textile,Import,363602
Albania,2012,Textile,Export,6529
Albania,2012,Textile,Import,96508
Albania,2012,Textile,Export,2742
Albania,2012,Textile,Import,2368
Albania,2012,Textile,Import,229411
Albania,2012,Textile,Import,26342
Albania,2012,Textile,Import,110008
Albania,2012,Textile,Export,18193
Albania,2012,Textile,Import,722486
Albania,2012,Textile,Import,240530
Albania,2012,Textile,Import,424235
Albania,2012,Textile,Import,488855
Albania,2012,Textile,Export,1781
Albania,2012,Textile,Import,52774
Albania,2012,Textile,Import,182923
Albania,2012,Textile,Export,21057
Albania,2012,Textile,Import,53602
Albania,2012,Textile,Import,97118
Albania,2011,Textile,Import,1675869
Albania,2011,Textile,Export,1689560
Albania,2011,Textile,Import,377322
Albania,2011,Textile,Import,309314
Albania,2011,Textile,Export,4804
Albania,2011,Textile,Import,414481
Albania,2011,Textile,Import,66996
Albania,2011,Textile,Import,214533
Albania,2011,Textile,Import,427230
Albania,2011,Textile,Import,590902
Albania,2011,Textile,Import,4566259
Albania,2011,Textile,Export,55458
Albania,2011,Textile,Import,279959
Albania,2011,Textile,Import,46102
Albania,2011,Textile,Import,8239
Albania,2011,Textile,Import,124143
Albania,2011,Textile,Import,44967
Albania,2011,Textile,Export,505
Albania,2011,Textile,Import,51395
Albania,2011,Textile,Export,9767
Albania,2011,Textile,Import,663113
Albania,2011,Textile,Import,417708
Albania,2011,Textile,Export,2047
Albania,2011,Textile,Import,380947
Albania,2011,Textile,Import,446879
Albania,2011,Textile,Export,3860
Albania,2011,Textile,Import,190507
Albania,2011,Textile,Import,350655
Albania,2011,Textile,Export,42835
Albania,2011,Textile,Import,99055
Albania,2011,Textile,Import,154958
Albania,2011,Textile,Export,3033
Albania,2010,Textile,Import,1937665
