Country or Area,Year,Commodity,Flow,Trade (USD)
Afghanistan,2012,Textile,Export,72759125
Afghanistan,2011,Textile,Export,49116160
Afghanistan,2010,Textile,Export,70016063
Afghanistan,2009,Textile,Export,67859905
Afghanistan,2008,Textile,Export,149622910
Albania,2013,Textile,Import,51852
Albania,2013,Textile,Import,36570
Albania,2013,Textile,Export,13
Albania,2013,Textile,Import,24912
Albania,2013,Textile,Import,1700
Albania,2013,Textile,Export,893
Albania,2013,Textile,Import,195
Albania,2013,Textile,Import,7297
Albania,2013,Textile,Import,67158
Albania,2013,Textile,Import,4950730
Albania,2013,Textile,Export,638
Albania,2013,Textile,Import,44147
Albania,2013,Textile,Import,10313
Albania,2013,Textile,Import,19202
Albania,2013,Textile,Import,29472
Albania,2013,Textile,Import,45078
Albania,2013,Textile,Import,27957
Albania,2013,Textile,Import,617855
Albania,2013,Textile,Import,324651
Albania,2013,Textile,Import,46097
Albania,2013,Textile,Import,92
Albania,2013,Textile,Export,5445
Albania,2013,Textile,Import,259861
Albania,2013,Textile,Import,287490
Albania,2012,Textile,Import,69456
Albania,2012,Textile,Export,5064
Albania,2012,Textile,Import,100213
Albania,2012,Textile,Import,2194
Albania,2012,Textile,Import,8569
Albania,2012,Textile,Import,56230
Albania,2012,Textile,Import,256
Albania,2012,Textile,Import,351
Albania,2012,Textile,Import,97122
Albania,2012,Textile,Import,4708644
Albania,2012,Textile,Import,12470
Albania,2012,Textile,Import,1382
Albania,2012,Textile,Import,110961
Albania,2012,Textile,Import,9445
Albania,2012,Textile,Import,30584
Albania,2012,Textile,Import,1069220
Albania,2012,Textile,Import,324942
Albania,2012,Textile,Export,72921
Albania,2012,Textile,Import,110694
Albania,2012,Textile,Import,8750
Albania,2012,Textile,Import,145700
Albania,2012,Textile,Import,300069
Albania,2012,Textile,Export,3560
Albania,2011,Textile,Import,1603
Albania,2011,Textile,Import,101360
Albania,2011,Textile,Import,1320
Albania,2011,Textile,Import,1104
Albania,2011,Textile,Import,569
Albania,2011,Textile,Import,2603
Albania,2011,Textile,Import,1940
Albania,2011,Textile,Export,449
Albania,2011,Textile,Import,118538
Albania,2011,Textile,Import,4918449
Albania,2011,Textile,Import,2143
Albania,2011,Textile,Import,10981
Albania,2011,Textile,Import,478
Albania,2011,Textile,Import,388116
Albania,2011,Textile,Import,158630
Albania,2011,Textile,Import,40678
Albania,2011,Textile,Import,508276
Albania,2011,Textile,Import,763366
Albania,2011,Textile,Export,120695
Albania,2011,Textile,Import,22715
Albania,2011,Textile,Import,976
Albania,2011,Textile,Import,230809
Albania,2011,Textile,Import,230014
Albania,2011,Textile,Export,291
Albania,2010,Textile,Import,9385
Albania,2010,Textile,Export,7
Albania,2010,Textile,Import,126108
Albania,2010,Textile,Import,9661
Albania,2010,Textile,Import,1103
Albania,2010,Textile,Import,8043
Albania,2010,Textile,Import,9482
Albania,2010,Textile,Import,69101
Albania,2010,Textile,Import,60512
Albania,2010,Textile,Import,4173656
Albania,2010,Textile,Import,16153
Albania,2010,Textile,Import,351428
Albania,2010,Textile,Import,687352
Albania,2010,Textile,Import,253399
Albania,2010,Textile,Export,2720
Albania,2010,Textile,Import,16933
Albania,2010,Textile,Import,377681
