Country or Area,Year,Commodity,Flow,Trade (USD)
Albania,2013,Textile,Import,19599
Albania,2013,Textile,Import,5326428
Albania,2013,Textile,Export,30614
Albania,2013,Textile,Import,17339615
Albania,2013,Textile,Export,120054
Albania,2013,Textile,Import,8297307
Albania,2013,Textile,Export,44530
Albania,2013,Textile,Import,55151
Albania,2013,Textile,Import,641
Albania,2013,Textile,Import,750
Albania,2013,Textile,Import,49891
Albania,2013,Textile,Import,4132
Albania,2013,Textile,Export,146
Albania,2013,Textile,Import,150729
Albania,2013,Textile,Export,12189
Albania,2013,Textile,Import,217156
Albania,2013,Textile,Import,3470
Albania,2013,Textile,Export,22387
Albania,2013,Textile,Import,1624
Albania,2013,Textile,Import,63349
Albania,2013,Textile,Import,228093
Albania,2013,Textile,Export,68
Albania,2013,Textile,Import,19080
Albania,2013,Textile,Import,9427
Albania,2013,Textile,Import,195487
Albania,2013,Textile,Import,23493
Albania,2013,Textile,Import,827241
Albania,2013,Textile,Export,43391
Albania,2012,Textile,Import,401
Albania,2012,Textile,Import,36025
Albania,2012,Textile,Import,40647
Albania,2012,Textile,Import,518
Albania,2012,Textile,Import,4843834
Albania,2012,Textile,Export,19066
Albania,2012,Textile,Import,12115391
Albania,2012,Textile,Export,23855
Albania,2012,Textile,Import,6809093
Albania,2012,Textile,Export,12452
Albania,2012,Textile,Import,10536
Albania,2012,Textile,Import,1014
Albania,2012,Textile,Import,1368
Albania,2012,Textile,Import,46972
Albania,2012,Textile,Import,11235
Albania,2012,Textile,Import,79491
Albania,2012,Textile,Export,19798
Albania,2012,Textile,Import,187523
Albania,2012,Textile,Import,85594
Albania,2012,Textile,Export,87930
Albania,2012,Textile,Import,58620
Albania,2012,Textile,Import,32274
Albania,2012,Textile,Import,240732
Albania,2012,Textile,Export,5
Albania,2012,Textile,Import,52885
Albania,2012,Textile,Import,49908
Albania,2012,Textile,Import,1493552
Albania,2011,Textile,Import,15378
Albania,2011,Textile,Import,10481
Albania,2011,Textile,Import,23
Albania,2011,Textile,Import,373
Albania,2011,Textile,Import,5286741
Albania,2011,Textile,Export,20188
Albania,2011,Textile,Import,14646164
Albania,2011,Textile,Export,8647
Albania,2011,Textile,Import,11141482
Albania,2011,Textile,Export,22246
Albania,2011,Textile,Import,3013
Albania,2011,Textile,Import,604
Albania,2011,Textile,Import,16486
Albania,2011,Textile,Import,42862
Albania,2011,Textile,Import,6651
Albania,2011,Textile,Import,49061
Albania,2011,Textile,Import,285639
Albania,2011,Textile,Import,117143
Albania,2011,Textile,Export,95671
Albania,2011,Textile,Import,194577
Albania,2011,Textile,Import,10427
Albania,2011,Textile,Import,166241
Albania,2011,Textile,Export,9
Albania,2011,Textile,Import,5499
Albania,2011,Textile,Import,4289
Albania,2011,Textile,Import,1303
Albania,2011,Textile,Import,695544
Albania,2011,Textile,Export,99446
Albania,2010,Textile,Import,138951
Albania,2010,Textile,Import,491154
Albania,2010,Textile,Import,3312452
Albania,2010,Textile,Export,671
Albania,2010,Textile,Import,2238439
Albania,2010,Textile,Export,6411
Albania,2010,Textile,Import,13471758
Albania,2010,Textile,Export,10887
Albania,2010,Textile,Import,67332
Albania,2010,Textile,Import,3084
Albania,2010,Textile,Import,661
Albania,2010,Textile,Import,38450
Albania,2010,Textile,Import,5594
Albania,2010,Textile,Import,58333
Albania,2010,Textile,Import,296445
Albania,2010,Textile,Import,314490
Albania,2010,Textile,Export,71688
Albania,2010,Textile,Import,121255
Albania,2010,Textile,Import,19314
Albania,2010,Textile,Import,56960
Albania,2010,Textile,Export,3
Albania,2010,Textile,Import,10512
Albania,2010,Textile,Import,22868
Albania,2010,Textile,Import,607
Albania,2010,Textile,Import,387470
Albania,2009,Textile,Import,432104
Albania,2009,Textile,Export,62
Albania,2009,Textile,Import,402159
Albania,2009,Textile,Import,608
Albania,2009,Textile,Import,16631
Albania,2009,Textile,Import,11434
Albania,2009,Textile,Import,2498916
Albania,2009,Textile,Export,1356
Albania,2009,Textile,Import,700153
Albania,2009,Textile,Export,520
Albania,2009,Textile,Import,5283326
Albania,2009,Textile,Export,5444
Albania,2009,Textile,Import,162529
Albania,2009,Textile,Import,4004
Albania,2009,Textile,Export,379
Albania,2009,Textile,Import,962
Albania,2009,Textile,Import,135609
Albania,2009,Textile,Export,17
Albania,2009,Textile,Import,13260
Albania,2009,Textile,Import,136653
Albania,2009,Textile,Import,265598
Albania,2009,Textile,Import,206879
Albania,2009,Textile,Export,104961
Albania,2009,Textile,Import,94693
Albania,2009,Textile,Import,16902
Albania,2009,Textile,Import,27965
Albania,2009,Textile,Import,8622
Albania,2009,Textile,Import,51465
Albania,2009,Textile,Import,25281
Albania,2009,Textile,Export,4921
Albania,2009,Textile,Import,627167
Albania,2009,Textile,Export,2104
Albania,2008,Textile,Import,172
Albania,2008,Textile,Import,12982
Albania,2008,Textile,Export,1
Albania,2008,Textile,Re-Export,1
Albania,2008,Textile,Import,1175237
Albania,2008,Textile,Import,723217
Albania,2008,Textile,Import,7771331
Albania,2008,Textile,Export,1544
Albania,2008,Textile,Re-Export,1544
Albania,2008,Textile,Import,12140
Albania,2008,Textile,Import,1720
Albania,2008,Textile,Import,12517
Albania,2008,Textile,Import,3418
Albania,2008,Textile,Import,8346
Albania,2008,Textile,Export,4274
Albania,2008,Textile,Re-Export,4274
Albania,2008,Textile,Import,196998
Albania,2008,Textile,Import,48585
Albania,2008,Textile,Import,254775
Albania,2008,Textile,Export,211108
Albania,2008,Textile,Re-Export,211108
Albania,2008,Textile,Import,161823
Albania,2008,Textile,Import,121975
Albania,2008,Textile,Import,566416
Albania,2008,Textile,Import,6897
Albania,2008,Textile,Export,4862
Albania,2008,Textile,Re-Export,4862
Albania,2008,Textile,Import,37831
Albania,2008,Textile,Export,3520
Albania,2008,Textile,Re-Export,3520
Albania,2008,Textile,Import,8969
Albania,2008,Textile,Import,450658
Albania,2008,Textile,Export,886
Albania,2007,Textile,Import,3628
Albania,2007,Textile,Import,23031
Albania,2007,Textile,Import,4019
Albania,2007,Textile,Import,873697
Albania,2007,Textile,Export,868
Albania,2007,Textile,Import,227618
Albania,2007,Textile,Import,7409612
Albania,2007,Textile,Export,1588
Albania,2007,Textile,Import,16322
Albania,2007,Textile,Import,4357
Albania,2007,Textile,Import,166
Albania,2007,Textile,Import,13805
Albania,2007,Textile,Import,280134
Albania,2007,Textile,Export,53675
Albania,2007,Textile,Import,28289
Albania,2007,Textile,Import,134072
Albania,2007,Textile,Import,327594
Albania,2007,Textile,Export,175600
Albania,2007,Textile,Import,91836
Albania,2007,Textile,Import,15496
Albania,2007,Textile,Import,32450
Albania,2007,Textile,Import,9056
Albania,2007,Textile,Import,48850
Albania,2007,Textile,Import,1166
Albania,2007,Textile,Import,194830
Albania,2007,Textile,Export,1581
Albania,2006,Textile,Import,7775
Albania,2006,Textile,Re-Import,5745
Albania,2006,Textile,Import,14038
Albania,2006,Textile,Export,1479
Albania,2006,Textile,Re-Export,1479
Albania,2006,Textile,Import,547
Albania,2006,Textile,Import,1862
Albania,2006,Textile,Import,533258
Albania,2006,Textile,Export,13947
Albania,2006,Textile,Re-Export,13947
Albania,2006,Textile,Re-Import,114140
Albania,2006,Textile,Import,412542
Albania,2006,Textile,Re-Import,309023
Albania,2006,Textile,Import,5990337
Albania,2006,Textile,Export,134
Albania,2006,Textile,Re-Export,134
Albania,2006,Textile,Re-Import,5767804
Albania,2006,Textile,Import,15679
Albania,2006,Textile,Import,36584
Albania,2006,Textile,Import,254
Albania,2006,Textile,Import,8681
Albania,2006,Textile,Re-Import,7340
Albania,2006,Textile,Import,56098
Albania,2006,Textile,Re-Import,28081
Albania,2006,Textile,Import,14995
Albania,2006,Textile,Re-Import,1242
Albania,2006,Textile,Import,117176
Albania,2006,Textile,Re-Import,109255
Albania,2006,Textile,Import,204608
Albania,2006,Textile,Export,151653
Albania,2006,Textile,Re-Export,151653
Albania,2006,Textile,Re-Import,92518
Albania,2006,Textile,Import,61564
Albania,2006,Textile,Import,5105
Albania,2006,Textile,Import,26154
Albania,2006,Textile,Re-Import,24629
Albania,2006,Textile,Import,50073
Albania,2006,Textile,Re-Import,50073
Albania,2006,Textile,Import,23106
Albania,2006,Textile,Import,15833
Albania,2006,Textile,Import,118848
Albania,2006,Textile,Export,482
Albania,2005,Textile,Import,3223
Albania,2005,Textile,Import,18123
Albania,2005,Textile,Import,161
Albania,2005,Textile,Import,480692
Albania,2005,Textile,Import,675892
Albania,2005,Textile,Export,2824
Albania,2005,Textile,Re-Export,1297
Albania,2005,Textile,Import,8486859
Albania,2005,Textile,Export,1654
Albania,2005,Textile,Import,6957
Albania,2005,Textile,Import,758
Albania,2005,Textile,Import,11845
Albania,2005,Textile,Import,4648
Albania,2005,Textile,Import,51185
Albania,2005,Textile,Import,36119
Albania,2005,Textile,Import,100841
Albania,2005,Textile,Import,19
Albania,2005,Textile,Import,846606
Albania,2005,Textile,Import,14293
Albania,2005,Textile,Import,20661
Albania,2005,Textile,Import,5890
Albania,2005,Textile,Import,43
Albania,2005,Textile,Import,141715
Albania,2004,Textile,Import,4161
Albania,2004,Textile,Import,11309
Albania,2004,Textile,Import,1576
Albania,2004,Textile,Import,4840
Albania,2004,Textile,Import,1272
Albania,2004,Textile,Import,380390
Albania,2004,Textile,Export,61
Albania,2004,Textile,Import,187888
Albania,2004,Textile,Export,1011
Albania,2004,Textile,Import,5127097
Albania,2004,Textile,Export,2034
Albania,2004,Textile,Import,15532
Albania,2004,Textile,Import,10866
Albania,2004,Textile,Import,1191
Albania,2004,Textile,Import,1934
Albania,2004,Textile,Import,224
Albania,2004,Textile,Import,17840
Albania,2004,Textile,Import,87745
Albania,2004,Textile,Import,12662
Albania,2004,Textile,Import,3397
Albania,2004,Textile,Import,15910
Albania,2004,Textile,Import,45004
Albania,2004,Textile,Import,2532
Albania,2004,Textile,Import,289
Albania,2004,Textile,Import,69611
Albania,2003,Textile,Import,6154
Albania,2003,Textile,Import,5563
Albania,2003,Textile,Import,84
Albania,2003,Textile,Import,1359
Albania,2003,Textile,Import,395518
Albania,2003,Textile,Import,136811
Albania,2003,Textile,Export,46
Albania,2003,Textile,Import,2778263
Albania,2003,Textile,Import,3820
Albania,2003,Textile,Import,12738
Albania,2003,Textile,Import,7546
Albania,2003,Textile,Import,1380
Albania,2003,Textile,Import,33036
Albania,2003,Textile,Import,50713
Albania,2003,Textile,Import,7745
Albania,2003,Textile,Import,5888
Albania,2003,Textile,Import,3385
Albania,2003,Textile,Import,2067
Albania,2003,Textile,Import,21497
Albania,2003,Textile,Import,9362
Albania,2003,Textile,Import,40120
Albania,2002,Textile,Import,163
Albania,2002,Textile,Import,23655
Albania,2002,Textile,Import,260
Albania,2002,Textile,Import,2092
Albania,2002,Textile,Import,3666
Albania,2002,Textile,Import,105422
Albania,2002,Textile,Import,151651
Albania,2002,Textile,Import,954272
Albania,2002,Textile,Import,28386
Albania,2002,Textile,Import,1754
Albania,2002,Textile,Import,8824
Albania,2002,Textile,Import,1854
Albania,2002,Textile,Import,4810
Albania,2002,Textile,Import,33664
Albania,2002,Textile,Import,301159
Albania,2002,Textile,Import,174
Albania,2002,Textile,Import,27920
Albania,2002,Textile,Import,66088
Albania,2002,Textile,Import,1461
Albania,2002,Textile,Import,4080
Albania,2002,Textile,Import,1535
Albania,2002,Textile,Import,3272
Albania,2002,Textile,Import,739
Albania,2002,Textile,Import,15048
Albania,2001,Textile,Import,499
Albania,2001,Textile,Import,58730
Albania,2001,Textile,Import,563
Albania,2001,Textile,Import,7086
Albania,2001,Textile,Export,522
Albania,2001,Textile,Import,1632
Albania,2001,Textile,Import,155231
Albania,2001,Textile,Import,166363
Albania,2001,Textile,Import,307536
Albania,2001,Textile,Import,40636
Albania,2001,Textile,Import,96
Albania,2001,Textile,Import,355
Albania,2001,Textile,Import,8626
Albania,2001,Textile,Import,9140
Albania,2001,Textile,Import,3292
Albania,2001,Textile,Import,26664
Albania,2001,Textile,Import,143297
Albania,2001,Textile,Import,462
Albania,2001,Textile,Export,34063
Albania,2001,Textile,Import,1267
Albania,2001,Textile,Import,411
Albania,2001,Textile,Import,9702
Albania,2001,Textile,Import,31559
Albania,2001,Textile,Import,9859
Albania,2000,Textile,Import,697
Albania,2000,Textile,Import,18421
Albania,2000,Textile,Import,57749
Albania,2000,Textile,Import,35370
Albania,2000,Textile,Import,5708
Albania,2000,Textile,Import,88571
Albania,2000,Textile,Export,717
Albania,2000,Textile,Import,121550
Albania,2000,Textile,Import,132391
Albania,2000,Textile,Export,983
Albania,2000,Textile,Import,17523
Albania,2000,Textile,Import,363
Albania,2000,Textile,Import,1664
Albania,2000,Textile,Import,287
Albania,2000,Textile,Import,25367
Albania,2000,Textile,Import,166264
Albania,2000,Textile,Import,29111
Albania,2000,Textile,Export,197125
Albania,2000,Textile,Import,35120
Albania,2000,Textile,Import,251
Albania,2000,Textile,Import,412
Albania,2000,Textile,Import,6951
Albania,2000,Textile,Import,1077
Albania,2000,Textile,Import,582
Albania,2000,Textile,Import,17425
Albania,1999,Textile,Import,253884
Albania,1999,Textile,Import,1372
Albania,1999,Textile,Import,761
Albania,1999,Textile,Import,3841
Albania,1999,Textile,Import,2334
Albania,1999,Textile,Import,48900
Albania,1999,Textile,Import,103464
Albania,1999,Textile,Import,837171
Albania,1999,Textile,Import,90872
Albania,1999,Textile,Import,7520
Albania,1999,Textile,Export,13352
Albania,1999,Textile,Import,11152
Albania,1999,Textile,Import,17
Albania,1999,Textile,Import,10485
Albania,1999,Textile,Import,32729
Albania,1999,Textile,Export,309
Albania,1999,Textile,Import,58993
Albania,1999,Textile,Export,40106
Albania,1999,Textile,Import,345
Albania,1999,Textile,Import,3104
Albania,1999,Textile,Import,36793
Albania,1999,Textile,Import,2594
Albania,1999,Textile,Import,16012
Albania,1999,Textile,Import,121
Albania,1999,Textile,Import,838
Albania,1998,Textile,Import,421328
Albania,1998,Textile,Import,2088
Albania,1998,Textile,Import,4299
Albania,1998,Textile,Import,7390
Albania,1998,Textile,Import,35785
Albania,1998,Textile,Import,96873
Albania,1998,Textile,Import,1018607
Albania,1998,Textile,Import,203092
Albania,1998,Textile,Import,3915
Albania,1998,Textile,Export,372
Albania,1998,Textile,Import,7702
Albania,1998,Textile,Import,6347
Albania,1998,Textile,Import,3744
Albania,1998,Textile,Import,21258
Albania,1998,Textile,Import,3399
Albania,1998,Textile,Import,1774
Albania,1998,Textile,Import,1708
Albania,1998,Textile,Import,12807
Albania,1998,Textile,Import,2470
Albania,1998,Textile,Import,10715
Albania,1998,Textile,Import,113
Albania,1998,Textile,Import,18718
Albania,1998,Textile,Export,1387
Albania,1997,Textile,Import,432148
Albania,1997,Textile,Import,47108
Albania,1997,Textile,Export,1107
