Country or Area,Year,Commodity,Flow,Trade (USD)
Afghanistan,2012,Textile,Import,20919570
Afghanistan,2011,Textile,Import,6486764
Afghanistan,2010,Textile,Import,12036345
Afghanistan,2009,Textile,Import,5182350
Afghanistan,2008,Textile,Import,3185718
Albania,2013,Textile,Import,130255
Albania,2013,Textile,Export,79726
Albania,2013,Textile,Import,121045
Albania,2013,Textile,Export,188337
Albania,2013,Textile,Import,485465
Albania,2013,Textile,Export,1117353
Albania,2013,Textile,Import,35153
Albania,2013,Textile,Export,310722
Albania,2013,Textile,Import,6201
Albania,2013,Textile,Export,28381
Albania,2013,Textile,Import,292341
Albania,2013,Textile,Export,524444
Albania,2013,Textile,Import,236324
Albania,2013,Textile,Export,55045
Albania,2013,Textile,Import,260699
Albania,2013,Textile,Export,52815
Albania,2013,Textile,Import,77618
Albania,2013,Textile,Export,202051
Albania,2013,Textile,Import,141048
Albania,2013,Textile,Export,161082
Albania,2013,Textile,Import,496333
Albania,2013,Textile,Export,168121
Albania,2013,Textile,Import,267508
Albania,2013,Textile,Export,209019
Albania,2013,Textile,Import,4630
Albania,2013,Textile,Import,114603
Albania,2013,Textile,Export,5716
Albania,2013,Textile,Import,643008
Albania,2013,Textile,Export,29346
Albania,2013,Textile,Import,370327
Albania,2013,Textile,Export,795776
Albania,2013,Textile,Import,168344
Albania,2013,Textile,Import,85984
Albania,2013,Textile,Export,21712
Albania,2013,Textile,Import,123301
Albania,2013,Textile,Export,146609
Albania,2013,Textile,Import,346405
Albania,2013,Textile,Export,278199
Albania,2013,Textile,Import,26196
Albania,2013,Textile,Export,23265
Albania,2013,Textile,Import,283592
Albania,2013,Textile,Export,212657
Albania,2013,Textile,Import,699541
Albania,2013,Textile,Export,751878
Albania,2013,Textile,Import,2652820
Albania,2013,Textile,Export,4243143
Albania,2013,Textile,Import,1571694
Albania,2013,Textile,Export,3405826
Albania,2013,Textile,Import,508136
Albania,2013,Textile,Export,1231191
Albania,2013,Textile,Import,1513776
Albania,2013,Textile,Export,6740184
Albania,2013,Textile,Import,17703739
Albania,2013,Textile,Export,68393011
Albania,2013,Textile,Import,2526444
Albania,2013,Textile,Export,3686138
Albania,2013,Textile,Import,378357
Albania,2013,Textile,Export,718857
Albania,2013,Textile,Import,822
