Country or Area,Year,Commodity,Flow,Trade (USD)
Afghanistan,2012,Textile,Import,19728669
Afghanistan,2011,Textile,Import,19145074
Afghanistan,2010,Textile,Import,22667827
Afghanistan,2009,Textile,Import,6899719
Afghanistan,2008,Textile,Import,8048448
Albania,2013,Textile,Import,52706
Albania,2013,Textile,Export,90010
Albania,2013,Textile,Import,52492
Albania,2013,Textile,Export,33
Albania,2013,Textile,Import,117038
Albania,2013,Textile,Export,5828845
Albania,2013,Textile,Import,1107564
Albania,2013,Textile,Export,585093
Albania,2013,Textile,Import,243811
Albania,2013,Textile,Import,325682
Albania,2013,Textile,Export,24
Albania,2013,Textile,Import,12282029
Albania,2013,Textile,Export,4637255
Albania,2013,Textile,Import,205681
Albania,2013,Textile,Export,6221582
Albania,2013,Textile,Import,61123
Albania,2013,Textile,Export,4368231
Albania,2013,Textile,Import,698229
Albania,2013,Textile,Export,60826622
Albania,2013,Textile,Import,236160
Albania,2013,Textile,Export,18667959
Albania,2013,Textile,Import,683179
Albania,2013,Textile,Export,12103343
Albania,2013,Textile,Import,1146375
Albania,2013,Textile,Export,5824083
Albania,2013,Textile,Import,4569298
Albania,2013,Textile,Export,48824767
Albania,2013,Textile,Import,1522184
Albania,2013,Textile,Import,1953913
Albania,2013,Textile,Export,5895336
Albania,2013,Textile,Import,381582
Albania,2013,Textile,Export,2212757
Albania,2013,Textile,Import,314134
Albania,2013,Textile,Export,6155739
Albania,2013,Textile,Import,187318
Albania,2013,Textile,Export,523735
Albania,2013,Textile,Import,2597377
Albania,2013,Textile,Export,4440999
Albania,2013,Textile,Import,32634441
Albania,2013,Textile,Export,121678643
Albania,2013,Textile,Import,17753116
Albania,2013,Textile,Export,616071
Albania,2013,Textile,Import,22936877
Albania,2013,Textile,Export,10500584
Albania,2012,Textile,Import,8787
Albania,2012,Textile,Import,157731
Albania,2012,Textile,Import,187780
Albania,2012,Textile,Export,145589
Albania,2012,Textile,Import,1185028
Albania,2012,Textile,Export,397950
Albania,2012,Textile,Import,256207
Albania,2012,Textile,Export,583
Albania,2012,Textile,Import,165459
Albania,2012,Textile,Export,15
Albania,2012,Textile,Import,13679621
Albania,2012,Textile,Export,2239832
Albania,2012,Textile,Import,74
Albania,2012,Textile,Export,387
Albania,2012,Textile,Import,174164
Albania,2012,Textile,Export,4280565
Albania,2012,Textile,Import,78131
Albania,2012,Textile,Export,6948281
Albania,2012,Textile,Import,652759
Albania,2012,Textile,Export,57241935
Albania,2012,Textile,Import,258035
Albania,2012,Textile,Export,16369760
Albania,2012,Textile,Import,587929
Albania,2012,Textile,Export,11441827
Albania,2012,Textile,Import,750616
Albania,2012,Textile,Export,6506256
Albania,2012,Textile,Import,3602404
Albania,2012,Textile,Export,39111939
Albania,2012,Textile,Import,1073066
Albania,2012,Textile,Import,2880542
Albania,2012,Textile,Export,3356295
Albania,2012,Textile,Import,389588
Albania,2012,Textile,Export,970334
Albania,2012,Textile,Import,233352
Albania,2012,Textile,Export,6301761
Albania,2012,Textile,Import,220095
Albania,2012,Textile,Export,282
Albania,2012,Textile,Import,2190274
Albania,2012,Textile,Export,9117609
Albania,2012,Textile,Import,29893457
Albania,2012,Textile,Export,102232945
Albania,2012,Textile,Import,16160339
Albania,2012,Textile,Export,426924
Albania,2012,Textile,Import,18179339
Albania,2012,Textile,Export,7170974
Albania,2011,Textile,Import,26326
Albania,2011,Textile,Import,25688
Albania,2011,Textile,Import,386094
Albania,2011,Textile,Export,326466
Albania,2011,Textile,Import,3221
Albania,2011,Textile,Export,817430
Albania,2011,Textile,Import,3081037
Albania,2011,Textile,Export,410999
Albania,2011,Textile,Import,179067
Albania,2011,Textile,Export,132685
Albania,2011,Textile,Import,465459
Albania,2011,Textile,Import,14748751
Albania,2011,Textile,Export,1536814
Albania,2011,Textile,Export,548894
Albania,2011,Textile,Import,135344
Albania,2011,Textile,Export,6270989
Albania,2011,Textile,Import,62411
Albania,2011,Textile,Export,6101640
Albania,2011,Textile,Import,337187
Albania,2011,Textile,Export,48764383
Albania,2011,Textile,Import,340458
Albania,2011,Textile,Export,27277774
