Country or Area,Year,Commodity,Flow,Trade (USD)
Albania,2013,Vehicles,Import,72636
Albania,2013,Vehicles,Import,1733
Albania,2013,Vehicles,Import,1674
Albania,2013,Vehicles,Import,32345
Albania,2013,Vehicles,Import,457
Albania,2013,Vehicles,Import,160028
Albania,2013,Vehicles,Import,210071
Albania,2013,Vehicles,Export,192033
Albania,2012,Vehicles,Import,38611
Albania,2012,Vehicles,Import,3466
Albania,2012,Vehicles,Import,42689
Albania,2012,Vehicles,Import,29602
Albania,2012,Vehicles,Export,46
Albania,2012,Vehicles,Import,2979
Albania,2012,Vehicles,Import,153420
Albania,2012,Vehicles,Import,384090
Albania,2012,Vehicles,Export,21705
Albania,2011,Vehicles,Import,41240
Albania,2011,Vehicles,Import,7357
Albania,2011,Vehicles,Import,6228
Albania,2011,Vehicles,Import,4342
Albania,2011,Vehicles,Import,16273
Albania,2011,Vehicles,Export,3390
Albania,2011,Vehicles,Import,64106
Albania,2011,Vehicles,Import,818
Albania,2011,Vehicles,Import,181000
Albania,2011,Vehicles,Import,464598
Albania,2011,Vehicles,Export,420484
Albania,2010,Vehicles,Import,24686
Albania,2010,Vehicles,Import,5538
Albania,2010,Vehicles,Export,988
Albania,2010,Vehicles,Import,4830
Albania,2010,Vehicles,Import,2744
Albania,2010,Vehicles,Import,3790
Albania,2010,Vehicles,Import,1160
Albania,2010,Vehicles,Import,203949
Albania,2010,Vehicles,Import,423348
Albania,2010,Vehicles,Export,682096
Albania,2009,Vehicles,Export,13486
Albania,2009,Vehicles,Import,50344
Albania,2009,Vehicles,Import,44804
Albania,2009,Vehicles,Import,26006
Albania,2009,Vehicles,Export,2077
Albania,2009,Vehicles,Import,84506
Albania,2009,Vehicles,Import,317207
Albania,2009,Vehicles,Import,271434
Albania,2009,Vehicles,Export,8605
Albania,2008,Vehicles,Import,310041
Albania,2008,Vehicles,Import,46396
Albania,2008,Vehicles,Import,159938
Albania,2008,Vehicles,Import,186629
Albania,2008,Vehicles,Import,90023
Albania,2008,Vehicles,Import,106516
Albania,2008,Vehicles,Export,1789
Albania,2008,Vehicles,Import,18933
Albania,2008,Vehicles,Import,29193
Albania,2008,Vehicles,Import,10757
Albania,2008,Vehicles,Import,87344
Albania,2008,Vehicles,Import,2117490
