Country or Area,Year,Commodity,Flow,Trade (USD)
Afghanistan,2011,Vehicles,Import,4688946
Afghanistan,2011,Vehicles,Import,70509742
Afghanistan,2011,Vehicles,Import,2611043
Afghanistan,2010,Vehicles,Import,4356055
Afghanistan,2010,Vehicles,Import,168294467
Afghanistan,2010,Vehicles,Import,3339939
Afghanistan,2009,Vehicles,Import,7759916
Afghanistan,2009,Vehicles,Import,97325670
Afghanistan,2009,Vehicles,Import,1155869
Afghanistan,2008,Vehicles,Import,729160
Afghanistan,2008,Vehicles,Import,91811388
Afghanistan,2008,Vehicles,Import,2596972
Albania,2013,Vehicles,Import,23373
Albania,2013,Vehicles,Import,6154301
Albania,2013,Vehicles,Export,69733
Albania,2013,Vehicles,Import,2404
Albania,2013,Vehicles,Export,1329
Albania,2013,Vehicles,Import,3124724
Albania,2013,Vehicles,Export,95725
Albania,2013,Vehicles,Import,10685414
Albania,2013,Vehicles,Export,79835
Albania,2013,Vehicles,Import,1194390
Albania,2013,Vehicles,Import,5909
Albania,2013,Vehicles,Import,2625110
Albania,2013,Vehicles,Export,11078
Albania,2013,Vehicles,Import,16622563
Albania,2013,Vehicles,Export,38193
Albania,2013,Vehicles,Import,13105676
Albania,2013,Vehicles,Export,297446
Albania,2013,Vehicles,Import,8196154
Albania,2013,Vehicles,Export,113015
Albania,2013,Vehicles,Import,4898605
Albania,2013,Vehicles,Export,3304
Albania,2013,Vehicles,Import,103764566
Albania,2013,Vehicles,Export,334251
Albania,2013,Vehicles,Import,42656866
Albania,2013,Vehicles,Export,232801
Albania,2013,Vehicles,Import,13323
Albania,2013,Vehicles,Export,6629
Albania,2013,Vehicles,Import,825316
Albania,2013,Vehicles,Import,25187371
Albania,2013,Vehicles,Export,123190
Albania,2013,Vehicles,Import,6432541
Albania,2013,Vehicles,Export,153646
Albania,2013,Vehicles,Import,1466120
Albania,2013,Vehicles,Export,29086
Albania,2013,Vehicles,Import,663431
Albania,2013,Vehicles,Import,97621
Albania,2013,Vehicles,Export,1
Albania,2013,Vehicles,Import,11184
Albania,2013,Vehicles,Export,15859
Albania,2013,Vehicles,Import,693699
Albania,2013,Vehicles,Export,672346
Albania,2013,Vehicles,Import,1106454
Albania,2013,Vehicles,Import,987058
Albania,2013,Vehicles,Import,1167368
Albania,2013,Vehicles,Export,79436
Albania,2013,Vehicles,Import,2109953
Albania,2013,Vehicles,Export,338509
Albania,2013,Vehicles,Import,255879
Albania,2013,Vehicles,Import,44416
Albania,2013,Vehicles,Import,690934
Albania,2013,Vehicles,Import,11969
Albania,2013,Vehicles,Import,1695857
Albania,2013,Vehicles,Export,81809
Albania,2013,Vehicles,Import,2818618
Albania,2013,Vehicles,Export,28458
Albania,2013,Vehicles,Import,389796
Albania,2013,Vehicles,Export,1180662
Albania,2013,Vehicles,Import,707152
Albania,2013,Vehicles,Export,11663
Albania,2013,Vehicles,Import,302636
Albania,2013,Vehicles,Import,1401326
Albania,2013,Vehicles,Export,8523
Albania,2013,Vehicles,Import,406725
Albania,2013,Vehicles,Import,42122
Albania,2013,Vehicles,Export,1209771
Albania,2013,Vehicles,Import,1266378
Albania,2013,Vehicles,Export,5412
Albania,2013,Vehicles,Import,451635
Albania,2013,Vehicles,Import,9409164
Albania,2013,Vehicles,Export,376961
Albania,2013,Vehicles,Import,5223
Albania,2013,Vehicles,Import,11865
Albania,2013,Vehicles,Import,34784
Albania,2013,Vehicles,Export,32891
Albania,2013,Vehicles,Import,786191
Albania,2013,Vehicles,Export,3126
Albania,2013,Vehicles,Import,707303
Albania,2013,Vehicles,Export,5640
Albania,2013,Vehicles,Import,204587
Albania,2013,Vehicles,Export,398
Albania,2013,Vehicles,Import,209263
Albania,2013,Vehicles,Export,5419
Albania,2013,Vehicles,Import,177071
Albania,2013,Vehicles,Export,1
Albania,2013,Vehicles,Import,24155
Albania,2013,Vehicles,Import,995058
Albania,2013,Vehicles,Import,57507
Albania,2013,Vehicles,Import,10517
Albania,2013,Vehicles,Import,95957
Albania,2013,Vehicles,Export,79
Albania,2013,Vehicles,Import,3113
Albania,2013,Vehicles,Import,20001
Albania,2013,Vehicles,Import,35873
Albania,2013,Vehicles,Import,34136
Albania,2013,Vehicles,Import,41192
Albania,2013,Vehicles,Import,37574
Albania,2013,Vehicles,Import,3920
Albania,2013,Vehicles,Import,489101
Albania,2013,Vehicles,Export,1216
Albania,2013,Vehicles,Import,731704
Albania,2013,Vehicles,Import,116175
Albania,2013,Vehicles,Import,86337
Albania,2013,Vehicles,Export,20152
Albania,2013,Vehicles,Import,799728
Albania,2013,Vehicles,Import,2504031
Albania,2013,Vehicles,Export,74526
Albania,2013,Vehicles,Import,834316
Albania,2013,Vehicles,Export,6647
